RepoName;TravisFullPath;TravisFileGitURL
duxuhao/Feature-Selection;D:/PhD Work/repos/applied/duxuhao/Feature-Selection/.travis.yml;https://github.com/duxuhao/Feature-Selection/blob/master/.travis.yml
gbnk0/simple-image-classifier;D:/PhD Work/repos/applied/gbnk0/simple-image-classifier/.travis.yml;https://github.com/gbnk0/simple-image-classifier/blob/master/.travis.yml
kakaobrain/torchgpipe;D:/PhD Work/repos/applied/kakaobrain/torchgpipe/.travis.yml;https://github.com/kakaobrain/torchgpipe/blob/master/.travis.yml
hosseinmoein/DataFrame;D:/PhD Work/repos/applied/hosseinmoein/DataFrame/.travis.yml;https://github.com/hosseinmoein/DataFrame/blob/master/.travis.yml
ternaus/robot-surgery-segmentation;D:/PhD Work/repos/applied/ternaus/robot-surgery-segmentation/.travis.yml;https://github.com/ternaus/robot-surgery-segmentation/blob/master/.travis.yml
R-js/blasjs;D:/PhD Work/repos/applied/R-js/blasjs/.travis.yml;https://github.com/R-js/blasjs/blob/master/.travis.yml
knorth55/chainer-dense-fusion;D:/PhD Work/repos/applied/knorth55/chainer-dense-fusion/.travis.yml;https://github.com/knorth55/chainer-dense-fusion/blob/master/.travis.yml
scikit-learn-contrib/mimic;D:/PhD Work/repos/applied/scikit-learn-contrib/mimic/.travis.yml;https://github.com/scikit-learn-contrib/mimic/blob/master/.travis.yml
JesusIslam/tldr;D:/PhD Work/repos/applied/JesusIslam/tldr/.travis.yml;https://github.com/JesusIslam/tldr/blob/master/.travis.yml
AllenInstitute/mouse_connectivity_models;D:/PhD Work/repos/applied/AllenInstitute/mouse_connectivity_models/.travis.yml;https://github.com/AllenInstitute/mouse_connectivity_models/blob/master/.travis.yml
jfilter/split-folders;D:/PhD Work/repos/applied/jfilter/split-folders/.travis.yml;https://github.com/jfilter/split-folders/blob/master/.travis.yml
tlkh/prowler;D:/PhD Work/repos/applied/tlkh/prowler/.travis.yml;https://github.com/tlkh/prowler/blob/master/.travis.yml
