RepoName;GitHubLanguages
mholtzscher/spacy_readability;Python,Makefile
ncbi-nlp/NegBio;Python
nengo/nengo-dl;Python,Batchfile
abreheret/PixelAnnotationTool;C++,CMake,Python,Batchfile,C,Shell
glm-tools/pyglmnet;Python,TeX,Makefile
microsoft/pai;JavaScript,Java,Python,Shell,TypeScript,Go,Dockerfile,EJS,Ruby,Jinja,Lua,SCSS,Batchfile
pprzetacznik/IElixir;Jupyter Notebook,Elixir,JavaScript,Dockerfile,Shell
pyro-ppl/pyro;Python,C++,Makefile,Shell,TeX,Dockerfile,CSS
src-d/kmcuda;Jupyter Notebook,C++,Cuda,Python,CMake,R
ubclaunchpad/minutes;Python
cjekel/tindetheus;Python,Makefile,Dockerfile,Batchfile,Shell
ml5js/ml5-library;JavaScript,Shell
ScottfreeLLC/AlphaPy;Python,Jupyter Notebook
infinitered/nsfwjs;JavaScript,TypeScript,HTML,CSS,Shell
jupyter-incubator/sparkmagic;Python,Jupyter Notebook,JavaScript,Shell,Batchfile
alvations/sacremoses;Python,Emacs Lisp,Smalltalk,Ruby,NewLisp,Perl,JavaScript,SystemVerilog,OCaml,ActionScript,Slash
rosette-api/R-Binding;R
amark/gun;JavaScript,HTML,CSS,Dockerfile,Shell
deepfakes/faceswap;Python,NSIS,Shell
mne-tools/mne-python;Python,Csound Document,Shell,Makefile
assap-org/assap;JavaScript,Vue,CSS,HTML
IBM/kafka-streaming-click-analysis;Jupyter Notebook
dlebech/lyrics-generator;Python,JavaScript,HTML,CSS,Dockerfile
jupyterhub/zero-to-jupyterhub-k8s;Python,Smarty,Go,Shell,Dockerfile
facebookresearch/ELF;C++,Python,C,JavaScript,CMake,Shell,HTML
OpenNMT/OpenNMT-py;Python,Perl,Shell,Emacs Lisp,Smalltalk,Ruby,NewLisp,JavaScript,Slash,SystemVerilog
sorgerlab/indra;Python,HTML,JavaScript,CSS
innodatalabs/tbert;Python
netrack/keras-metrics;Python
HoloClean/holoclean;Python,Shell
ShanKeAI/ML2017-Notes;TeX
cosanlab/nltools;Python
Axelrod-Python/axelrod-dojo;Python
dirmeier/greta.lme;R
polyrabbit/WeCron;JavaScript,CSS,Python,HTML,Jinja,Makefile,Dockerfile
SuperKogito/Voice-based-gender-recognition;Python
feedzai/feedzai-openml-r;Java,R
deepchem/deepchem;Python,Jupyter Notebook,Shell,Dockerfile,PowerShell
BloodAxe/pytorch-toolbelt;Python,Makefile
felixriese/susi;Python,JavaScript,TeX
cjekel/piecewise_linear_fit_py;Python,Batchfile,Shell,Makefile
rvw-org/rvw;R,C++,C,Shell
jungtaekkim/bayeso;Python
geomstats/geomstats;Jupyter Notebook,Python
nextcloud/suspicious_login;PHP,JavaScript,Vue
fsprojects/IfSharp;Jupyter Notebook,F#,JavaScript,CSS,Dockerfile,Inno Setup,Shell,Batchfile
niiknow/bayes;PHP
okfn-brasil/serenata-de-amor;Python,Elm,HTML,Dockerfile,JavaScript,CSS,Shell
eyounx/ZOOpt;Python
stanfordnlp/python-stanford-corenlp;Python
NTMC-Community/MatchZoo;Python,Makefile
jeffkinnison/shadho;Python,Shell
IBM/MAX-News-Text-Generator;Python,Dockerfile,Starlark
JuliaTPU/XLA.jl;Julia,TeX
hakaru-dev/hakaru;Haskell,TeX,Vim script,Perl,Makefile,Python,Emacs Lisp,Shell
HuwCampbell/grenade;Haskell,C,Shell
alan-turing-institute/MLJModels.jl;Julia
scikit-garden/scikit-garden;Python,Shell
rsokl/noggin;Python
koalaverse/vip;R
AdamSpannbauer/lexRankr;R,C++,C
deepforge-dev/deepforge;JavaScript,CSS,Python,SCSS,Lua,Less,Stylus,Svelte,HTML,EJS,Shell,Dockerfile,Smarty
skyportal/skyportal;Python,JavaScript,CSS,Makefile,Dockerfile,Shell,Mako
spatialaudio/nbsphinx;Python,HTML,Shell
kevinykuo/deeptriangle;TeX,R
neuropoly/axondeepseg;Python,Jupyter Notebook,Dockerfile
anrputina/outlierdenstream;Python,Makefile
jobovy/extreme-deconvolution;Python,C,IDL,R,Makefile,Shell
X-DataInitiative/tick;Python,C++,SWIG,Shell,CMake,C,Dockerfile
bigartm/bigartm;C++,Python,XSLT,CMake,C,Batchfile,C#,Shell
maximecb/gym-miniworld;Python
undertheseanlp/languageflow;Python,JavaScript,HTML,Makefile,CSS
IBM/MAX-Object-Detector;Python,Jupyter Notebook,Shell,Dockerfile
cbg-ethz/pybda;Python
SMTorg/smt;Jupyter Notebook,Python,C++
patrickschur/neural-network;PHP
miguelvr/dropblock;Python
repetere/modelscript;JavaScript
favstats/peRspective;R
bfelbo/DeepMoji;Python
triagemd/keras-eval;Jupyter Notebook,Python,Shell
jsbroks/imantics;Python,Dockerfile
BLKSerene/Wordless;Python,HTML
maartenbreddels/ipyvolume;TypeScript,Python,JavaScript,GLSL,Jupyter Notebook,CSS,Shell
gchers/random-world;Rust
winkjs/wink-perceptron;JavaScript
persephone-tools/persephone;Python,Dockerfile,Shell
IlyaGusev/summarus;Python,Jsonnet,Shell,Gherkin
IBM/cities-from-space;JavaScript,CSS,HTML
kakaobrain/torchgpipe;Python
kariminf/jslingua;JavaScript,HTML,Shell,Python
go-ego/gse;Go,HTML
ibrahimsharaf/doc2vec;Python
IBM/MAX-Image-Resolution-Enhancer;Python,Dockerfile
LanguageMachines/PICCL;Python,Groovy,Shell,Nextflow
chakki-works/chariot;Jupyter Notebook,Python
sbl-sdsc/mmtf-spark;Java
