file_name;TestFail;BuildError;TestError;CodeAnalysisError;TravisError;DeploymentError
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677648841.txt;Ml_module_not_found;None;None;None;Incomplete Log;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677648842.txt;Ml_module_not_found;None;None;None;Incomplete Log;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\694585737.txt;None;None;None;None;Incomplete Log;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\694585738.txt;None;None;None;None;Incomplete Log;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729539167.txt;None;None;None;None;Incomplete Log;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729539168.txt;None;None;None;None;Incomplete Log;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\730230581.txt;None;None;None;None;Incomplete Log;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\730230582.txt;None;None;None;None;Incomplete Log;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136625.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136626.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136627.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136628.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136629.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136630.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136631.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136638.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136639.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136640.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136641.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136642.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136643.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136644.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448139123.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448139131.txt;None;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\350652356.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\350652357.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\350652358.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\350827916.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\350827917.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\350827918.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351715682.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351715683.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351715684.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351743675.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351743676.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351743677.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351778917.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351778918.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351778919.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351779077.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351779078.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351779079.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351864257.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351864258.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\351864259.txt;Ml_module_not_found;None;None;None;None;None
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\alan-turing-institute_sktime\job_logs\352192916.txt;Ml_module_not_found;None;None;None;None;None
