ProjectName,Build Tools,CI tools,Deployment Automation,Monitoring and Logging,Analyzer,Test
0411tony/Yue,0,0,0,0,0,0
1adrianb/face-alignment,1,1,1,0,0,0
AMinerOpen/prediction_api,0,0,0,0,0,0
ARM-software/ComputeLibrary,1,0,0,0,1,0
AYLIEN/aylien_textapi_csharp,0,0,0,0,0,0
AYLIEN/aylien_textapi_ruby,1,0,0,0,0,1
Accenture/AmpliGraph,1,0,0,0,0,0
AcrylicShrimp/TinNet,1,0,0,0,1,0
AdamStelmaszczyk/gtsa,1,1,0,0,0,0
Adnios/Tensorflow,0,0,0,0,0,0
Aifred-Health/Vulcan,1,1,0,0,0,0
Aifred-Health/Vulcan-Old,0,0,0,0,1,0
AtheMathmo/rusty-machine,0,1,0,0,0,0
Azure/mmlspark,0,0,1,0,0,0
BIMSBbioinfo/maui,1,1,0,0,0,0
BVLC/caffe,1,1,1,0,1,1
BeTomorrow/ReImproveJS,0,1,0,0,0,0
BehaviorTree/BehaviorTree.CPP,1,1,0,0,1,0
BentouDev/Unity3DFramework,0,0,0,0,0,0
Blind-Striker/gender-prediction-turkish,0,1,0,0,0,0
C5T/Current,1,1,0,0,1,1
CBICA/CaPTk,1,1,1,0,1,0
CMU-Perceptual-Computing-Lab/openpose,1,1,0,0,1,0
CPJKU/madmom,1,1,0,0,1,1
ClarityNLP/ClarityNLP,1,1,1,0,0,0
Clustering4Ever/Clustering4Ever,0,0,0,0,0,0
CogComp/lbjava,1,1,0,0,0,1
CrowdTruth/CrowdTruth-core,1,1,0,0,1,0
Cysu/open-reid,1,0,0,0,0,0
DAI-Lab/Copulas,1,1,0,0,0,0
DIVA-DIA/DeepDIVA,1,0,1,0,0,0
DataForScience/RNN,0,0,0,0,0,0
DeNA/ChainerPruner,1,1,1,0,0,0
DeepMLNet/DeepNet,0,1,0,0,0,0
DependableSystemsLab/TensorFI,0,0,0,0,0,0
DigitalSlideArchive/HistomicsTK,1,1,1,0,1,1
DoubangoTelecom/compv,1,0,0,0,1,0
DoubangoTelecom/ultimateALPR-SDK,1,0,0,0,0,0
DreamingRaven/nemesyst,1,0,1,0,0,0
DynaSlum/satsense,1,1,0,0,1,0
Edmonton-School-of-AI/Hello-World-Tensorspace,0,0,0,0,0,0
EducationalTestingService/skll,1,1,0,0,1,0
EdwardRaff/JSAT,1,1,0,0,0,1
EthicallyAI/ethically,1,1,0,0,1,0
Evizero/Augmentor.jl,0,0,0,0,1,0
FidoProject/Fido,1,1,0,0,0,0
Flowx08/artificial_intelligence,1,0,0,0,0,0
FluxML/Flux.jl,0,1,0,0,0,0
FunctionLab/selene,1,1,1,0,0,0
GRAAL-Research/poutyne,1,1,0,0,1,0
GateNLP/gateplugin-LearningFramework,1,1,0,0,0,1
Hironsan/HateSonar,0,0,0,0,0,0
Hourout/tensorcv,1,0,0,0,0,0
Hourout/tensordata,1,0,0,0,0,0
IGITUGraz/L2L,1,0,0,0,0,0
IndicoDataSolutions/Enso,1,0,1,0,0,0
IntelPython/hpat,1,1,0,0,1,0
J535D165/recordlinkage,1,0,0,0,1,0
JiahuiYu/neuralgym,1,0,0,0,0,0
JohnSnowLabs/spark-nlp,1,1,1,0,1,0
JohnVinyard/zounds,1,1,1,0,1,0
Jopepato/SMiLE,0,1,0,0,0,0
Joseph94m/MCMC,0,0,0,0,0,0
JuliaGPU/ArrayFire.jl,0,1,0,0,0,0
JuliaLang/julia,1,0,1,0,1,0
JuliaML/Learn.jl,0,1,0,0,0,0
JuliaML/LearningStrategies.jl,0,1,0,0,1,0
Kashu7100/Qualia2.0,0,0,0,0,0,0
Kitware/SMQTK,1,1,1,0,0,1
Kontikilabs/alter-nlu,0,0,0,0,0,0
KotlinNLP/SimpleDNN,1,1,0,0,0,0
KrakenCL/KrakenKit,0,0,0,0,0,0
KxSystems/nlp,0,1,1,0,0,0
LLNL/lbann,1,1,1,0,0,0
LanguageMachines/frog,0,1,0,0,0,0
LanguageMachines/libfolia,0,1,0,0,0,0
LanguageMachines/timbl,0,1,0,0,0,0
LanguageMachines/ucto,0,1,0,0,0,0
LearnLib/learnlib,1,1,0,0,0,1
M-Nauta/TCDF,0,0,0,0,0,0
Maluuba/nlg-eval,0,1,0,0,0,0
Mariewelt/OpenChem,1,1,1,0,0,0
MattFiler/LegendPlugin,0,0,0,0,0,0
MaxHalford/eaopt,0,1,0,0,1,0
MaxHalford/prince,0,1,0,0,1,0
