RepoName;TravisAndGHMatch;Intersection;TravisOnly;GithubOnly
duxuhao/Feature-Selection;True;python;;jupyter notebook
gbnk0/simple-image-classifier;False;;None;python
kakaobrain/torchgpipe;True;python;;
hosseinmoein/DataFrame;True;c++;;makefile,python,cmake,shell
ternaus/robot-surgery-segmentation;True;python;;jupyter notebook,shell
R-js/blasjs;True;;node_js;makefile,javascript,typescript,fortran
knorth55/chainer-dense-fusion;True;python;;
scikit-learn-contrib/mimic;True;python;;
JesusIslam/tldr;True;go;;
AllenInstitute/mouse_connectivity_models;True;python;;makefile,shell
jfilter/split-folders;True;python;;
tlkh/prowler;True;python;;shell,jupyter notebook,css,html,javascript
parente/nbestimate;True;python;;jupyter notebook
apacha/MusicScoreClassifier;True;python;;
famished-tiger/Rley;True;ruby;;shell
rednaga/APKiD;True;python;;dockerfile,yara,shell
src-d/minhashcuda;False;;None;shell,cmake,cuda,c++,python,c
hoxo-m/densratio_py;True;python;;makefile
microsoft/frameworkcontroller;True;go;;dockerfile,shell
CSAILVision/gandissect;True;python;;shell,cuda,jupyter notebook,html,c++,c
grafit-io/grafit;True;python;;html,javascript,dockerfile,css
nengo/nengo-dl;True;python;;batchfile
cjekel/piecewise_linear_fit_py;True;python;;batchfile,makefile,shell
tasoc/starclass;True;python;;jupyter notebook
jcmgray/autoray;True;python;;
spatialaudio/nbsphinx;True;python;;html,shell
src-d/kmcuda;True;c++;;cmake,jupyter notebook,cuda,python,r
pandas-profiling/pandas-profiling;True;python;;batchfile,shell,makefile,jupyter notebook,css,html,javascript
comtravo/ctparse;True;python;;makefile
fsprojects/IfSharp;True;;csharp;batchfile,shell,dockerfile,f#,jupyter notebook,css,inno setup,javascript
lalvim/PLSRegressor.jl;True;julia;;
mirapy-org/mirapy;False;;c;python,tex
gbolmier/funk-svd;True;python;;jupyter notebook
volcano-sh/volcano;True;go;;makefile,dockerfile,python,shell
sparkling-graph/sparkling-graph;True;scala;;
NCBI-Hackathons/ATACFlow;False;;java;dockerfile,jupyter notebook,html,python,r,nextflow
jupyterhub/zero-to-jupyterhub-k8s;True;python;;smarty,dockerfile,go,shell
rocmsys/RET;True;;bash;dockerfile,shell
sagemathinc/cocalc;True;python;;typescript,sass,shell,stylus,sage,jupyter notebook,css,coffeescript,html,tex,javascript,pug
qubvel/efficientnet;True;python;;dockerfile,shell
ml5js/ml5-library;True;;node_js;javascript,shell
erictleung/review;False;;ruby;r
HunterMcGushion/hyperparameter_hunter;True;python;;makefile,shell
DataHaskell/dh-core;False;;c;haskell
triagemd/model-serving;True;python;;dockerfile,shell
5hirish/adam_qas;True;python;;dockerfile,shell
clawpack/riemann_book;True;python;;smarty,fortran,shell,dockerfile,jupyter notebook,css,html,tex
fnl/syntok;True;python;;makefile
repetere/modelscript;True;;node_js;javascript
deepfakes/faceswap;True;shell;;python,nsis
trappmartin/SumProductNetworks.jl;True;julia;;
vgrabovets/multi_rake;True;python;;
rhiever/datacleaner;True;python;;shell
kfoynt/LocalGraphClustering;True;python;;shell,makefile,matlab,jupyter notebook,html,c++,c
OpenNMT/OpenNMT;False;;c;perl,shell,lua,dockerfile,forth,python
JasonKessler/scattertext;True;python;;html,javascript,css,shell
pyro-ppl/funsor;True;python;;makefile,jupyter notebook
justusschock/shapenet;True;python;;c++
