RepoName;TravisLanguages
duxuhao/Feature-Selection;python
gbnk0/simple-image-classifier;None
kakaobrain/torchgpipe;python
hosseinmoein/DataFrame;cpp
ternaus/robot-surgery-segmentation;python
R-js/blasjs;node_js
knorth55/chainer-dense-fusion;python
scikit-learn-contrib/mimic;python
JesusIslam/tldr;go
AllenInstitute/mouse_connectivity_models;python
jfilter/split-folders;python
tlkh/prowler;python
parente/nbestimate;python
apacha/MusicScoreClassifier;python
famished-tiger/Rley;ruby
rednaga/APKiD;python
src-d/minhashcuda;None
hoxo-m/densratio_py;python
microsoft/frameworkcontroller;go
CSAILVision/gandissect;python
grafit-io/grafit;python
nengo/nengo-dl;python
cjekel/piecewise_linear_fit_py;python
tasoc/starclass;python
jcmgray/autoray;python
spatialaudio/nbsphinx;python
src-d/kmcuda;cpp
pandas-profiling/pandas-profiling;python
comtravo/ctparse;python
fsprojects/IfSharp;csharp
lalvim/PLSRegressor.jl;julia
mirapy-org/mirapy;c
gbolmier/funk-svd;python
volcano-sh/volcano;go
sparkling-graph/sparkling-graph;scala
NCBI-Hackathons/ATACFlow;java
jupyterhub/zero-to-jupyterhub-k8s;python
rocmsys/RET;bash
sagemathinc/cocalc;python
qubvel/efficientnet;python
ml5js/ml5-library;node_js
erictleung/review;ruby
HunterMcGushion/hyperparameter_hunter;python
DataHaskell/dh-core;c
triagemd/model-serving;python
5hirish/adam_qas;python
clawpack/riemann_book;python
fnl/syntok;python
repetere/modelscript;node_js
deepfakes/faceswap;shell
trappmartin/SumProductNetworks.jl;julia
vgrabovets/multi_rake;python
rhiever/datacleaner;python
kfoynt/LocalGraphClustering;python
OpenNMT/OpenNMT;c
JasonKessler/scattertext;python
pyro-ppl/funsor;python
justusschock/shapenet;python
miguelmota/sobel;node_js
allwefantasy/streamingpro;scala,node_js
rsokl/noggin;python
masterdezign/hmep;haskell
dbiir/UER-py;python
coin-or/Gravity;cpp
JuliaTPU/XLA.jl;julia
eyounx/ZOOpt;python
msmbuilder/osprey;c
CyberZHG/keras-word-char-embd;python
pillarpond/face-recognizer-android;android
nlpie/biomedicus;java
php-opencv/php-opencv;None
graphaware/neo4j-nlp;java
inukshuk/anystyle;ruby
autonomio/wrangle;python
dillondaudert/UMAP.jl;julia
chovanecm/sacredboard;None
ironmussa/Optimus;python
JuliaPOMDP/POMDPGallery.jl;julia
jajupmochi/py-graph;python
akoumjian/datefinder;python
LaurentMazare/tch-rs;rust
lanpa/tensorboardX;python
jveitchmichaelis/deeplabel;cpp
samtecspg/articulate;node_js
Erotemic/netharn;python
keon/3-min-pytorch;python
pandoraboxchain/pyrrha-pynode;python
marl/openl3;python
betterlife/betterlifepsi;python
lyst/lightfm;None
TuringLang/Turing.jl;julia
lmcinnes/umap;python
Tomotoes/SmartHome;node_js
ModelChimp/modelchimp;node_js
jcreinhold/synthtorch;python
khs1994-php/tencent-ai;php
miguelvr/dropblock;python
raskr/rust-autograd;rust
RTradeLtd/Lens;go
sbl-sdsc/mmtf-spark;java
eellak/gsoc2018-3gm;python
X-DataInitiative/tick;generic
CyberZHG/keras-pos-embd;python
pbiecek/breakDown;R
uchicago-cs/deepdish;python
ml-libs/mlserve;python
almond-sh/almond;scala
messense/fasttext-rs;rust
bduggan/p6-jupyter-kernel;perl6
reiinakano/arbitrary-image-stylization-tfjs;node_js
HaliteChallenge/Halite-II;cpp,ruby
LaurentMazare/ocaml-torch;c
polyaxon/polyaxon-schemas;python
oval-group/mlogger;python
FluxML/FluxJS.jl;julia
IBM/powerai-market-sentiment;generic
WladimirSidorenko/CRFSuite;C
IBM/MAX-Speech-to-Text-Converter;python
arm61/pylj;python
feedzai/feedzai-openml;java
lopuhin/transformer-lm;python
rajveermalviya/language-modeling;node_js
poldracklab/mriqc;python
philgooch/abbreviation-extraction;python
jupyter/dashboards;python
soaxelbrooke/python-bpe;python
niiknow/bayes;php
jerrygaoLondon/jgtextrank;python
maciejczyzewski/neural-chessboard;None
OpenNMT/OpenNMT-py;python
rgal/gym-2048;python
nert-nlp/streusle;python
HDI-Project/ATM;python
DrSleep/DenseTorch;python
proycon/foliatools;python
rivolli/mfe;R
SimGus/Chatette;python
mkearney/textfeatures;R
Mogeng/IOHMM;python
amoussawi/recoder;python
UGentBiomath/wwdata;python
skggm/skggm;python
PrincetonUniversity/ASPIRE-Python;python
anrputina/outlierdenstream;python
IBM/MAX-ResNet-50;python
IBM/MAX-Image-Caption-Generator;python
ralfbiedert/ffsvm-rust;rust
winkjs/wink-naive-bayes-text-classifier;node_js
drivenbyentropy/aptasuite;java
amosbastian/understat;python
gchers/random-world;rust
PaddlePaddle/Anakin;cpp
kiudee/cs-ranking;python
asafschers/goscore;go
onnx/onnx-r;r
orktes/go-torch;ruby
IlyaGusev/summarus;python
msuzen/bristol;python
scikit-learn-contrib/lightning;python
pyro-ppl/pyro;python
jkoutsikakis/pytorch-wrapper;python
nextcloud/suspicious_login;php
docker-science/cookiecutter-docker-science;python
rstudio/cloudml;r
georgymh/decentralized-ml;python
sbl-sdsc/mmtf-pyspark;python
thuijskens/scikit-hyperband;python
qinwf/jiebaR;r
hoxo-m/densratio;R
priyankshah7/hypers;python
jungtaekkim/bayeso;python
assap-org/assap;node_js
sherpa-ai/sherpa;python
justinshenk/fer;python
go-ego/gse;go
alan-turing-institute/MLJModels.jl;julia
Tw1ddle/needs-ai-standalone;haxe
MycroftAI/mycroft-core;python
IBM/MAX-Audio-Sample-Generator;python
stanfordnlp/python-stanford-corenlp;python
stephenhky/PyShortTextCategorization;python
IBM/MAX-Image-Caption-Generator-Web-App;python
permfl/dictlearn;python
Kensuke-Mitsuzawa/JapaneseTokenizers;python
felixriese/susi;python
bio-ontology-research-group/walking-rdf-and-owl;python
square/pysurvival;python
knorth55/chainer-light-head-rcnn;python
jgreener64/Bio3DView.jl;julia
ikawaha/kagome.ipadic;go
jaredhuling/oem;r
thombashi/sqlitebiter;python
Axelrod-Python/axelrod-dojo;python
t-sakai-kure/pywsl;python
WMD-group/SMACT;python
guess-js/guess;node_js
FluxML/Zygote.jl;julia
jupyterhub/jupyterhub;python
HealthCatalyst/healthcareai-py;python
yulingtianxia/PhotoAssessment;swift
rai-project/mlmodelscope;node_js
SeunghunSunmoonLee/React.ai;node_js
1adrianb/pytorch-estimate-flops;python
BerkeleyAutomation/gqcnn;python
triagemd/keras-eval;python
bagasbgy/kerasgenerator;R
tamber/tamber-ruby;ruby
theislab/scanpy;python
stan-dev/pystan;c
IBM/MAX-Audio-Classifier;python
lambdaclass/finance_playground;python
NatLibFi/Annif;python
polyaxon/polyaxon-client;python
r9y9/deepvoice3_pytorch;python
glm-tools/pyglmnet;python
oceanprotocol/datascience;node_js
IBM/kafka-streaming-click-analysis;generic
LanguageMachines/mbt;cpp
mne-tools/mne-python;generic
terrytangyuan/dml;r
JavaBWAPI/ass;java
jeffkinnison/shadho;python
deathbeds/importnb;python
vene/sparse-structured-attention;python
rosette-api/rosette-elasticsearch-plugin;java
ubclaunchpad/minutes;python
OAID/Tengine;cpp
wala/ML;android
neuropoly/axondeepseg;None
guillaumegenthial/tf_metrics;python
makcedward/nlpaug;python
TheMTank/ai-distillery;python
amark/gun;node_js
quanteda/spacyr;r
ptrefall/fluid-hierarchical-task-network;csharp
webanno/webanno;java
NickleDave/hybrid-vocal-classifier;python
albarji/proxTV;python
paris-saclay-cds/ramp-board;python
NLPatVCU/medaCy;python
ONSdigital/address-index-data;scala
abdullahselek/koolsla;python
dmlc/dlpack;cpp
jredmondson/madara;cpp
takahi-i/pfm;python
MaxHalford/tuna;go
abdullahselek/spampy;python
markusdumke/reinforcelearn;R
persephone-tools/persephone;python
locuslab/qpth;python
sammous/spacy-lefff;python
willingc/circuitpython_kernel;python
toodef/neural-pipeline;python
ehsanmok/tvm-rust;rust
loony-bean/fastapprox-rs;rust
nevillelyh/shapeless-datatype;scala
intuit/foremast-brain;python
ErikGartner/hyperdock;python
bencbartlett/Overmind;node_js
customink/lambdipy;python
ThinkingTransistor/Sigma;csharp
zvtvz/zvt;python
vi3k6i5/flashtext;python
moj-analytical-services/pq-tool;r
wittawatj/kernel-gof;python
CartoDB/cartoframes;python
vochicong/datalab-nlp;None
titu1994/tfdiffeq;python
lablup/backend.ai-kernels;python
ncbi-nlp/NegBio;python
atomistic-machine-learning/schnetpack;python
nok/sklearn-porter;python
benfred/implicit;python
jupyter/nbdime;python
mila-iqia/babyai;python
SuperKogito/Voice-based-gender-recognition;python
salesforce/decaNLP;python
duketemon/pyuplift;python
luisdamiano/BayesHMM;R
proycon/gecco;python
pathwayforte/pathway-forte;python
huggingface/neuralcoref;python
indix/whatthelang;python
CognitiveScale/cortex-cli;node_js
ParrotPrediction/pyalcs;python
IBM/MAX-Image-Resolution-Enhancer;python
jdestefani/ulb-infof305-1819;python
rvw-org/rvw;None
raamana/graynet;python
jupyter/nbviewer;python
favstats/peRspective;R
polyrabbit/WeCron;python
xrobin/pROC;r
ikegami-yukino/oseti;python
Keep-Current/Engine;python
james-bowman/sparse;go
microsoft/pai;ruby
plasticityai/magnitude;python
a-slide/pycoQC;python
ShanKeAI/ML2017-Notes;None
markovmodel/molPX;c
samuelstjean/nlsam;python
LexPredict/lexpredict-lexnlp;python
tlverse/tmle3shift;r
Tiiiger/bert_score;python
mcekovic/tennis-crystal-ball;java
dfdx/Yota.jl;julia
ibrahimsharaf/doc2vec;python
kubernetes-sigs/kube-batch;go
DongjunLee/kino-bot;python
pplu/aws-sdk-perl;perl
biocore/calour;c
dlebech/lyrics-generator;python
jupyterhub/binderhub;python
MaxHalford/starboost;python
weld-project/weld;python
DistrictDataLabs/yellowbrick;python
Tiramisu-Compiler/tiramisu;cpp
jupyter-incubator/sparkmagic;python
nbortolotti/tensorflow-experiences;python
nanxstats/msaenet;r
howl-anderson/seq2annotation;python
databricks/spark-sklearn;python
roscisz/TensorHive;python
owulveryck/gorgonnx;go
mbejda/Node-OpenNLP;node_js
astropy/astrowidgets;c
beringresearch/ivis;python
oxfordcontrol/osqp;C
kendryte/kendryte-standalone-sdk;cpp
hshindo/Merlin.jl;julia
trthatcher/MLKernels.jl;julia
koshort/pyeunjeon;python
ugnelis/tensorflow-rnn-ctc;python
HuwCampbell/grenade;None
aldro61/mmit;None
ribtoks/yannpp;cpp
platisd/bad-commit-message-blocker;python
patrickschur/neural-network;php
PPPLDeepLearning/plasma-python;python
mkearney/tweetbotornot;R
MathBunny/strava-wind-analysis-ml;python
IBM/pytorch-on-watson-studio;node_js
chakki-works/chariot;python
pommedeterresautee/fastrtext;R
scikit-learn-contrib/stability-selection;python
HoloClean/holoclean;python
Bytom/bytom;go
cjekel/tindetheus;python
gorgonia/tensor;go
repetere/tensorscript;node_js
wy1iu/sphereface;cpp
GCE-NEIIST/GCE-NEIIST-webapp;node_js
openvenues/node-postal;node_js
Acellera/moleculekit;None
EmergentOrder/onnx-scala;scala
mholtzscher/spacy_readability;python
domainadaptation/salad;python
bigmlcom/python;python
fdavidcl/ruta;r
ssydasheng/GPflow-Slim;python
IlyaGusev/rnnmorph;python
aonemd/margopher;go
neurodata/knorR;r
tzutalin/labelImg;None
