file_name,FailureClassedAsError,ScriptError,BuildDepError,TravisError,TimeExceeded,NotPythonLang,LogNotFound,No Fail Detected,RepoType
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_koolsla\job_logs\658262122.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_koolsla\job_logs\732060513.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_koolsla\job_logs\732060514.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_koolsla\job_logs\732061398.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_koolsla\job_logs\732350905.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_spampy\job_logs\658259942.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_spampy\job_logs\732059748.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_spampy\job_logs\732061212.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_spampy\job_logs\760730417.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_spampy\job_logs\760730418.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_spampy\job_logs\760730419.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_spampy\job_logs\760730420.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\adhaamehab_arabicnlp\job_logs\197795679.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Tool
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\adhaamehab_arabicnlp\job_logs\203587164.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Tool
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\adhaamehab_arabicnlp\job_logs\203587165.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Tool
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\adhaamehab_arabicnlp\job_logs\203866678.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Tool
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\akoumjian_datefinder\job_logs\759967296.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Tool
