file_name,TestFail,BuildError,TestError,CodeAnalysisError,TravisError,DeploymentError,NoFailDetected,TimeExceeded,NotPythonLang,LogNotFound,No Fault Found,RepoType
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\622768236.txt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\622768237.txt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\622769087.txt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\622769088.txt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\643810250.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\643810251.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\643815800.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\643815801.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\644304705.txt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\644304706.txt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\644314046.txt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\644314047.txt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\647252599.txt,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\647252600.txt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Applied
