file_name,TestFail,BuildError,TestError,CodeAnalysisError,TravisError,DeploymentError,Travis Error,RepoType
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\622768236.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\622768237.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\622769087.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\622769088.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\643810250.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\643810251.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\643815800.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\643815801.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\644304705.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\644304706.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\644314046.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\644314047.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\647252599.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\647252600.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\647338326.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\647338327.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\676319802.txt,[],"['Resource Not Found'],[]","['Resource Not Found'],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\676319803.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677628436.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677628437.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677642139.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677642140.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677644482.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677644483.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677645417.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677645418.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677648841.txt,[],"[],['General Test Error']","[],['General Test Error']",[' Import problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677648842.txt,[],"[],['General Test Error']","[],['General Test Error']",[' Import problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677650889.txt,[],"[],[]","[],[]",['Resource Not Found'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\677650890.txt,[],"[],[]","[],[]",['Resource Not Found'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\694585737.txt,[],"[],['General Test Error']","[],['General Test Error']",[' Import problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\694585738.txt,[],"[],['General Test Error']","[],['General Test Error']",[' Import problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\705749110.txt,['General Test Fail'],"[],[]","[],[]",['General build error'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\705749111.txt,[],"[],[]","[],[]",['General build error'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729518747.txt,[],"[],[]","[],[]",[' Import problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729518748.txt,[],"[],[]","[],[]",[' Import problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729536151.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729536152.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729536306.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729536307.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729539167.txt,[],"[],['General Test Error']","[],['General Test Error']",[' Import problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\729539168.txt,[],"[],['General Test Error']","[],['General Test Error']",[' Import problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\730230581.txt,[],"[],['General Test Error']","[],['General Test Error']",[' Import problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\730230582.txt,[],"[],['General Test Error']","[],['General Test Error']",[' Import problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\730236515.txt,['General Test Fail'],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\732916606.txt,[],"[],[]","[],[]",[' Runtime problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\732916607.txt,[],"[],[]","[],[]",[' Runtime problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\732916805.txt,[],"[],[]","[],[]",[' Runtime problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\732916806.txt,[],"[],[]","[],[]",[' Runtime problem'],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\743909115.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\743909116.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\747611513.txt,[],"['Dependency install Problem'],[]","['Dependency install Problem'],[]",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\747616766.txt,[],"['Dependency install Problem'],[]","['Dependency install Problem'],[]",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\Acellera_moleculekit\job_logs\747618868.txt,[],"['Dependency install Problem'],[]","['Dependency install Problem'],[]",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448133229.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448133307.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448133883.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448133889.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448135301.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448135302.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448135307.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448135308.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136622.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136623.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136625.txt,['General build error'],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136626.txt,[],"[],['General Test Error']","[],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136627.txt,['Test Script Fail'],"[],['General Test Error']","[],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136628.txt,[],"[],['General Test Error']","[],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136629.txt,[],"[],['General Test Error']","[],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136630.txt,[],"[],['General Test Error']","[],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136631.txt,[],"['Sphinx build Error'],['General Test Error']","['Sphinx build Error'],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136635.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136636.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136638.txt,['General build error'],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136639.txt,[],"[],['General Test Error']","[],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136640.txt,['Test Script Fail'],"[],['General Test Error']","[],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136641.txt,[],"[],['General Test Error']","[],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136642.txt,[],"[],['General Test Error']","[],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136643.txt,[],"[],['General Test Error']","[],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448136644.txt,[],"['Sphinx build Error'],['General Test Error']","['Sphinx build Error'],['General Test Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448137647.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448137648.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448137661.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448137662.txt,[],"[],[]","[],[]",[],['Incomplete Log'],[],TRUE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448139123.txt,['General build error'],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aiqm_torchani\job_logs\448139131.txt,['General build error'],"[],['Test Collection Error']","[],['Test Collection Error']",[],[],[],FALSE,Applied
