file_name;TestFail;BuildError;TestError;CodeAnalysisError;TravisError;DeploymentError;RepoType
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_spampy\job_logs\757932134.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_spampy\job_logs\757932135.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_spampy\job_logs\757932136.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\abdullahselek_spampy\job_logs\757932137.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\adhaamehab_arabicnlp\job_logs\197794996.txt;None;None;None;None;None;None;Tool
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\adhaamehab_arabicnlp\job_logs\197795414.txt;None;None;None;None;None;None;Tool
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517893995.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517893996.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517893997.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517893998.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517893999.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517894000.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517894001.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517894002.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517894003.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517894004.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517965203.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517965204.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517965205.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517965206.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517965207.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517965208.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517965209.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517965210.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517965211.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\517965212.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518504816.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518504817.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518504818.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518504819.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518504820.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518504821.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518504822.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518504825.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518504826.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518504827.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518830451.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518830452.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518830453.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518830454.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518830455.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518830456.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518830457.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518830458.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518830459.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518830460.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518833566.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518833567.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518833568.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518833569.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518833570.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518833571.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518833572.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518833573.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518833574.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518833575.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518837930.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518837931.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518837932.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518837933.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518837934.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518837935.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518837936.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518837937.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518837938.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518837939.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518843026.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518843027.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518843028.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518843029.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518843030.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518843031.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518843032.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518843033.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518843034.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518843035.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518890229.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518890230.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518890233.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518890235.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518890238.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518890240.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518890241.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518890242.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518890243.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518890244.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518902501.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518902502.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518902503.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518902504.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518902505.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518902506.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518902507.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518902508.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518902509.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518902510.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903023.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903024.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903025.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903026.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903027.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903028.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903029.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903030.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903031.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518903032.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911043.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911045.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911046.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911048.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911049.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911050.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911052.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911054.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\518911055.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092397.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092399.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092400.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092401.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092403.txt;None;None;None;None;None;None;Applied
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\albarji_proxTV\job_logs\559092405.txt;None;None;None;None;None;None;Applied
