BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
181113647,e4cab7504508a209e9bff2d70e843ee05ccb4b76,PassedToFailed,passed,501,https://github.com/1adrianb/pytorch-estimate-flops/compare/ae14376b041c...8b31bbc21fd6
181112900,8b31bbc21fd6fdd27578143755c85628779d823c,PassedToFailed,failed,493,https://github.com/1adrianb/pytorch-estimate-flops/compare/ae14376b041c...8b31bbc21fd6
181093657,ae14376b041cab497b0cc06d7bce534ef3e2c368,ErroredToPassed,errored,519,https://github.com/1adrianb/pytorch-estimate-flops/compare/cb8d0eb808b6...ae14376b041c
181093255,ae14376b041cab497b0cc06d7bce534ef3e2c368,ErroredToPassed,passed,482,https://github.com/1adrianb/pytorch-estimate-flops/compare/cb8d0eb808b6...ae14376b041c
181092473,cb8d0eb808b69f79e32550e723e60b5953565022,PassedToFailed,passed,506,https://github.com/1adrianb/pytorch-estimate-flops/compare/34d2b3737370...d86639ae0de8
181090294,d86639ae0de8fcc41cc8ba170813f5c7d8e9920b,PassedToFailed,failed,490,https://github.com/1adrianb/pytorch-estimate-flops/compare/34d2b3737370...d86639ae0de8
145061962,34d2b37373705da2843a329ccdc0b980d4c26016,ErroredToPassed,errored,471,https://github.com/1adrianb/pytorch-estimate-flops/compare/4a26ea84be07...34d2b3737370
145061810,34d2b37373705da2843a329ccdc0b980d4c26016,ErroredToPassed,passed,447,https://github.com/1adrianb/pytorch-estimate-flops/compare/4a26ea84be07...34d2b3737370
145061810,34d2b37373705da2843a329ccdc0b980d4c26016,PassedToFailed,passed,447,https://github.com/1adrianb/pytorch-estimate-flops/compare/f7c0f72b22ef...4a26ea84be07
145061611,4a26ea84be07b817f8c21223f7defd1b073277a8,PassedToFailed,failed,465,https://github.com/1adrianb/pytorch-estimate-flops/compare/f7c0f72b22ef...4a26ea84be07
128031692,f7c0f72b22efc9acc218471ba23bdf5662f086f6,ErroredToPassed,errored,481,https://github.com/1adrianb/pytorch-estimate-flops/compare/53de6789918c...f7c0f72b22ef
128029699,f7c0f72b22efc9acc218471ba23bdf5662f086f6,ErroredToPassed,passed,395,https://github.com/1adrianb/pytorch-estimate-flops/compare/53de6789918c...f7c0f72b22ef
128002762,53de6789918c1fbd5b4861bf01c172456153e7bd,PassedToFailed,passed,402,https://github.com/1adrianb/pytorch-estimate-flops/compare/b3b29982bf47...f70875e03b87
128000572,f70875e03b87eb14c56d7ffb1e41e8a27248cf27,PassedToFailed,failed,399,https://github.com/1adrianb/pytorch-estimate-flops/compare/b3b29982bf47...f70875e03b87
128000572,f70875e03b87eb14c56d7ffb1e41e8a27248cf27,FailedToPassed,failed,399,https://github.com/1adrianb/pytorch-estimate-flops/compare/e9ef7ec37167...b3b29982bf47
124013307,b3b29982bf47909004faee2f9dc5f288081b9c43,FailedToPassed,passed,414,https://github.com/1adrianb/pytorch-estimate-flops/compare/e9ef7ec37167...b3b29982bf47
123956308,e9ef7ec371678bce7638c4f24cc97df2881636b3,PassedToErrored,passed,425,https://github.com/1adrianb/pytorch-estimate-flops/compare/0.2.0
123573854,1a156bf7892907bb54949fee6a6b76e200d57cd9,PassedToErrored,errored,479,https://github.com/1adrianb/pytorch-estimate-flops/compare/0.2.0
123573854,1a156bf7892907bb54949fee6a6b76e200d57cd9,ErroredToPassed,errored,479,https://github.com/1adrianb/pytorch-estimate-flops/compare/ee8dc3fa9b79...1a156bf78929
123573844,1a156bf7892907bb54949fee6a6b76e200d57cd9,ErroredToPassed,passed,434,https://github.com/1adrianb/pytorch-estimate-flops/compare/ee8dc3fa9b79...1a156bf78929
123571674,48a6055ab11ea5ca65eaf844fb5cc43a1a7f1109,PassedToFailed,passed,416,https://github.com/1adrianb/pytorch-estimate-flops/compare/949883cf07e6...e7356e5fb266
123570971,e7356e5fb266e3ac28017e4cebde21b98840864e,PassedToFailed,failed,442,https://github.com/1adrianb/pytorch-estimate-flops/compare/949883cf07e6...e7356e5fb266
110914986,a2a5e766c3d0c553d004357b50a8dc27bda87139,FailedToPassed,failed,738,https://github.com/1adrianb/pytorch-estimate-flops/compare/121877dc3beb...a88c28f28dc6
101058028,a88c28f28dc6fe7fadd7e16c596e517b121edc8a,FailedToPassed,passed,536,https://github.com/1adrianb/pytorch-estimate-flops/compare/121877dc3beb...a88c28f28dc6
