BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
233046896,a5d2aabad698637337ce39aa24063cf1bbb462ae,PassedToErrored,passed,831,https://github.com/Cloud-CV/EvalAI/pull/3529
233046875,45ae818ae2752bddb72623984271d82530681772,PassedToErrored,errored,37,https://github.com/Cloud-CV/EvalAI/pull/3529
233046853,d883842ba3e5efa8d3ac16fd47845096a5cf0590,ErroredToPassed,errored,35,https://github.com/Cloud-CV/EvalAI/compare/fb749a4871ea...ab69de409e5d
233046831,ab69de409e5d1b1a0f60c6d019ecbc75599ba4d7,ErroredToPassed,passed,851,https://github.com/Cloud-CV/EvalAI/compare/fb749a4871ea...ab69de409e5d
232982229,eec43f3090ae45c9c7e90991cce55ba7709f9e9b,PassedToFailed,passed,838,https://github.com/Cloud-CV/EvalAI/pull/3524
232965848,6a522cf25ede76e8c368b2da8e857b8254cf0bff,PassedToFailed,failed,557,https://github.com/Cloud-CV/EvalAI/pull/3524
232965848,6a522cf25ede76e8c368b2da8e857b8254cf0bff,FailedToPassed,failed,557,https://github.com/Cloud-CV/EvalAI/pull/3524
232964932,83726aad79b1e24409577e0e05e32d6952abd493,FailedToPassed,passed,821,https://github.com/Cloud-CV/EvalAI/pull/3524
232852449,f0a9744247fc48a99c1eee9a5023e705364fd58f,PassedToFailed,passed,816,https://github.com/Cloud-CV/EvalAI/pull/3496
232833851,a3b29dbb549f6f30253abc656a9e263b606048c4,PassedToFailed,failed,52,https://github.com/Cloud-CV/EvalAI/pull/3496
232833851,a3b29dbb549f6f30253abc656a9e263b606048c4,FailedToPassed,failed,52,https://github.com/Cloud-CV/EvalAI/compare/9c8c510ec907...fb749a4871ea
232758477,fb749a4871eabf36951a4ce89b69811b05d8e182,FailedToPassed,passed,899,https://github.com/Cloud-CV/EvalAI/compare/9c8c510ec907...fb749a4871ea
232753149,9c8c510ec9072d0c39dd405edec58ee31eaf2598,PassedToErrored,passed,933,https://github.com/Cloud-CV/EvalAI/pull/3523
232753118,d090f5e035a6669b745b3265cf4447efbf6742f6,PassedToErrored,errored,37,https://github.com/Cloud-CV/EvalAI/pull/3523
232753118,d090f5e035a6669b745b3265cf4447efbf6742f6,ErroredToPassed,errored,37,https://github.com/Cloud-CV/EvalAI/pull/3531
232743180,2876cffbb5e24cb149d5dbed82556ce542761232,ErroredToPassed,passed,931,https://github.com/Cloud-CV/EvalAI/pull/3531
232716483,478ba1abf6238c793ead64a0db9a0538d7b83b8b,PassedToFailed,passed,919,https://github.com/Cloud-CV/EvalAI/pull/3531
232628988,93f666dd5f215093bac66780a8eec88bf7c86ec4,PassedToFailed,failed,503,https://github.com/Cloud-CV/EvalAI/pull/3531
232416561,f3cc580518996f205236241348f4dd18bd7cfa0b,FailedToPassed,failed,51,https://github.com/Cloud-CV/EvalAI/pull/3530
232399729,996bafea1d6a07f95fc021f519f9d84c61f234bf,FailedToPassed,passed,859,https://github.com/Cloud-CV/EvalAI/pull/3530
232395234,2a27acbc904445fda0a3160318fb2b9b69e1b3ef,PassedToFailed,passed,778,https://github.com/Cloud-CV/EvalAI/pull/3507
232394725,3bec7b15f9574696a9ac89442e27f569415f2449,PassedToFailed,failed,51,https://github.com/Cloud-CV/EvalAI/pull/3507
232394725,3bec7b15f9574696a9ac89442e27f569415f2449,FailedToPassed,failed,51,https://github.com/Cloud-CV/EvalAI/pull/3491
232386378,e754339436d839b7a270edcc5a177cbd85b53091,FailedToPassed,passed,870,https://github.com/Cloud-CV/EvalAI/pull/3491
232315699,3c3fa8df494565ee5508a8794097c71386841c3a,PassedToFailed,passed,885,https://github.com/Cloud-CV/EvalAI/pull/3522
232307714,f936d6a20a3b429382e8ac5d11707b7268971a1a,PassedToFailed,failed,113,https://github.com/Cloud-CV/EvalAI/pull/3522
232307714,f936d6a20a3b429382e8ac5d11707b7268971a1a,FailedToPassed,failed,113,https://github.com/Cloud-CV/EvalAI/pull/3523
232307209,7a5470e78dbe620ca81105ecd183c65864952d59,FailedToPassed,passed,873,https://github.com/Cloud-CV/EvalAI/pull/3523
232197490,9d0e043b5822f526d8938314cd2ea016dddf8dbb,PassedToErrored,passed,937,https://github.com/Cloud-CV/EvalAI/pull/3492
232197451,b1d2ebaa6ecf5abba16adca34d6581847708acd4,PassedToErrored,errored,38,https://github.com/Cloud-CV/EvalAI/pull/3492
232197451,b1d2ebaa6ecf5abba16adca34d6581847708acd4,ErroredToPassed,errored,38,https://github.com/Cloud-CV/EvalAI/pull/3465
232195501,a68d2ddf129c2f717e06b9eaeba4bac79ed7f8dd,ErroredToPassed,passed,1021,https://github.com/Cloud-CV/EvalAI/pull/3465
232195016,6a7d8d90e48c55e11c27c8a807e2696cfb9d8ea4,PassedToFailed,passed,1004,https://github.com/Cloud-CV/EvalAI/pull/3507
232187499,6bb09d2c21134b6b40bd0c1289c76d5e0fd19e42,PassedToFailed,failed,105,https://github.com/Cloud-CV/EvalAI/pull/3507
232187333,df5966049f37be216839e4a179268e403841123a,FailedToPassed,failed,157,https://github.com/Cloud-CV/EvalAI/pull/3507
232078185,80a278bd7a062cb8364e40a08429a5fe83fabffd,FailedToPassed,passed,895,https://github.com/Cloud-CV/EvalAI/pull/3507
232074227,394ec36909e80b4fe2a5358f73401a510274bb12,PassedToErrored,passed,926,https://github.com/Cloud-CV/EvalAI/pull/3520
232074181,4516f33b0468290be642bf9603a96714fcdefe79,PassedToErrored,errored,37,https://github.com/Cloud-CV/EvalAI/pull/3520
232074181,4516f33b0468290be642bf9603a96714fcdefe79,ErroredToPassed,errored,37,https://github.com/Cloud-CV/EvalAI/pull/3316
232071442,382431b63c931583bfff24ccdb2ed71c5d2aca03,ErroredToPassed,passed,820,https://github.com/Cloud-CV/EvalAI/pull/3316
232071407,8efffaa2dac747c7454410088a13991126198a09,PassedToErrored,passed,873,https://github.com/Cloud-CV/EvalAI/pull/2746
232071362,06f9d400cbad0bf91a11b2064f673a71aaa3c6e0,PassedToErrored,errored,38,https://github.com/Cloud-CV/EvalAI/pull/2746
232070895,d846949c31976b6e4bbc8fda8ff26f332f67d186,ErroredToPassed,errored,35,https://github.com/Cloud-CV/EvalAI/pull/3481
232068620,ee3502566a10506e21c5173f7d0e546de957c312,ErroredToPassed,passed,935,https://github.com/Cloud-CV/EvalAI/pull/3481
232061284,04a16b5420a75d5e0ab4bff4e91afd60625a34e7,PassedToFailed,passed,888,https://github.com/Cloud-CV/EvalAI/pull/3481
232060015,9fec5de5429aa49a35fd7cd7054c4909bc71f743,PassedToFailed,failed,851,https://github.com/Cloud-CV/EvalAI/pull/3481
232041568,225ee3df5ce93916afddf12c1c91e5c4d3eefd35,FailedToPassed,failed,889,https://github.com/Cloud-CV/EvalAI/pull/3524
232023279,0d2cfee813cb43a0a9c4fd4804a7056b4fb463bc,FailedToPassed,passed,838,https://github.com/Cloud-CV/EvalAI/pull/3524
231710521,5a0d890bd035dcef22e46197d91998e3f4784774,PassedToErrored,passed,939,https://github.com/Cloud-CV/EvalAI/pull/3518
231710011,9ebdf329fb280e7bb1fe8aeadf6ac0d71fb2cbc5,PassedToErrored,errored,37,https://github.com/Cloud-CV/EvalAI/pull/3518
231710011,9ebdf329fb280e7bb1fe8aeadf6ac0d71fb2cbc5,ErroredToPassed,errored,37,https://github.com/Cloud-CV/EvalAI/commit/fefe57a3500c
231710009,fefe57a3500cad8fd44cd34ac4432944b2b105d6,ErroredToPassed,passed,935,https://github.com/Cloud-CV/EvalAI/commit/fefe57a3500c
231706844,2e5912f1b113c3120528de3db68f54d2528c235b,PassedToErrored,passed,877,https://github.com/Cloud-CV/EvalAI/pull/3511
231706837,4b9da23f4ea4046ff27b2e749d47b61b6e6977e4,PassedToErrored,errored,35,https://github.com/Cloud-CV/EvalAI/pull/3511
231706837,4b9da23f4ea4046ff27b2e749d47b61b6e6977e4,ErroredToPassed,errored,35,https://github.com/Cloud-CV/EvalAI/pull/3517
231700026,749ea6735737b4a836a2f4f9e3a6e8dce6780d55,ErroredToPassed,passed,850,https://github.com/Cloud-CV/EvalAI/pull/3517
231543523,02fb8fe3ae93833ab16918f6d8e6a7d112c127df,PassedToErrored,passed,806,https://github.com/Cloud-CV/EvalAI/pull/3515
231543465,cc2b6720af7691e81de391157cac4991fa141150,PassedToErrored,errored,38,https://github.com/Cloud-CV/EvalAI/pull/3515
231543465,cc2b6720af7691e81de391157cac4991fa141150,ErroredToPassed,errored,38,https://github.com/Cloud-CV/EvalAI/compare/96c2b5e02bfb...bcdd695ce901
231536384,bcdd695ce9013f6d415e41c3e4cce3adea54a576,ErroredToPassed,passed,2002,https://github.com/Cloud-CV/EvalAI/compare/96c2b5e02bfb...bcdd695ce901
231467359,bcdd695ce9013f6d415e41c3e4cce3adea54a576,PassedToErrored,passed,933,https://github.com/Cloud-CV/EvalAI/pull/3514
231467342,e58c405dfee2e0784e791cfd8a1b9bbfa2ff1fe7,PassedToErrored,errored,36,https://github.com/Cloud-CV/EvalAI/pull/3514
231431928,7036d2193df2f88dc85a1e814d3e8213b878ca54,FailedToPassed,failed,55,https://github.com/Cloud-CV/EvalAI/pull/3512
231431877,e18cba23fecdd4e83b7c12443c9bd51a6a7f1de4,FailedToPassed,passed,829,https://github.com/Cloud-CV/EvalAI/pull/3512
231428785,ec5beb8147a899a01821e95dcef461e37a5758ec,PassedToFailed,passed,779,https://github.com/Cloud-CV/EvalAI/pull/3481
231426972,c674c26bd38c6905fca1e83a10ee5140bde07842,PassedToFailed,failed,49,https://github.com/Cloud-CV/EvalAI/pull/3481
231426972,c674c26bd38c6905fca1e83a10ee5140bde07842,FailedToPassed,failed,49,https://github.com/Cloud-CV/EvalAI/pull/3512
231425096,cd6a373d1a3024bf1d88e4d007976f96302b0eeb,FailedToPassed,passed,871,https://github.com/Cloud-CV/EvalAI/pull/3512
231411748,ae5eceeed100b5df881108f947a57fe75b6aef6c,PassedToFailed,passed,819,https://github.com/Cloud-CV/EvalAI/pull/3512
231411680,e39fde07d876ff1d59ff737d1f66bfd2bb3cfd15,PassedToFailed,failed,1021,https://github.com/Cloud-CV/EvalAI/pull/3512
231407512,5703964ddd594ee625aeb4132e436fa1d08fff8b,FailedToPassed,failed,708,https://github.com/Cloud-CV/EvalAI/commit/a0e15cf12d46
231406284,a0e15cf12d46da309c5292937df520039576a4a5,FailedToPassed,passed,771,https://github.com/Cloud-CV/EvalAI/commit/a0e15cf12d46
231406284,a0e15cf12d46da309c5292937df520039576a4a5,PassedToErrored,passed,771,https://github.com/Cloud-CV/EvalAI/pull/3509
231405973,9cc9236afc7879fadef3ad820625596977342a3b,PassedToErrored,errored,37,https://github.com/Cloud-CV/EvalAI/pull/3509
231405973,9cc9236afc7879fadef3ad820625596977342a3b,ErroredToPassed,errored,37,https://github.com/Cloud-CV/EvalAI/pull/3510
231405636,f0462b3ffc41e0945b7e44ab78826ab039441637,ErroredToPassed,passed,954,https://github.com/Cloud-CV/EvalAI/pull/3510
231404947,4c7f9b6a8acaf1cc89ba91ed24f680dbc745736d,PassedToFailed,passed,825,https://github.com/Cloud-CV/EvalAI/pull/3509
231404651,6fe74b296777c57f7626c4ba18aa4e3544009d5d,PassedToFailed,failed,52,https://github.com/Cloud-CV/EvalAI/pull/3509
231404651,6fe74b296777c57f7626c4ba18aa4e3544009d5d,FailedToPassed,failed,52,https://github.com/Cloud-CV/EvalAI/pull/3496
231354902,3ddc2319932556e1319ccfc48004bfd8c3e55302,FailedToPassed,passed,798,https://github.com/Cloud-CV/EvalAI/pull/3496
231347813,9815a8ddd54ed3f89c430459acb296a1bce11414,PassedToFailed,passed,912,https://github.com/Cloud-CV/EvalAI/pull/3496
231347350,344c48f9b8bf36b1568eec32655f26d95139a607,PassedToFailed,failed,50,https://github.com/Cloud-CV/EvalAI/pull/3496
231347350,344c48f9b8bf36b1568eec32655f26d95139a607,FailedToPassed,failed,50,https://github.com/Cloud-CV/EvalAI/pull/3333
231341522,c28288ab6ee8f4ad3c81e6dd2ee024cc3aa34e0c,FailedToPassed,passed,755,https://github.com/Cloud-CV/EvalAI/pull/3333
231276056,96c2b5e02bfbcceba6d1c672d20529a059fd6af8,PassedToErrored,passed,865,https://github.com/Cloud-CV/EvalAI/pull/3508
231275665,81d7e5ea4735f0782ded585da261731d270c8dfb,PassedToErrored,errored,41,https://github.com/Cloud-CV/EvalAI/pull/3508
231275665,81d7e5ea4735f0782ded585da261731d270c8dfb,ErroredToPassed,errored,41,https://github.com/Cloud-CV/EvalAI/commit/24c640f04624
231275637,24c640f046249bd15bd190c1d7434acd181fcf9b,ErroredToPassed,passed,851,https://github.com/Cloud-CV/EvalAI/commit/24c640f04624
231254678,28405f63486459f76acfc8c558e3f28116ef5309,PassedToFailed,passed,945,https://github.com/Cloud-CV/EvalAI/pull/3481
231249605,70cf54b5357805638ddaf4897a69f0930458159f,PassedToFailed,failed,119,https://github.com/Cloud-CV/EvalAI/pull/3481
231243750,7da98c956fa6aacbbd56a2490c2202b7a90fd61b,FailedToPassed,failed,157,https://github.com/Cloud-CV/EvalAI/pull/3506
231203449,19d5add5bdc8fa88e300dcad88701e63cb904ae7,FailedToPassed,passed,855,https://github.com/Cloud-CV/EvalAI/pull/3506
231127137,d3eda1a52caac69613fc62184bb614cec36712a4,PassedToErrored,passed,969,https://github.com/Cloud-CV/EvalAI/pull/3452
231126711,f2cc8235536617fe32590e98cbb9279862389968,PassedToErrored,errored,35,https://github.com/Cloud-CV/EvalAI/pull/3452
231126711,f2cc8235536617fe32590e98cbb9279862389968,ErroredToPassed,errored,35,https://github.com/Cloud-CV/EvalAI/compare/8f5bb1798364...75f7c700bdf3
231126334,75f7c700bdf392466fe8061bba374415f6003902,ErroredToPassed,passed,858,https://github.com/Cloud-CV/EvalAI/compare/8f5bb1798364...75f7c700bdf3
231115806,50c2950b791f2bca8531346d0c2d97c45b538d7a,PassedToFailed,passed,851,https://github.com/Cloud-CV/EvalAI/pull/3447
231110847,f3dadb713edc6191be1ea1652ede6f3ae216e959,PassedToFailed,failed,630,https://github.com/Cloud-CV/EvalAI/pull/3447
231100935,62333f19d6d979cdbf3910eeda0ae64849428d21,ErroredToPassed,errored,35,https://github.com/Cloud-CV/EvalAI/pull/3447
231100767,d5450446ac0776615a4a942516b3034086864c8f,ErroredToPassed,passed,875,https://github.com/Cloud-CV/EvalAI/pull/3447
231028417,b6fa35a896934082817c20a32d260808a78d4103,PassedToErrored,passed,868,https://github.com/Cloud-CV/EvalAI/pull/3502
231028268,c6516463763a1d3278f3ce45ee4a2172cde2cc47,PassedToErrored,errored,38,https://github.com/Cloud-CV/EvalAI/pull/3502
231028253,3b1e755b13080fb867388aea2a8cda87065b6b47,ErroredToPassed,errored,35,https://github.com/Cloud-CV/EvalAI/compare/readme_update
231028198,4913622bd3e6a2271ebea56d238ffd8aa438c2d6,ErroredToPassed,passed,707,https://github.com/Cloud-CV/EvalAI/compare/readme_update
231007727,4913622bd3e6a2271ebea56d238ffd8aa438c2d6,PassedToErrored,passed,880,https://github.com/Cloud-CV/EvalAI/pull/3501
231007726,91586a8b1eb91db1649ebebc75506de8893f49c8,PassedToErrored,errored,35,https://github.com/Cloud-CV/EvalAI/pull/3501
231007726,91586a8b1eb91db1649ebebc75506de8893f49c8,ErroredToPassed,errored,35,https://github.com/Cloud-CV/EvalAI/compare/202001b582fd...4ac30efc123f
231007705,4ac30efc123fa8286df6f4ef800596883cb45d2c,ErroredToPassed,passed,931,https://github.com/Cloud-CV/EvalAI/compare/202001b582fd...4ac30efc123f
231007705,4ac30efc123fa8286df6f4ef800596883cb45d2c,PassedToErrored,passed,931,https://github.com/Cloud-CV/EvalAI/pull/3446
231007681,ed2c22ce7e0692a93a55d2e7526968d5654db413,PassedToErrored,errored,37,https://github.com/Cloud-CV/EvalAI/pull/3446
231007681,ed2c22ce7e0692a93a55d2e7526968d5654db413,ErroredToPassed,errored,37,https://github.com/Cloud-CV/EvalAI/compare/1facdb964aee...202001b582fd
231004264,202001b582fdc332a062b85c02be228c3dcf2cd2,ErroredToPassed,passed,826,https://github.com/Cloud-CV/EvalAI/compare/1facdb964aee...202001b582fd
231004264,202001b582fdc332a062b85c02be228c3dcf2cd2,PassedToErrored,passed,826,https://github.com/Cloud-CV/EvalAI/pull/3498
231004239,30164fa7db733ef00ed1ec36f5c18c11164d8735,PassedToErrored,errored,37,https://github.com/Cloud-CV/EvalAI/pull/3498
231004239,30164fa7db733ef00ed1ec36f5c18c11164d8735,ErroredToPassed,errored,37,https://github.com/Cloud-CV/EvalAI/pull/3501
230982620,fdb4e6c65cac8cd1f8eca3143030a85fad6c5b8c,ErroredToPassed,passed,696,https://github.com/Cloud-CV/EvalAI/pull/3501
230945819,8be10d42afded76d4c364de1b1412fa5097748bf,PassedToFailed,passed,865,https://github.com/Cloud-CV/EvalAI/pull/3491
230941780,f5c6eb5a26d7db29c2b67276d919460e167ce2f0,PassedToFailed,failed,843,https://github.com/Cloud-CV/EvalAI/pull/3491
230941780,f5c6eb5a26d7db29c2b67276d919460e167ce2f0,FailedToPassed,failed,843,https://github.com/Cloud-CV/EvalAI/pull/3483
230940960,7b346ae2513ffadcde8565d091c33bd64af86654,FailedToPassed,passed,771,https://github.com/Cloud-CV/EvalAI/pull/3483
230749367,72321814801ecb0330191d608fb03b1fa6f97bb0,PassedToFailed,passed,855,https://github.com/Cloud-CV/EvalAI/pull/3491
230742812,050cabf8cd04eedaaca3544ea27c6f82075c63da,PassedToFailed,failed,817,https://github.com/Cloud-CV/EvalAI/pull/3491
230742750,8b9522e76984abc700612586986d3166df60002a,FailedToPassed,failed,152,https://github.com/Cloud-CV/EvalAI/pull/3496
230704426,3e3bfb014920881d9357690d808920f92ef82209,FailedToPassed,passed,850,https://github.com/Cloud-CV/EvalAI/pull/3496
230704426,3e3bfb014920881d9357690d808920f92ef82209,PassedToFailed,passed,850,https://github.com/Cloud-CV/EvalAI/pull/3496
230699722,195e2844b8957a797dd79f30864b1863ee4b294b,PassedToFailed,failed,877,https://github.com/Cloud-CV/EvalAI/pull/3496
230699722,195e2844b8957a797dd79f30864b1863ee4b294b,FailedToPassed,failed,877,https://github.com/Cloud-CV/EvalAI/pull/3491
230688819,51e86ae216078d9239acfbeb3b9a5abf56f286cd,FailedToPassed,passed,778,https://github.com/Cloud-CV/EvalAI/pull/3491
230581078,ba6069360395ea11ee2f762afdbe26f0d7a49766,PassedToFailed,passed,876,https://github.com/Cloud-CV/EvalAI/pull/3484
230577296,7c437083db0f01ffc38745235cc05e7cc307a6e5,PassedToFailed,failed,890,https://github.com/Cloud-CV/EvalAI/pull/3484
230577296,7c437083db0f01ffc38745235cc05e7cc307a6e5,FailedToPassed,failed,890,https://github.com/Cloud-CV/EvalAI/pull/3446
230558625,871b18a54929cf7ca958b513adfb492de5bc7019,FailedToPassed,passed,824,https://github.com/Cloud-CV/EvalAI/pull/3446
230558625,871b18a54929cf7ca958b513adfb492de5bc7019,PassedToFailed,passed,824,https://github.com/Cloud-CV/EvalAI/pull/3481
230556839,41a1296fad6d6109f68a92ff49e214d55c094168,PassedToFailed,failed,903,https://github.com/Cloud-CV/EvalAI/pull/3481
230556839,41a1296fad6d6109f68a92ff49e214d55c094168,FailedToPassed,failed,903,https://github.com/Cloud-CV/EvalAI/pull/3452
230546313,0553c9bdf286d82f7c5266d597a1ec1e9942b99f,FailedToPassed,passed,836,https://github.com/Cloud-CV/EvalAI/pull/3452
230437153,50df9a8ff5e0495b6029fa0939684ec0999c6c57,PassedToFailed,passed,1560,https://github.com/Cloud-CV/EvalAI/pull/3493
230241160,5b99604627cf603ca228550136e359b1281c66c3,PassedToFailed,failed,157,https://github.com/Cloud-CV/EvalAI/pull/3493
230241160,5b99604627cf603ca228550136e359b1281c66c3,FailedToPassed,failed,157,https://github.com/Cloud-CV/EvalAI/compare/49474713c4a2...50df9a8ff5e0
230237686,50df9a8ff5e0495b6029fa0939684ec0999c6c57,FailedToPassed,passed,1898,https://github.com/Cloud-CV/EvalAI/compare/49474713c4a2...50df9a8ff5e0
230237661,50df9a8ff5e0495b6029fa0939684ec0999c6c57,PassedToErrored,passed,857,https://github.com/Cloud-CV/EvalAI/pull/3494
