BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
209473585,809d9fa0c2435a6fdf434f4290e1235030c57b51,ErroredToPassed,errored,0,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/0eae42495751f3059179b05c03e2c4892cd4923e...a25fb301bfd041e622e97d98a77ece0770ef0316
232787078,a25fb301bfd041e622e97d98a77ece0770ef0316,ErroredToPassed,passed,261,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/0eae42495751f3059179b05c03e2c4892cd4923e...a25fb301bfd041e622e97d98a77ece0770ef0316
209473580,4d9db46efc2c5b25a289776a52d55e8e202bf0d2,PassedToErrored,passed,222,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/pull/63
209473579,df19979be053ac736afe40501abe3d802cf93817,PassedToErrored,errored,439,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/pull/63
209473578,1c353b215ef159c847d732fd9136e9e286303dda,ErroredToPassed,errored,525,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/c39d72c8db38ba1f4deb90139185b6705536531b...daeee92c8838050bb2bffec007a6e100f6af8393
209473577,daeee92c8838050bb2bffec007a6e100f6af8393,ErroredToPassed,passed,448,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/c39d72c8db38ba1f4deb90139185b6705536531b...daeee92c8838050bb2bffec007a6e100f6af8393
209473574,daeee92c8838050bb2bffec007a6e100f6af8393,PassedToErrored,passed,445,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/c39d72c8db38ba1f4deb90139185b6705536531b...daeee92c8838050bb2bffec007a6e100f6af8393
209473573,daeee92c8838050bb2bffec007a6e100f6af8393,PassedToErrored,errored,590,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/c39d72c8db38ba1f4deb90139185b6705536531b...daeee92c8838050bb2bffec007a6e100f6af8393
209473573,daeee92c8838050bb2bffec007a6e100f6af8393,ErroredToPassed,errored,590,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/c39d72c8db38...daeee92c8838
209473572,daeee92c8838050bb2bffec007a6e100f6af8393,ErroredToPassed,passed,443,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/c39d72c8db38...daeee92c8838
209473571,f90c2b86889a3d62f02cd0fb2bdf16813ceae7f9,PassedToErrored,passed,448,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/dc9d0294515890c4c159d2ce7512bbad079375ef...c39d72c8db38ba1f4deb90139185b6705536531b
209473570,c39d72c8db38ba1f4deb90139185b6705536531b,PassedToErrored,errored,442,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/dc9d0294515890c4c159d2ce7512bbad079375ef...c39d72c8db38ba1f4deb90139185b6705536531b
209473570,c39d72c8db38ba1f4deb90139185b6705536531b,ErroredToPassed,errored,442,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/dc9d0294515890c4c159d2ce7512bbad079375ef...c39d72c8db38ba1f4deb90139185b6705536531b
209473569,c39d72c8db38ba1f4deb90139185b6705536531b,ErroredToPassed,passed,447,https://github.com/IBM/MAX-Image-Caption-Generator-Web-App/compare/dc9d0294515890c4c159d2ce7512bbad079375ef...c39d72c8db38ba1f4deb90139185b6705536531b
