BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
231117383,643dbe4064870461c20fb35da49e86ec6734d37c,PassedToErrored,passed,148,https://github.com/IBM/MAX-ResNet-50/pull/69
228642709,feef0ae8af401870a8147339a2626a18406fc1b8,PassedToErrored,errored,64,https://github.com/IBM/MAX-ResNet-50/pull/69
228642704,5a733b220dee090e0b1da2706c3c213a26ff7fad,ErroredToPassed,errored,63,https://github.com/IBM/MAX-ResNet-50/compare/686c1edf42f9...643dbe406487
228642592,643dbe4064870461c20fb35da49e86ec6734d37c,ErroredToPassed,passed,148,https://github.com/IBM/MAX-ResNet-50/compare/686c1edf42f9...643dbe406487
221433883,686c1edf42f9362e92b9d4de4bb01f6b79b16e33,PassedToErrored,passed,146,https://github.com/IBM/MAX-ResNet-50/compare/44dec920d34b...1e4cd40f6bb4
220564692,1e4cd40f6bb4131d7729465f9c6da4e1e139945c,PassedToErrored,errored,59,https://github.com/IBM/MAX-ResNet-50/compare/44dec920d34b...1e4cd40f6bb4
220564695,7a8dc48a149e9f96129c16a0d181534c8e1b4c03,ErroredToPassed,errored,60,https://github.com/IBM/MAX-ResNet-50/compare/4705f630d47b...686c1edf42f9
220564627,686c1edf42f9362e92b9d4de4bb01f6b79b16e33,ErroredToPassed,passed,157,https://github.com/IBM/MAX-ResNet-50/compare/4705f630d47b...686c1edf42f9
220564627,686c1edf42f9362e92b9d4de4bb01f6b79b16e33,PassedToErrored,passed,157,https://github.com/IBM/MAX-ResNet-50/commit/e40d2018cddd
220559917,e40d2018cddd2e203ec0158012acf072d23edbf0,PassedToErrored,errored,189,https://github.com/IBM/MAX-ResNet-50/commit/e40d2018cddd
220559917,e40d2018cddd2e203ec0158012acf072d23edbf0,ErroredToPassed,errored,189,https://github.com/IBM/MAX-ResNet-50/pull/67
220559921,0fedbc1a4ed697d7ec0059e34a890b7e4dcf26f9,ErroredToPassed,passed,153,https://github.com/IBM/MAX-ResNet-50/pull/67
215484578,4705f630d47bf6fb75b0a2aa623f4a76b7280af6,PassedToErrored,passed,144,https://github.com/IBM/MAX-ResNet-50/pull/64
211499167,0515aa0b84670901ee284a6a13e3886c0bb3810e,PassedToErrored,errored,61,https://github.com/IBM/MAX-ResNet-50/pull/64
211499164,44dec920d34b94df5d5a6ac800603d98dd5c331a,ErroredToPassed,errored,60,https://github.com/IBM/MAX-ResNet-50/compare/875cb4f0fdcd...4705f630d47b
211499139,4705f630d47bf6fb75b0a2aa623f4a76b7280af6,ErroredToPassed,passed,151,https://github.com/IBM/MAX-ResNet-50/compare/875cb4f0fdcd...4705f630d47b
210530435,875cb4f0fdcd7adc65bc89ed291f1d56baf0a8d1,PassedToFailed,passed,168,https://github.com/IBM/MAX-ResNet-50/pull/62
209240553,2af3466d1e5288ccba56a479228e1b482abac192,PassedToFailed,failed,149,https://github.com/IBM/MAX-ResNet-50/pull/62
