BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
770155899,c9735a3c3eb8ce65dd977de29aa93446e15c8e2a,PassedToFailed,passed,109,https://github.com/IlyaGusev/rnnmorph/compare/4acc539ab9ff...deeeea750746
770155412,deeeea7507461d87d88ef77ed68914962d972897,PassedToFailed,failed,75,https://github.com/IlyaGusev/rnnmorph/compare/4acc539ab9ff...deeeea750746
770154984,4acc539ab9ffdbb831ce91efbe4654315860246f,FailedToPassed,failed,69,https://github.com/IlyaGusev/rnnmorph/compare/3de9fec2f1e6...4acc539ab9ff
636232704,4acc539ab9ffdbb831ce91efbe4654315860246f,FailedToPassed,passed,174,https://github.com/IlyaGusev/rnnmorph/compare/3de9fec2f1e6...4acc539ab9ff
529233829,bf40957087098d7437d1e25d1850bea4e4412958,PassedToErrored,passed,148,https://github.com/IlyaGusev/rnnmorph/pull/3
528794704,bf1f1217084cf7fdaf87ed63e8b94db7a0f3f65e,PassedToErrored,errored,42,https://github.com/IlyaGusev/rnnmorph/pull/3
528794704,bf1f1217084cf7fdaf87ed63e8b94db7a0f3f65e,ErroredToPassed,errored,42,https://github.com/IlyaGusev/rnnmorph/compare/45a56a307ee8...7fdcd907978f
529231556,7fdcd907978fd20e7f5a293b9b186f929468e071,ErroredToPassed,passed,125,https://github.com/IlyaGusev/rnnmorph/compare/45a56a307ee8...7fdcd907978f
391368178,847601ecbbc989464058702630e7adaf423e3406,PassedToFailed,passed,153,https://github.com/IlyaGusev/rnnmorph/compare/8bf3bcb2a457...2196992d1373
391263660,2196992d1373932ac17e0478c07bfd57f591e78b,PassedToFailed,failed,121,https://github.com/IlyaGusev/rnnmorph/compare/8bf3bcb2a457...2196992d1373
390541841,3ba9c8f2fbe30e9d65cdd0acce8362168ed9404d,FailedToPassed,failed,63,https://github.com/IlyaGusev/rnnmorph/compare/76182ad73201...0c30d75706cc
390413636,0c30d75706cc13d377bf60cd30b5b5610d52b501,FailedToPassed,passed,104,https://github.com/IlyaGusev/rnnmorph/compare/76182ad73201...0c30d75706cc
387661846,1ec5eb452aca107f0adc86aa9f3250caf84f0823,PassedToFailed,passed,122,https://github.com/IlyaGusev/rnnmorph/compare/a6a080259603...5af45fc2e674
387659868,5af45fc2e674512f880907a93e8bec7722175980,PassedToFailed,failed,118,https://github.com/IlyaGusev/rnnmorph/compare/a6a080259603...5af45fc2e674
387659868,5af45fc2e674512f880907a93e8bec7722175980,FailedToPassed,failed,118,https://github.com/IlyaGusev/rnnmorph/compare/b748eb9628f9...a6a080259603
387652776,a6a080259603c239f0260a25e5435c4f2946fc7c,FailedToPassed,passed,113,https://github.com/IlyaGusev/rnnmorph/compare/b748eb9628f9...a6a080259603
387652776,a6a080259603c239f0260a25e5435c4f2946fc7c,PassedToFailed,passed,113,https://github.com/IlyaGusev/rnnmorph/compare/e3b0af9f0ea2...b748eb9628f9
386999822,b748eb9628f9cec412c8dee90ec242ffb66cb9df,PassedToFailed,failed,62,https://github.com/IlyaGusev/rnnmorph/compare/e3b0af9f0ea2...b748eb9628f9
386936907,c1e6fad9a153eec9da7a8effd88420d09245929a,FailedToPassed,failed,75,https://github.com/IlyaGusev/rnnmorph/compare/84331eba4f28...d34c661dc3fc
385957797,d34c661dc3fcd0600f21238af755c72f8473e2e9,FailedToPassed,passed,96,https://github.com/IlyaGusev/rnnmorph/compare/84331eba4f28...d34c661dc3fc
352329908,fb324daaa27ae4dbe73870c89a00bebbf7b98776,PassedToFailed,passed,101,https://github.com/IlyaGusev/rnnmorph/compare/e7fa6011166c...0a053fbcd48d
352328688,0a053fbcd48d7dc426f62926b308433b314a73bc,PassedToFailed,failed,115,https://github.com/IlyaGusev/rnnmorph/compare/e7fa6011166c...0a053fbcd48d
352323755,3e6a51e44725d39a2e8d2bfca8edce954e15d475,FailedToPassed,failed,116,https://github.com/IlyaGusev/rnnmorph/compare/ed67599b6412...b73f5906887d
352322298,b73f5906887d776123b36bb34104adab5e4eade5,FailedToPassed,passed,109,https://github.com/IlyaGusev/rnnmorph/compare/ed67599b6412...b73f5906887d
352117693,ed67599b6412115f2b7659b41d32b7021356f473,PassedToFailed,passed,107,https://github.com/IlyaGusev/rnnmorph/compare/768c77344d0d...87614fb6e2bf
352116645,87614fb6e2bf82d975dfd2a03aa499ce0dfefa36,PassedToFailed,failed,76,https://github.com/IlyaGusev/rnnmorph/compare/768c77344d0d...87614fb6e2bf
352110495,84331eba4f28ac0b7fe4bf623e372883ca6950b2,FailedToPassed,failed,78,https://github.com/IlyaGusev/rnnmorph/compare/6b476babcf33...934f668dfb55
352109636,934f668dfb55fca9f60859fe1fd5f14de00d6ff4,FailedToPassed,passed,135,https://github.com/IlyaGusev/rnnmorph/compare/6b476babcf33...934f668dfb55
352109636,934f668dfb55fca9f60859fe1fd5f14de00d6ff4,PassedToFailed,passed,135,https://github.com/IlyaGusev/rnnmorph/compare/4fa5d8c56bf1...6b476babcf33
350383806,6b476babcf33a325cac0a288127a0fd73c71baa6,PassedToFailed,failed,186,https://github.com/IlyaGusev/rnnmorph/compare/4fa5d8c56bf1...6b476babcf33
350289465,4fa5d8c56bf11b3195b428b4d8dd498d9e084563,FailedToPassed,failed,80,https://github.com/IlyaGusev/rnnmorph/compare/9bca4d518113...f8a7d598ebca
289692298,f8a7d598ebca17a9c0e8816b5ba28b45e0546a62,FailedToPassed,passed,244,https://github.com/IlyaGusev/rnnmorph/compare/9bca4d518113...f8a7d598ebca
283644979,2205457191dd3ec946e04eb2f7ea626533d141bc,PassedToFailed,passed,176,https://github.com/IlyaGusev/rnnmorph/compare/075b7836051e...8cb028201452
283634437,8cb028201452aaad9a667e4a701199a61f5df8d7,PassedToFailed,failed,117,https://github.com/IlyaGusev/rnnmorph/compare/075b7836051e...8cb028201452
283634437,8cb028201452aaad9a667e4a701199a61f5df8d7,FailedToPassed,failed,117,https://github.com/IlyaGusev/rnnmorph/compare/e6b9e5a82cd8...075b7836051e
283172347,075b7836051ea3f6a6374a79557905c1c7b8cf5e,FailedToPassed,passed,98,https://github.com/IlyaGusev/rnnmorph/compare/e6b9e5a82cd8...075b7836051e
283137464,18cf5964d716479169a8a88c16476c340f00421d,PassedToFailed,passed,132,https://github.com/IlyaGusev/rnnmorph/compare/359470a96b89...93a8104399c6
283134793,93a8104399c6e439e9216e946e0a3b9aea7981cd,PassedToFailed,failed,86,https://github.com/IlyaGusev/rnnmorph/compare/359470a96b89...93a8104399c6
