BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
416350737,1c82ee7dc22af441ebe294e4eec0932a250b1d96,PassedToErrored,passed,278,https://github.com/Keep-Current/Engine/pull/21
416350238,e640ea5a9d1aab40f4bda6f47d445715fd5631c1,PassedToErrored,errored,97,https://github.com/Keep-Current/Engine/pull/21
416350238,e640ea5a9d1aab40f4bda6f47d445715fd5631c1,ErroredToPassed,errored,97,https://github.com/Keep-Current/Engine/compare/c20808bbb857...29baa91f6c0d
416350015,29baa91f6c0dda98929a92d79db45fb3ddc68f3e,ErroredToPassed,passed,292,https://github.com/Keep-Current/Engine/compare/c20808bbb857...29baa91f6c0d
392279601,e4f17553e8b6a61b40bccba0a7d185ebd6e739a4,PassedToErrored,passed,192,https://github.com/Keep-Current/Engine/compare/67f88fc02a31...3d7cd695d5e6
392278961,3d7cd695d5e6a6a19c52756e0e0815d8576b8b8e,PassedToErrored,errored,149,https://github.com/Keep-Current/Engine/compare/67f88fc02a31...3d7cd695d5e6
392278961,3d7cd695d5e6a6a19c52756e0e0815d8576b8b8e,ErroredToPassed,errored,149,https://github.com/Keep-Current/Engine/compare/48232ac5f923...67f88fc02a31
392272303,67f88fc02a310a24ac6d473ab977cca22bd85e59,ErroredToPassed,passed,884,https://github.com/Keep-Current/Engine/compare/48232ac5f923...67f88fc02a31
392114203,b655c196cc40490ce17a55a71c0e08901cf47a3a,PassedToErrored,passed,998,https://github.com/Keep-Current/Engine/compare/0b7683d1a274...947042046b1b
391813666,947042046b1ba9981547ca8eec92bee5627c00c0,PassedToErrored,errored,569,https://github.com/Keep-Current/Engine/compare/0b7683d1a274...947042046b1b
391813666,947042046b1ba9981547ca8eec92bee5627c00c0,ErroredToPassed,errored,569,https://github.com/Keep-Current/Engine/compare/b1573d267982...0b7683d1a274
391694521,0b7683d1a274d8ee01cd8fa4a721048b543756cd,ErroredToPassed,passed,1007,https://github.com/Keep-Current/Engine/compare/b1573d267982...0b7683d1a274
391694521,0b7683d1a274d8ee01cd8fa4a721048b543756cd,PassedToFailed,passed,1007,https://github.com/Keep-Current/Engine/compare/fe2b024ca813...b1573d267982
391688622,b1573d267982ee7afe59f60809e2ba1b6e16b5e6,PassedToFailed,failed,928,https://github.com/Keep-Current/Engine/compare/fe2b024ca813...b1573d267982
