BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
632137730,3bdfb6be73de0f78e5c08f3a51376ad3efa00b6c,FailedToPassed,failed,1072,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/cb7819a581136e06816bbe0edb253fe08fa1c6e9...3bdfb6be73de0f78e5c08f3a51376ad3efa00b6c
619931124,3bdfb6be73de0f78e5c08f3a51376ad3efa00b6c,FailedToPassed,passed,1162,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/cb7819a581136e06816bbe0edb253fe08fa1c6e9...3bdfb6be73de0f78e5c08f3a51376ad3efa00b6c
511028791,cb7819a581136e06816bbe0edb253fe08fa1c6e9,PassedToFailed,passed,1739,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/57
511021621,1fbbc76d1af71ac4fcf8c69ea15296fe3feda5d1,PassedToFailed,failed,1043,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/57
511019826,af267d8fa482aa826b0706d11f2b42e4d69b6377,FailedToPassed,failed,1529,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/3ef0cf01548146de93b8cab2f45766c0e0e711d2...45af69817e71f8286296a9223a55feae8b970180
500987603,45af69817e71f8286296a9223a55feae8b970180,FailedToPassed,passed,1311,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/3ef0cf01548146de93b8cab2f45766c0e0e711d2...45af69817e71f8286296a9223a55feae8b970180
482281608,45af69817e71f8286296a9223a55feae8b970180,PassedToErrored,passed,1161,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/54
482281425,21f19ab406022a3fd44949e28e4a9392032bbabc,PassedToErrored,errored,211,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/54
482281425,21f19ab406022a3fd44949e28e4a9392032bbabc,ErroredToPassed,errored,211,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/76e2e5c92568...45af69817e71
482281473,45af69817e71f8286296a9223a55feae8b970180,ErroredToPassed,passed,1116,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/76e2e5c92568...45af69817e71
471904504,89416c532d3f172f21d4785a3a0c5f73d15075c5,PassedToErrored,passed,983,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/077e4a5be141...4e825e345589
471873494,4e825e345589aeed049c944f37f54fd5583353bb,PassedToErrored,errored,1041,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/077e4a5be141...4e825e345589
346588186,42789a13a8a5e66be92b61e56b6a2eb365559f50,PassedToErrored,passed,1152,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/48
346588162,1332ba7ee2b429509fbd805be94a8bd6b9be7bb6,PassedToErrored,errored,226,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/48
346588162,1332ba7ee2b429509fbd805be94a8bd6b9be7bb6,ErroredToPassed,errored,226,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/commit/8c8afef050e9
346584719,8c8afef050e951d4e8fd91f10397b0c3a537d204,ErroredToPassed,passed,1032,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/commit/8c8afef050e9
295691144,a05b325cbe553d246ebdc70abf4970e471c4b22f,PassedToFailed,passed,1111,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/2b113731c0af...0926356caa9e
295670843,0926356caa9ef6bdc192a5a04277fd73ec41cb64,PassedToFailed,failed,1033,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/2b113731c0af...0926356caa9e
295666150,2b113731c0afb964fc99d282f29f31df08ccad21,FailedToPassed,failed,1121,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/1.3.5
280252790,8a28e2d9f60ba13f10701d1d9481bc8f2caa8293,FailedToPassed,passed,964,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/1.3.5
280246074,389d15709d831610226ac953e8c2a586d2df3068,PassedToErrored,passed,1016,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/40
280245983,6fb0eabdc7016a28144d8bf307446270aa303911,PassedToErrored,errored,31,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/40
280245930,80f243e75ee6db0700f4a7503de8faa5bea8fe90,ErroredToPassed,errored,31,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/1.3.4
278085503,94d51ec2a6b7c08db2e58b03b1f70e8e8ad36fa3,ErroredToPassed,passed,1022,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/1.3.4
278085503,94d51ec2a6b7c08db2e58b03b1f70e8e8ad36fa3,PassedToErrored,passed,1022,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/38
278076271,2ab51b6ac7bdc291df64419d85f4d814f630c7de,PassedToErrored,errored,62,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/38
278076271,2ab51b6ac7bdc291df64419d85f4d814f630c7de,ErroredToPassed,errored,62,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/3614ae63f64e...94d51ec2a6b7
278076337,94d51ec2a6b7c08db2e58b03b1f70e8e8ad36fa3,ErroredToPassed,passed,1117,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/3614ae63f64e...94d51ec2a6b7
278068820,ed65bfe30183daa7d58621a76de76ae7bbd999d4,PassedToErrored,passed,1099,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/37
278068709,de06a0785f60bce37512f03cbc6139bf6b8c0a25,PassedToErrored,errored,33,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/pull/37
278068709,de06a0785f60bce37512f03cbc6139bf6b8c0a25,ErroredToPassed,errored,33,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/da9709abf693...506f2e88a51d
278066148,506f2e88a51d4894da28b4014bf50974a831a396,ErroredToPassed,passed,970,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/da9709abf693...506f2e88a51d
278066148,506f2e88a51d4894da28b4014bf50974a831a396,PassedToFailed,passed,970,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/6f09cc09e585...da9709abf693
278058713,da9709abf6930f3ceb4275543f5becc5efe77ba1,PassedToFailed,failed,981,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/6f09cc09e585...da9709abf693
278051361,46f1c60d1823b1a6746966c2080bdd3582c06040,FailedToPassed,failed,924,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/1243d7619160...cf1433c0e4d3
278049057,cf1433c0e4d31f8ed387f286231dc0db195ae5c1,FailedToPassed,passed,1010,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/1243d7619160...cf1433c0e4d3
278049057,cf1433c0e4d31f8ed387f286231dc0db195ae5c1,PassedToFailed,passed,1010,https://github.com/Kensuke-Mitsuzawa/JapaneseTokenizers/compare/0f5b0cf3465e...1243d7619160
