BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
756604579,48a4f77da44fb359a6e7dd649e259c27c31983a1,PassedToErrored,passed,1036,https://github.com/MycroftAI/mycroft-core/pull/2648
756594091,563f69960fd55e1c7d205eca282f76fa3a1ad374,PassedToErrored,errored,215,https://github.com/MycroftAI/mycroft-core/pull/2648
756594091,563f69960fd55e1c7d205eca282f76fa3a1ad374,ErroredToPassed,errored,215,https://github.com/MycroftAI/mycroft-core/pull/2629
756584656,1ab2b54acbd423960688e9f3712e9d0c590107e7,ErroredToPassed,passed,1042,https://github.com/MycroftAI/mycroft-core/pull/2629
756527168,7c6a515e7b70589c48ccd28a6ed3f35674e888ab,PassedToErrored,passed,965,https://github.com/MycroftAI/mycroft-core/pull/2819
756474237,bfae733b6a1cc150d720c6d6ec50758dfb2c5c50,PassedToErrored,errored,213,https://github.com/MycroftAI/mycroft-core/pull/2819
756467481,3e09cabf481e8c384d9d44e1e785ddbd5d0e4ebb,ErroredToPassed,errored,216,https://github.com/MycroftAI/mycroft-core/pull/2811
756464936,a31bb554a99b03610181bf42ceb1b12b614cf96e,ErroredToPassed,passed,991,https://github.com/MycroftAI/mycroft-core/pull/2811
756464936,a31bb554a99b03610181bf42ceb1b12b614cf96e,PassedToErrored,passed,991,https://github.com/MycroftAI/mycroft-core/pull/2817
756464622,2426c241f9e0ddcd7583acd9412bf5a19e6c9b74,PassedToErrored,errored,212,https://github.com/MycroftAI/mycroft-core/pull/2817
756456211,ddd18fcfa64e7332980dd93f5e2d281b69bbe43a,ErroredToPassed,errored,213,https://github.com/MycroftAI/mycroft-core/pull/2811
756317691,6d4ebaf6e6790c3a21850f2619b9002591b2599b,ErroredToPassed,passed,968,https://github.com/MycroftAI/mycroft-core/pull/2811
756317691,6d4ebaf6e6790c3a21850f2619b9002591b2599b,PassedToErrored,passed,968,https://github.com/MycroftAI/mycroft-core/pull/2817
756316881,55c86e074fa511d97bbab813e203bb928dd0c1c9,PassedToErrored,errored,212,https://github.com/MycroftAI/mycroft-core/pull/2817
756313876,467730a5091e02882bb5ce8c2a2292f0c4139bf1,ErroredToPassed,errored,896,https://github.com/MycroftAI/mycroft-core/pull/2811
756313193,f88184736daea70483afba4a312a811c0753844b,ErroredToPassed,passed,1001,https://github.com/MycroftAI/mycroft-core/pull/2811
756155512,0165626311941c04bee356b8f6c7ecb3e58b7822,PassedToFailed,passed,998,https://github.com/MycroftAI/mycroft-core/pull/2813
756141992,de990cad24b76decd8a67afd1e5056da1d2ba997,PassedToFailed,failed,979,https://github.com/MycroftAI/mycroft-core/pull/2813
756141992,de990cad24b76decd8a67afd1e5056da1d2ba997,FailedToPassed,failed,979,https://github.com/MycroftAI/mycroft-core/pull/2811
756130250,458ebc5e7a52975cf49fe9cf33a7b5f755d66d3a,FailedToPassed,passed,999,https://github.com/MycroftAI/mycroft-core/pull/2811
755710023,90651846cef32f2290dde336f82fddf6e306430f,PassedToFailed,passed,1005,https://github.com/MycroftAI/mycroft-core/pull/2813
755700239,20f69ba6d2720eb004f1ecf98156d6489ade941a,PassedToFailed,failed,978,https://github.com/MycroftAI/mycroft-core/pull/2813
755699702,0822b6bca4ab609b44c58fac55d800585f7ba3af,FailedToPassed,failed,1015,https://github.com/MycroftAI/mycroft-core/pull/2804
755688801,11d3359d4b736f4e1258670e92e8fb60ad673c20,FailedToPassed,passed,1028,https://github.com/MycroftAI/mycroft-core/pull/2804
755521519,2888cedf761a1547d44d7503fa388b5267321af4,PassedToFailed,passed,1027,https://github.com/MycroftAI/mycroft-core/pull/2813
755505892,97e3d94db640db06b7cf250a84d1c3735d932ecb,PassedToFailed,failed,1018,https://github.com/MycroftAI/mycroft-core/pull/2813
755505892,97e3d94db640db06b7cf250a84d1c3735d932ecb,FailedToPassed,failed,1018,https://github.com/MycroftAI/mycroft-core/pull/2811
755413696,f69874cce5bc6194e168f0804ca5934b19d2d475,FailedToPassed,passed,1022,https://github.com/MycroftAI/mycroft-core/pull/2811
755406007,4ff3256f4a5178ee3f3ecede424d1c2be45b64f0,PassedToFailed,passed,1006,https://github.com/MycroftAI/mycroft-core/pull/2803
755322449,fe6bdd7f2bd8c934f37c7238c73fc2a8913dfb57,PassedToFailed,failed,988,https://github.com/MycroftAI/mycroft-core/pull/2803
755322449,fe6bdd7f2bd8c934f37c7238c73fc2a8913dfb57,FailedToPassed,failed,988,https://github.com/MycroftAI/mycroft-core/compare/5e6ba0369585...1a179dacab94
755242124,1a179dacab94869079755beb83eac735e8d3efe5,FailedToPassed,passed,993,https://github.com/MycroftAI/mycroft-core/compare/5e6ba0369585...1a179dacab94
755232997,4559efec688514c4cdce158d97e6fe54193aae23,PassedToFailed,passed,1012,https://github.com/MycroftAI/mycroft-core/pull/2803
755221533,ee15a03ace7cdb1bc08a44d03eb7a59c1691c20e,PassedToFailed,failed,986,https://github.com/MycroftAI/mycroft-core/pull/2803
755175011,dbcde385f9e439e96ef69772d36b6fc7b525fc43,FailedToPassed,failed,1014,https://github.com/MycroftAI/mycroft-core/pull/2809
755163957,33df5515f261c3853bee4d88f337f42ab6025ca1,FailedToPassed,passed,1002,https://github.com/MycroftAI/mycroft-core/pull/2809
755134495,5e6ba03695853d75dcf8d48dc9da4e11e08d8c3f,PassedToErrored,passed,981,https://github.com/MycroftAI/mycroft-core/pull/2804
755092783,58663697fe4ed81a3687d43685bee23e2783b6d3,PassedToErrored,errored,3760,https://github.com/MycroftAI/mycroft-core/pull/2804
755092783,58663697fe4ed81a3687d43685bee23e2783b6d3,ErroredToPassed,errored,3760,https://github.com/MycroftAI/mycroft-core/pull/2804
755084387,c8b98f4de84e27470347dd23597316aa688fafea,ErroredToPassed,passed,1007,https://github.com/MycroftAI/mycroft-core/pull/2804
755012517,05c607f4efb7c5acb3d992cf6ae10ca1f5938341,PassedToFailed,passed,985,https://github.com/MycroftAI/mycroft-core/pull/2803
755001695,5581debd056636a15bd7b609a2b1aa96ee9640f5,PassedToFailed,failed,929,https://github.com/MycroftAI/mycroft-core/pull/2803
755001695,5581debd056636a15bd7b609a2b1aa96ee9640f5,FailedToPassed,failed,929,https://github.com/MycroftAI/mycroft-core/compare/303f6a3b957b...99f43b964eca
754971968,99f43b964eca4ac3ecf12a48073caed236b6faa8,FailedToPassed,passed,993,https://github.com/MycroftAI/mycroft-core/compare/303f6a3b957b...99f43b964eca
754872240,3644931aa8e60318cdbf4a010102630e9dfd1107,PassedToFailed,passed,1000,https://github.com/MycroftAI/mycroft-core/pull/2803
754871488,8987061bb401f66dc7892fc656770e76b9a87db3,PassedToFailed,failed,961,https://github.com/MycroftAI/mycroft-core/pull/2803
754861092,4e0f16de9076a66deb3726ff5a8a22a38ef03328,FailedToPassed,failed,953,https://github.com/MycroftAI/mycroft-core/pull/2805
754855307,4b1eaa4e24d067ccc6b1ff42c04bab44b6b37a93,FailedToPassed,passed,957,https://github.com/MycroftAI/mycroft-core/pull/2805
754855307,4b1eaa4e24d067ccc6b1ff42c04bab44b6b37a93,PassedToFailed,passed,957,https://github.com/MycroftAI/mycroft-core/pull/2803
754806823,91bf307303b74c677e15f31ff942471b891e75fb,PassedToFailed,failed,958,https://github.com/MycroftAI/mycroft-core/pull/2803
