BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
765352827,68d0c9a0b3a0ba44087706381aeb2189612f6740,PassedToFailed,passed,760,https://github.com/NRCan/geo-deep-learning/pull/197
765343900,b32a76c136e5229059664a08566dd2153add32d7,PassedToFailed,failed,717,https://github.com/NRCan/geo-deep-learning/pull/197
765231810,461856649132821a7e1f9fb838d28a7d11e813e2,FailedToPassed,failed,313,https://github.com/NRCan/geo-deep-learning/pull/197
765143352,99819afb058801df6c803d4bd313e8a8c6fe7091,FailedToPassed,passed,698,https://github.com/NRCan/geo-deep-learning/pull/197
764919739,b90a386152c0715fb201d738a5849d96c4ee9599,PassedToFailed,passed,728,https://github.com/NRCan/geo-deep-learning/pull/197
764897780,70b082e95e9d85d5fa4e17e7af7a05568dbdd3ad,PassedToFailed,failed,764,https://github.com/NRCan/geo-deep-learning/pull/197
764471516,c8b0d358e5d518961e3509ff84e89451c69e9531,FailedToPassed,failed,248,https://github.com/NRCan/geo-deep-learning/pull/197
764404563,cfd9d9c1d6cf096e4a2e86b2d391fad554867df7,FailedToPassed,passed,907,https://github.com/NRCan/geo-deep-learning/pull/197
764007568,dc147d42f54c952da9ea95ddd63352681e69758a,PassedToFailed,passed,873,https://github.com/NRCan/geo-deep-learning/pull/181
764006538,2a000b393e68bad50f51b1c2aff7ded58a6b3cd0,PassedToFailed,failed,413,https://github.com/NRCan/geo-deep-learning/pull/181
764000670,f5997ebfc83d9fce17744b3393e24c8f25450f05,FailedToPassed,failed,310,https://github.com/NRCan/geo-deep-learning/compare/d2dc765cef22...7c5fd37eec1d
763938128,7c5fd37eec1dbcd7ac93edcd6f007682241ee166,FailedToPassed,passed,849,https://github.com/NRCan/geo-deep-learning/compare/d2dc765cef22...7c5fd37eec1d
763457636,b1d86a6f70caaaa13b20e63bd7bb7aeb3066f50c,PassedToFailed,passed,851,https://github.com/NRCan/geo-deep-learning/pull/192
763451405,7b3c2c2cd9440331aad9ec42e598e39f7fda8eba,PassedToFailed,failed,846,https://github.com/NRCan/geo-deep-learning/pull/192
763309337,71d47e535b59ad10c15c711d0937df15472b52fb,FailedToPassed,failed,380,https://github.com/NRCan/geo-deep-learning/compare/01a112b06ddc...d2dc765cef22
762327565,d2dc765cef22d8f3b20f11dbc35adbfd843aa7f8,FailedToPassed,passed,469,https://github.com/NRCan/geo-deep-learning/compare/01a112b06ddc...d2dc765cef22
762216562,1e5287b9ad4324bfd131df51067281920493b97c,PassedToFailed,passed,468,https://github.com/NRCan/geo-deep-learning/pull/181
762014487,d56df679a69c4afee734ef9e812a0f55a2def730,PassedToFailed,failed,290,https://github.com/NRCan/geo-deep-learning/pull/181
