BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
198720721,cf3d6d9685be715f6743c1c70cec5258071a8588,PassedToFailed,passed,330,https://github.com/OpenNMT/OpenNMT-py/pull/1919
198718963,e09bd63df810544c2d579a4b8b6b435cd71987db,PassedToFailed,failed,332,https://github.com/OpenNMT/OpenNMT-py/pull/1919
198436554,68008fcc5d108f60b8fda1d597f4972b9f86767b,FailedToPassed,failed,332,https://github.com/OpenNMT/OpenNMT-py/compare/e2c9cc425cb7...dfdd4554cf1c
197140137,dfdd4554cf1c9327c2c249ab11a978efe72a93d9,FailedToPassed,passed,325,https://github.com/OpenNMT/OpenNMT-py/compare/e2c9cc425cb7...dfdd4554cf1c
191919375,feb2596f2729c4e9421e9ca5711142daf795301b,PassedToFailed,passed,335,https://github.com/OpenNMT/OpenNMT-py/pull/1905
191875971,f5dcb61433b5d422a57696e42c955b7adf3a9306,PassedToFailed,failed,341,https://github.com/OpenNMT/OpenNMT-py/pull/1905
191875971,f5dcb61433b5d422a57696e42c955b7adf3a9306,FailedToPassed,failed,341,https://github.com/OpenNMT/OpenNMT-py/compare/c2a9e8317be6...1b1e6c1ce5b2
191868385,1b1e6c1ce5b29d09e87881797dce786148f51090,FailedToPassed,passed,334,https://github.com/OpenNMT/OpenNMT-py/compare/c2a9e8317be6...1b1e6c1ce5b2
191519404,d929a7a0264b8c65b34e3b4d15020608a88dc67c,PassedToErrored,passed,345,https://github.com/OpenNMT/OpenNMT-py/pull/1898
191519403,f7cdb5d9067bab2f9950fcd73c4748e732e10f8b,PassedToErrored,errored,342,https://github.com/OpenNMT/OpenNMT-py/pull/1898
191519403,f7cdb5d9067bab2f9950fcd73c4748e732e10f8b,ErroredToPassed,errored,342,https://github.com/OpenNMT/OpenNMT-py/pull/1897
191519402,22736915ae0369931e3d3da9ec9f90d21e7bbf87,ErroredToPassed,passed,342,https://github.com/OpenNMT/OpenNMT-py/pull/1897
191519402,22736915ae0369931e3d3da9ec9f90d21e7bbf87,PassedToFailed,passed,342,https://github.com/OpenNMT/OpenNMT-py/pull/1897
191519401,74962407e761acab8d1a5ba0c7b17df83e339051,PassedToFailed,failed,385,https://github.com/OpenNMT/OpenNMT-py/pull/1897
