BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
772830925,dbd1466e11cb0db5e01ec7f84dbff36530ea0c8c,ErroredToPassed,errored,23,https://github.com/ParrotPrediction/pyalcs/compare/ad66c09319a3...1b6a297b5e22
772830923,1b6a297b5e22f84c3a3cc30cdf454881d9840aa4,ErroredToPassed,passed,133,https://github.com/ParrotPrediction/pyalcs/compare/ad66c09319a3...1b6a297b5e22
772830923,1b6a297b5e22f84c3a3cc30cdf454881d9840aa4,PassedToErrored,passed,133,https://github.com/ParrotPrediction/pyalcs/pull/62
772729817,31413c4bf53513492a6c4d56d59cbb3ec7a3aa1d,PassedToErrored,errored,23,https://github.com/ParrotPrediction/pyalcs/pull/62
772729817,31413c4bf53513492a6c4d56d59cbb3ec7a3aa1d,ErroredToPassed,errored,23,https://github.com/ParrotPrediction/pyalcs/compare/e80d73d028ad...ad66c09319a3
772729815,ad66c09319a32ceea78ee51ec9fa230cf874e7c8,ErroredToPassed,passed,81,https://github.com/ParrotPrediction/pyalcs/compare/e80d73d028ad...ad66c09319a3
772729815,ad66c09319a32ceea78ee51ec9fa230cf874e7c8,PassedToErrored,passed,81,https://github.com/ParrotPrediction/pyalcs/compare/1d9b26fa48eb...e80d73d028ad
772706356,e80d73d028ad5d0cc290596533f23a14f8dc59bc,PassedToErrored,errored,22,https://github.com/ParrotPrediction/pyalcs/compare/1d9b26fa48eb...e80d73d028ad
772302391,fce8b67f1a272b68f8d1cd4a2a6fa38e00bb2b60,ErroredToPassed,errored,22,https://github.com/ParrotPrediction/pyalcs/compare/76f0d2828293...6cf5767ace53
772302387,6cf5767ace53ee47449d081ff24ba3ce980409d7,ErroredToPassed,passed,80,https://github.com/ParrotPrediction/pyalcs/compare/76f0d2828293...6cf5767ace53
772302387,6cf5767ace53ee47449d081ff24ba3ce980409d7,PassedToFailed,passed,80,https://github.com/ParrotPrediction/pyalcs/pull/62
772301742,b9dfa31d2b890f57bd73e4580b4310521edbc4e5,PassedToFailed,failed,78,https://github.com/ParrotPrediction/pyalcs/pull/62
771778087,a93e21360de57314d152ccb31e439c31777108d7,FailedToPassed,failed,81,https://github.com/ParrotPrediction/pyalcs/compare/5aa92cb899eb...39caccbb75ec
771778079,39caccbb75ec29f5c8494b307928cf9012d0f2cb,FailedToPassed,passed,81,https://github.com/ParrotPrediction/pyalcs/compare/5aa92cb899eb...39caccbb75ec
