BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
760500298,42d023a3a751097a082155bcff9c0c1844dac0dc,FailedToPassed,failed,237,https://github.com/TwentyBN/GulpIO/pull/89
759771322,d3e3a1c1b2fdfb1f09fcfa608cf1546950c30cc9,FailedToPassed,passed,225,https://github.com/TwentyBN/GulpIO/pull/89
494223597,9df797e4cb743b8ddc72743f207eebf9aeecd9a9,FailedToPassed,failed,359,https://github.com/TwentyBN/GulpIO/compare/58834822f2c9...44e71c661ac0
492610303,44e71c661ac00de1655e6de41eb9f45adc7cb437,FailedToPassed,passed,474,https://github.com/TwentyBN/GulpIO/compare/58834822f2c9...44e71c661ac0
492344323,d8395571899415f336d919a46913be1cc35eb1a4,PassedToFailed,passed,435,https://github.com/TwentyBN/GulpIO/pull/82
492331730,c78ecb90506b0810d8c02c4b3d2183635f95ce03,PassedToFailed,failed,453,https://github.com/TwentyBN/GulpIO/pull/82
492331730,c78ecb90506b0810d8c02c4b3d2183635f95ce03,FailedToPassed,failed,453,https://github.com/TwentyBN/GulpIO/compare/48bfac304d3e...58834822f2c9
479297390,58834822f2c90c59d6a12d4abf921e880e5cf12f,FailedToPassed,passed,389,https://github.com/TwentyBN/GulpIO/compare/48bfac304d3e...58834822f2c9
447187104,7140d7906021095790f5dcfe70b7d119f4de1ccb,PassedToFailed,passed,333,https://github.com/TwentyBN/GulpIO/pull/82
444816870,c49976ae2542ca334f812c01c5802fc55022843f,PassedToFailed,failed,455,https://github.com/TwentyBN/GulpIO/pull/82
396627622,35f3a26bf2dcc4b0f6426a5f4f90618a93ae0934,FailedToPassed,failed,363,https://github.com/TwentyBN/GulpIO/compare/f7f844f5b074...48bfac304d3e
395565274,48bfac304d3e1ebfc93ff7386260d34a298fe8f5,FailedToPassed,passed,367,https://github.com/TwentyBN/GulpIO/compare/f7f844f5b074...48bfac304d3e
394805495,185071906d7c4f813cc5bc48b6724dbb0a7dd9cc,PassedToFailed,passed,373,https://github.com/TwentyBN/GulpIO/pull/77
394795840,542d3858921a20c388de4c7cac2c714c7b233dd5,PassedToFailed,failed,297,https://github.com/TwentyBN/GulpIO/pull/77
388544657,95eea712a52ca416cb59d62ee407297a320b72c5,FailedToPassed,failed,350,https://github.com/TwentyBN/GulpIO/compare/4c852e1871f5...313dd9e52746
375900977,313dd9e527463d86682173740d7361fe08e4f7eb,FailedToPassed,passed,491,https://github.com/TwentyBN/GulpIO/compare/4c852e1871f5...313dd9e52746
375900977,313dd9e527463d86682173740d7361fe08e4f7eb,PassedToFailed,passed,491,https://github.com/TwentyBN/GulpIO/compare/0e43ba766581...4c852e1871f5
371125079,4c852e1871f57e46a44964c8c75b32816ba36d8c,PassedToFailed,failed,492,https://github.com/TwentyBN/GulpIO/compare/0e43ba766581...4c852e1871f5
371125079,4c852e1871f57e46a44964c8c75b32816ba36d8c,FailedToPassed,failed,492,https://github.com/TwentyBN/GulpIO/compare/61f9eb087101...f7f844f5b074
349224109,f7f844f5b074931caaadd04865ed0b8e2aa741c1,FailedToPassed,passed,889,https://github.com/TwentyBN/GulpIO/compare/61f9eb087101...f7f844f5b074
344879439,61f9eb0871012c09259632f4f66c92c0ab12f148,PassedToErrored,passed,491,https://github.com/TwentyBN/GulpIO/compare/ff3219433afd...59e456368966
344874934,59e456368966f069498680f5e2c1bf25f93a1205,PassedToErrored,errored,419,https://github.com/TwentyBN/GulpIO/compare/ff3219433afd...59e456368966
344871594,ff3219433afd35c85c70a02946ebe840fead2139,ErroredToPassed,errored,465,https://github.com/TwentyBN/GulpIO/compare/24e4beb3f973...70af3e07d9c0
343793160,70af3e07d9c0f46bf67710ae6640134273aa2d95,ErroredToPassed,passed,454,https://github.com/TwentyBN/GulpIO/compare/24e4beb3f973...70af3e07d9c0
294827876,a231a5508c22ebf6904fe7a0567b80d3e6fb491e,PassedToFailed,passed,353,https://github.com/TwentyBN/GulpIO/compare/62f446957075...e58cb9c46145
294826839,e58cb9c4614518c04170d687bb8c7c441ab2c960,PassedToFailed,failed,300,https://github.com/TwentyBN/GulpIO/compare/62f446957075...e58cb9c46145
294826821,8e23d6a426413bbfe0b1bdbab1673f6b7ad5d792,FailedToPassed,failed,382,https://github.com/TwentyBN/GulpIO/pull/69
291966358,e1dcc07cee129ba421746e5e8acaee308891c7ca,FailedToPassed,passed,404,https://github.com/TwentyBN/GulpIO/pull/69
