BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
740825224,054681e75f83d814a4df7f6151a4c246d52abc9a,PassedToFailed,passed,84,https://github.com/WMD-group/SMACT/pull/39
740821062,37b9050b1a3a86d2bb55d09547147c77466ea744,PassedToFailed,failed,74,https://github.com/WMD-group/SMACT/pull/39
740821029,7830c0c59c01bd11bb5d480afde3c3dc0a85bb71,FailedToPassed,failed,76,https://github.com/WMD-group/SMACT/pull/38
737129411,847c3404cef31252956d0682f9d1a25b0bf91722,FailedToPassed,passed,88,https://github.com/WMD-group/SMACT/pull/38
599524102,9df0f02f6fe55ba3c678ccf2d2f59571ac4cb3d5,PassedToFailed,passed,86,https://github.com/WMD-group/SMACT/compare/379bae7ac75a...b02de421fe5f
599522739,b02de421fe5f0ffb86a18e98f3f30025cfafc3be,PassedToFailed,failed,77,https://github.com/WMD-group/SMACT/compare/379bae7ac75a...b02de421fe5f
599511309,86e2f434b8d4eb18bd1e1955cb9baae626f841dd,FailedToPassed,failed,69,https://github.com/WMD-group/SMACT/pull/24
589316297,4ef92940a8ca52c85cac5b72966d4a5d810fb79f,FailedToPassed,passed,74,https://github.com/WMD-group/SMACT/pull/24
589314242,923785952ef3974d689cb87edead398317594300,PassedToFailed,passed,61,https://github.com/WMD-group/SMACT/compare/a64203c3b471...259903193784
589312532,259903193784b46f1ece48b0d10ac86c6257c1db,PassedToFailed,failed,73,https://github.com/WMD-group/SMACT/compare/a64203c3b471...259903193784
584196859,b01d6e6d857a26cd6d61a35c647dd70b031005a0,FailedToPassed,failed,64,https://github.com/WMD-group/SMACT/compare/82396bf93daa...cc004dbe066b
584178960,cc004dbe066beb3b4ff21a1059f66838a22f760c,FailedToPassed,passed,72,https://github.com/WMD-group/SMACT/compare/82396bf93daa...cc004dbe066b
583678293,a1422bb79a38d046abe2059afcb84f671a3b8ab0,PassedToFailed,passed,74,https://github.com/WMD-group/SMACT/compare/411a3d881ed4...e2c3c9895f3d
583676640,e2c3c9895f3dd2b06f2df58e600219854d9a6a57,PassedToFailed,failed,65,https://github.com/WMD-group/SMACT/compare/411a3d881ed4...e2c3c9895f3d
583676730,0275da64feb172f93e1b02b895ee8308c48188e5,FailedToPassed,failed,69,https://github.com/WMD-group/SMACT/compare/6ebd472476d0...411a3d881ed4
583223364,411a3d881ed4c0071c6c933d2686dc251ff5e9fd,FailedToPassed,passed,65,https://github.com/WMD-group/SMACT/compare/6ebd472476d0...411a3d881ed4
570872518,525bd0af1367a44a5347137b877f988519eb30dc,PassedToFailed,passed,69,https://github.com/WMD-group/SMACT/pull/23
569922275,d2cfe6f9842160c1170a28fb1f0c4f5e5bf6fd9f,PassedToFailed,failed,68,https://github.com/WMD-group/SMACT/pull/23
569453097,c93751b0053d51c66a0d532513b86378c2f8c0e5,FailedToPassed,failed,66,https://github.com/WMD-group/SMACT/pull/23
569419692,b2ce648862110b5b1b43e588dd7f593200544989,FailedToPassed,passed,67,https://github.com/WMD-group/SMACT/pull/23
505899039,4792f30494a54a87559c04f1adef0ea9955d32ad,PassedToFailed,passed,98,https://github.com/WMD-group/SMACT/compare/50d974dc4c2d...cdfdd3545529
505879692,cdfdd35455292c2841720fe181360638d9d46b92,PassedToFailed,failed,87,https://github.com/WMD-group/SMACT/compare/50d974dc4c2d...cdfdd3545529
505769645,8d2b15b6eb5bdf8ffb26dfc40c9df9dbff0576c7,FailedToPassed,failed,105,https://github.com/WMD-group/SMACT/compare/f8e73eff57fe...f780f294fdd7
505748562,f780f294fdd779eabd45b9b395ba91e776478534,FailedToPassed,passed,94,https://github.com/WMD-group/SMACT/compare/f8e73eff57fe...f780f294fdd7
502495024,854f4bfc246ac0966139b11e519c67874841c1a0,PassedToFailed,passed,89,https://github.com/WMD-group/SMACT/compare/0f2eded54b4e...cd357a8e9328
502444983,cd357a8e93280e1dbb190c7f6ba69e9b7054011e,PassedToFailed,failed,224,https://github.com/WMD-group/SMACT/compare/0f2eded54b4e...cd357a8e9328
502444983,cd357a8e93280e1dbb190c7f6ba69e9b7054011e,FailedToPassed,failed,224,https://github.com/WMD-group/SMACT/compare/2c938a459970...0f2eded54b4e
501980341,0f2eded54b4ec8651c060ab5fa0eb59d4c089651,FailedToPassed,passed,70,https://github.com/WMD-group/SMACT/compare/2c938a459970...0f2eded54b4e
485899775,fdb943c3f1658358e638667a4f453726a6e33784,PassedToFailed,passed,46,https://github.com/WMD-group/SMACT/compare/fed1fb7e992e...a5909c302a03
485873458,a5909c302a03eb761b8587cbb043bc07a0a642cd,PassedToFailed,failed,52,https://github.com/WMD-group/SMACT/compare/fed1fb7e992e...a5909c302a03
485873458,a5909c302a03eb761b8587cbb043bc07a0a642cd,FailedToPassed,failed,52,https://github.com/WMD-group/SMACT/pull/14
484422902,e88f3327e9df4d347250c36be138cc39f55854fa,FailedToPassed,passed,35,https://github.com/WMD-group/SMACT/pull/14
454004651,e559b7764a3eb4d6b7a38e376078d12f31717899,PassedToFailed,passed,133,https://github.com/WMD-group/SMACT/compare/e30941b7518c...34a848d81efa
454003458,34a848d81efa01bc193b2251248508ad72c6311a,PassedToFailed,failed,29,https://github.com/WMD-group/SMACT/compare/e30941b7518c...34a848d81efa
