BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
771039700,d8c016033b6ad8f87be30c5be6fe5694172e5f24,FailedToPassed,failed,21,https://github.com/akshaynagpal/w2n/pull/62
770865368,6fd38d606df4b304064410075dc9ccbc8e1bd8cc,FailedToPassed,passed,24,https://github.com/akshaynagpal/w2n/pull/62
770865368,6fd38d606df4b304064410075dc9ccbc8e1bd8cc,PassedToFailed,passed,24,https://github.com/akshaynagpal/w2n/pull/52
743544011,ab2059fd3cd75360b186a56b60514968f1eaeae7,PassedToFailed,failed,23,https://github.com/akshaynagpal/w2n/pull/52
742616274,f724869040a6ecd4054c72c2c9619dd4667ef4db,FailedToPassed,failed,20,https://github.com/akshaynagpal/w2n/pull/36
536941487,d34e35b7e027052eb3f12303ed22fdb894cb7e48,FailedToPassed,passed,23,https://github.com/akshaynagpal/w2n/pull/36
514862386,0d54bc92e2ae491addfaa067d416c9159a1b8764,PassedToFailed,passed,20,https://github.com/akshaynagpal/w2n/pull/35
514856189,19a0890c61602982758fe0ce0b1f19e654339d5d,PassedToFailed,failed,25,https://github.com/akshaynagpal/w2n/pull/35
514856189,19a0890c61602982758fe0ce0b1f19e654339d5d,FailedToPassed,failed,25,https://github.com/akshaynagpal/w2n/pull/34
508044154,f868ed4c8a477364868db7b5a67afa3274f5a0b0,FailedToPassed,passed,21,https://github.com/akshaynagpal/w2n/pull/34
508044154,f868ed4c8a477364868db7b5a67afa3274f5a0b0,PassedToFailed,passed,21,https://github.com/akshaynagpal/w2n/pull/34
508037510,b420d137e4d95c126b73e7045844b1482037042d,PassedToFailed,failed,40,https://github.com/akshaynagpal/w2n/pull/34
508037510,b420d137e4d95c126b73e7045844b1482037042d,FailedToPassed,failed,40,https://github.com/akshaynagpal/w2n/pull/25
373851129,3171b63682bcaa04968aa35a58585c0b83add51b,FailedToPassed,passed,32,https://github.com/akshaynagpal/w2n/pull/25
343051271,3910770fb8e6efa0135fd9dd0de1ec914d5fb2c0,PassedToFailed,passed,31,https://github.com/akshaynagpal/w2n/pull/19
329139042,24bc185767e45f71e4441ac170aed45465e9ac41,PassedToFailed,failed,33,https://github.com/akshaynagpal/w2n/pull/19
329139042,24bc185767e45f71e4441ac170aed45465e9ac41,FailedToPassed,failed,33,https://github.com/akshaynagpal/w2n/compare/23cd2e954b4d...33aac8a1d71e
247633660,33aac8a1d71ef1dffd4435fe6e9f998154bcb051,FailedToPassed,passed,64,https://github.com/akshaynagpal/w2n/compare/23cd2e954b4d...33aac8a1d71e
