BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
158323372,5f8c25102fce8fe63583a31fc37f83d11433f3ea,PassedToFailed,passed,33,https://github.com/alvinwan/timefhuman/pull/17
155352354,d01edb675772763bd3639abe98ba3da966318db4,PassedToFailed,failed,104,https://github.com/alvinwan/timefhuman/pull/17
155352354,d01edb675772763bd3639abe98ba3da966318db4,FailedToPassed,failed,104,https://github.com/alvinwan/timefhuman/pull/16
155351457,0a66b4810d71cc1aecf70fc463ec4abc3cafb4ec,FailedToPassed,passed,37,https://github.com/alvinwan/timefhuman/pull/16
155351457,0a66b4810d71cc1aecf70fc463ec4abc3cafb4ec,PassedToFailed,passed,37,https://github.com/alvinwan/timefhuman/pull/16
155351209,ba6b8975a710f577a60b82703cc360424d0811e2,PassedToFailed,failed,36,https://github.com/alvinwan/timefhuman/pull/16
155350998,640b0a00d5052653bb4c6a8202ed52e1f766db9a,FailedToPassed,failed,31,https://github.com/alvinwan/timefhuman/pull/16
155350738,327751bcd0f16669268f6c7d296eafeee8a002a6,FailedToPassed,passed,33,https://github.com/alvinwan/timefhuman/pull/16
155350738,327751bcd0f16669268f6c7d296eafeee8a002a6,PassedToFailed,passed,33,https://github.com/alvinwan/timefhuman/pull/16
155350457,312523b5028fbbf7a66963f23890ec60e4fee128,PassedToFailed,failed,31,https://github.com/alvinwan/timefhuman/pull/16
155350145,169e8b6d427a017a37640824055c94a95335a1fb,FailedToPassed,failed,30,https://github.com/alvinwan/timefhuman/compare/d58fcf0416ae...e3bace6a283b
152343765,e3bace6a283ba85024f2361c66ba5e9a365e3710,FailedToPassed,passed,35,https://github.com/alvinwan/timefhuman/compare/d58fcf0416ae...e3bace6a283b
152304936,892a15528378ea78e1d156561ebf6ea0b9850bb7,PassedToFailed,passed,38,https://github.com/alvinwan/timefhuman/compare/1393a66e4827...6a601be59b99
152304935,6a601be59b99ec9c2be590acfc0b71ca800b12f2,PassedToFailed,failed,31,https://github.com/alvinwan/timefhuman/compare/1393a66e4827...6a601be59b99
152304934,3b9e9ceff1ecd28be598daa727274e77bdbf2ea5,FailedToPassed,failed,36,https://github.com/alvinwan/timefhuman/pull/13
152304933,80472574a1c1917c13923e7ff3a8d8d140775fc6,FailedToPassed,passed,38,https://github.com/alvinwan/timefhuman/pull/13
152304931,732261759228385a92021bae5ed7333c1fcd13b0,PassedToErrored,passed,39,https://github.com/alvinwan/timefhuman/compare/441c1c99efbf...2595375dd779
152304930,2595375dd7793c0760663a24f420dfb2d12673ff,PassedToErrored,errored,36,https://github.com/alvinwan/timefhuman/compare/441c1c99efbf...2595375dd779
152304928,441c1c99efbf1dbea0140fde2cd441b799ce1f3c,ErroredToPassed,errored,37,https://github.com/alvinwan/timefhuman/compare/0.0.5
152304927,46086196c3facaeaf4c61074fbbe4bb956a153af,ErroredToPassed,passed,92,https://github.com/alvinwan/timefhuman/compare/0.0.5
152305140,ace80bae155ee40dee2bf76ab2acbaaa90390122,PassedToErrored,passed,61,https://github.com/alvinwan/timefhuman/pull/2
152305139,7dbd8be9eea90f050fc3578095235c44eaeb4145,PassedToErrored,errored,98,https://github.com/alvinwan/timefhuman/pull/2
152305139,7dbd8be9eea90f050fc3578095235c44eaeb4145,ErroredToPassed,errored,98,https://github.com/alvinwan/timefhuman/compare/c32627fcf682...4f5b24f12a77
152305138,4f5b24f12a77da394afa04664acee8c56cc4a09d,ErroredToPassed,passed,107,https://github.com/alvinwan/timefhuman/compare/c32627fcf682...4f5b24f12a77
152305137,c32627fcf6825fcccc442d6c9f40040d36965593,PassedToFailed,passed,54,https://github.com/alvinwan/timefhuman/compare/3befa9c8f913...1cf3eb3b9b61
152305136,1cf3eb3b9b618033f38cdd14a3ca2cda1945fc50,PassedToFailed,failed,62,https://github.com/alvinwan/timefhuman/compare/3befa9c8f913...1cf3eb3b9b61
152305133,5d510081e604ff070957911e90707c7f8ba4c8a7,FailedToPassed,failed,44,https://github.com/alvinwan/timefhuman/compare/d8959c543a27...d13ed069f3da
152305132,d13ed069f3da0a8fddb5b3a948ed83acfc219634,FailedToPassed,passed,51,https://github.com/alvinwan/timefhuman/compare/d8959c543a27...d13ed069f3da
152305130,f882ba20e3145d29f4e7087e09df343fe8f89e2d,PassedToErrored,passed,46,https://github.com/alvinwan/timefhuman/pull/1
152305129,6c435ecef26b2d5a25ea2816f55f013c7175bd0b,PassedToErrored,errored,32,https://github.com/alvinwan/timefhuman/pull/1
152305128,1e8875e5fde14effa2598d8cb5154c24f1f7d26c,FailedToPassed,failed,135,https://github.com/alvinwan/timefhuman/compare/a119f8586a17...edd0acf3b838
152305127,edd0acf3b83860917f6f9459c832348d657c6c45,FailedToPassed,passed,44,https://github.com/alvinwan/timefhuman/compare/a119f8586a17...edd0acf3b838
152305127,edd0acf3b83860917f6f9459c832348d657c6c45,PassedToFailed,passed,44,https://github.com/alvinwan/timefhuman/commit/a119f8586a17
152305126,a119f8586a1796234f212c9bc07418239ba8199a,PassedToFailed,failed,46,https://github.com/alvinwan/timefhuman/commit/a119f8586a17
