BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
773531964,4adf4d09c8d369c97e1c36f2e70c494075c6ace7,PassedToFailed,passed,146,https://github.com/beringresearch/ivis/compare/ad800ba741eb...446ab04111c5
773531752,446ab04111c5476c23ed87466ee29bf961e22261,PassedToFailed,failed,151,https://github.com/beringresearch/ivis/compare/ad800ba741eb...446ab04111c5
773531752,446ab04111c5476c23ed87466ee29bf961e22261,FailedToPassed,failed,151,https://github.com/beringresearch/ivis/compare/1e8609e69e54...ad800ba741eb
773124528,ad800ba741eb6bfbf4d15b38bdba51cf0024a1dc,FailedToPassed,passed,146,https://github.com/beringresearch/ivis/compare/1e8609e69e54...ad800ba741eb
773091121,1e8609e69e5402ccbe0a887b0c3f652b73fae630,PassedToFailed,passed,150,https://github.com/beringresearch/ivis/compare/41d432677978...9a819b165183
773083559,9a819b1651837e427644ec655b412719fe84e115,PassedToFailed,failed,142,https://github.com/beringresearch/ivis/compare/41d432677978...9a819b165183
773083559,9a819b1651837e427644ec655b412719fe84e115,FailedToPassed,failed,142,https://github.com/beringresearch/ivis/compare/c4a654044831...41d432677978
773031010,41d432677978905045c5831955434b76430a16ae,FailedToPassed,passed,138,https://github.com/beringresearch/ivis/compare/c4a654044831...41d432677978
771948884,1ae9adda2000e8cf9bf543c01a1040a890163a39,PassedToFailed,passed,139,https://github.com/beringresearch/ivis/compare/16e087ac1585...d2d7bc64121f
771918898,d2d7bc64121f0ce3c4cd4b747a17973155b26824,PassedToFailed,failed,112,https://github.com/beringresearch/ivis/compare/16e087ac1585...d2d7bc64121f
771918898,d2d7bc64121f0ce3c4cd4b747a17973155b26824,FailedToPassed,failed,112,https://github.com/beringresearch/ivis/compare/ba1d0000a0fa...16e087ac1585
769184399,16e087ac1585ac4f7e1705cdc6ecf5c79f365a27,FailedToPassed,passed,141,https://github.com/beringresearch/ivis/compare/ba1d0000a0fa...16e087ac1585
769184399,16e087ac1585ac4f7e1705cdc6ecf5c79f365a27,PassedToFailed,passed,141,https://github.com/beringresearch/ivis/compare/2b4789b5261f...ba1d0000a0fa
769025903,ba1d0000a0fa55f0cdb1c1bab151ea34910a0a33,PassedToFailed,failed,140,https://github.com/beringresearch/ivis/compare/2b4789b5261f...ba1d0000a0fa
