BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
188014540,7ecea5561a1d16d4c1de3d9803275ac46bfc6ef6,PassedToFailed,passed,719,https://github.com/clawpack/riemann_book/pull/221
188014712,8f2c33045ebf2747dce16fa4191f6d3881e822f9,PassedToFailed,failed,446,https://github.com/clawpack/riemann_book/pull/221
188014712,8f2c33045ebf2747dce16fa4191f6d3881e822f9,FailedToPassed,failed,446,https://github.com/clawpack/riemann_book/compare/266c4546708a...b83e6cc29711
188014625,b83e6cc29711ee93e1dc68feb39ffef1bc0a283c,FailedToPassed,passed,796,https://github.com/clawpack/riemann_book/compare/266c4546708a...b83e6cc29711
188014635,8ec6a8e06772f5742b816ff75602d0181975584f,PassedToFailed,passed,863,https://github.com/clawpack/riemann_book/pull/182
188014355,8c41c8d88f54e166a21e5a0b6d46ee3f05cd97ef,PassedToFailed,failed,628,https://github.com/clawpack/riemann_book/pull/182
188014355,8c41c8d88f54e166a21e5a0b6d46ee3f05cd97ef,FailedToPassed,failed,628,https://github.com/clawpack/riemann_book/pull/204
188014646,18be4bcedbc89eec87247ddaef02851c50fa80d0,FailedToPassed,passed,847,https://github.com/clawpack/riemann_book/pull/204
188014375,7fc7f3fd8655b452b27031f803234cabfd297b0d,PassedToFailed,passed,987,https://github.com/clawpack/riemann_book/commit/9e3000685648
188014567,9e3000685648054fe3a28eb1d4d31aa4d7002efa,PassedToFailed,failed,575,https://github.com/clawpack/riemann_book/commit/9e3000685648
188014567,9e3000685648054fe3a28eb1d4d31aa4d7002efa,FailedToPassed,failed,575,https://github.com/clawpack/riemann_book/pull/202
188014579,331c6b30ccc749d7090d31a7669b2ec61c0f9299,FailedToPassed,passed,826,https://github.com/clawpack/riemann_book/pull/202
188014743,00f7f53d175c175681301903fd1d750e405c59c8,PassedToFailed,passed,900,https://github.com/clawpack/riemann_book/compare/ce1702dcaab9...768655e24a9f
188014439,768655e24a9f62905b28c277725063bedd1d5841,PassedToFailed,failed,934,https://github.com/clawpack/riemann_book/compare/ce1702dcaab9...768655e24a9f
188014486,af7ac933ddaf0a7ab3399ed3c94212fe69b2dca2,FailedToPassed,failed,580,https://github.com/clawpack/riemann_book/pull/189
