BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
766111322,9e81088b96f4eb448bda3cc02f4dcad49bdab95e,FailedToPassed,failed,3357,https://github.com/computationalmodelling/nbval/pull/165
762050267,a70f084482be4fb1e92373cb13beb7d7902dd60e,FailedToPassed,passed,3351,https://github.com/computationalmodelling/nbval/pull/165
752277343,8198adc21d06d7b526f458dde0f1391ed8c912b1,PassedToFailed,passed,665,https://github.com/computationalmodelling/nbval/pull/162
752021468,6bf2b4c49d38cf92479c2084247f29d5ca131f81,PassedToFailed,failed,535,https://github.com/computationalmodelling/nbval/pull/162
752021468,6bf2b4c49d38cf92479c2084247f29d5ca131f81,FailedToPassed,failed,535,https://github.com/computationalmodelling/nbval/pull/162
751281513,42538cfeb7c88c3ce3fcce9a4f837b8a6f3f22bc,FailedToPassed,passed,662,https://github.com/computationalmodelling/nbval/pull/162
743947811,1a1e18465f1486d231b9f6aec9ce6c5dc81cd0e1,PassedToFailed,passed,562,https://github.com/computationalmodelling/nbval/pull/148
726289124,b5ef7d64cac8eb5406408c2c0554edc5becb30c8,PassedToFailed,failed,608,https://github.com/computationalmodelling/nbval/pull/148
726289124,b5ef7d64cac8eb5406408c2c0554edc5becb30c8,FailedToPassed,failed,608,https://github.com/computationalmodelling/nbval/compare/0.9.6
713253526,f88b4389632d82c363924dce2bbc2913b1be526c,FailedToPassed,passed,562,https://github.com/computationalmodelling/nbval/compare/0.9.6
706508963,4d3d13d4673498c1dc78d5b361b3e638512df251,PassedToFailed,passed,569,https://github.com/computationalmodelling/nbval/pull/148
697221046,43564bf19836530f6970befd152f6685f5e72543,PassedToFailed,failed,588,https://github.com/computationalmodelling/nbval/pull/148
697190182,2b3b02badf542a50958d89c4c21abc2b0552183a,FailedToPassed,failed,568,https://github.com/computationalmodelling/nbval/compare/8593e7d9de17...3597e0bfd96c
688136777,3597e0bfd96c8b52d9f4e94abbe1cbb3887dcf25,FailedToPassed,passed,846,https://github.com/computationalmodelling/nbval/compare/8593e7d9de17...3597e0bfd96c
644356964,3c635155df1215418906f3ad975e5244879dc1ec,PassedToErrored,passed,572,https://github.com/computationalmodelling/nbval/pull/134
642439368,0671b6a2b41a3ebeb8051a69bc833b93646ee6bb,PassedToErrored,errored,579,https://github.com/computationalmodelling/nbval/pull/134
642439368,0671b6a2b41a3ebeb8051a69bc833b93646ee6bb,ErroredToPassed,errored,579,https://github.com/computationalmodelling/nbval/compare/a7a65bf7b5b6...ff54515503be
631839174,ff54515503be1418c8dabaafa75bef51202ccc66,ErroredToPassed,passed,508,https://github.com/computationalmodelling/nbval/compare/a7a65bf7b5b6...ff54515503be
590314789,77363b47a0fba51593113441acad34e099b03816,PassedToFailed,passed,710,https://github.com/computationalmodelling/nbval/compare/fe056c808508...6320843db095
590314764,6320843db095bf1aaa59268078fed564b5cfe753,PassedToFailed,failed,671,https://github.com/computationalmodelling/nbval/compare/fe056c808508...6320843db095
590314764,6320843db095bf1aaa59268078fed564b5cfe753,FailedToPassed,failed,671,https://github.com/computationalmodelling/nbval/compare/0.9.3
590314187,b733cc5153b9ad8554fd03252753104d16c48bcc,FailedToPassed,passed,868,https://github.com/computationalmodelling/nbval/compare/0.9.3
511504895,d320210aea5875ad1fac37014d9e8d2e16150e59,PassedToFailed,passed,685,https://github.com/computationalmodelling/nbval/pull/109
511504456,266c8689159f6716cb7e56a4d50e4c9279cd2c3f,PassedToFailed,failed,721,https://github.com/computationalmodelling/nbval/pull/109
511504456,266c8689159f6716cb7e56a4d50e4c9279cd2c3f,FailedToPassed,failed,721,https://github.com/computationalmodelling/nbval/compare/023a35d3f2a8...a2a58a1f7111
511504047,a2a58a1f7111314de8a9093c0e46d54d01c6c571,FailedToPassed,passed,667,https://github.com/computationalmodelling/nbval/compare/023a35d3f2a8...a2a58a1f7111
511504047,a2a58a1f7111314de8a9093c0e46d54d01c6c571,PassedToFailed,passed,667,https://github.com/computationalmodelling/nbval/pull/113
511499865,8095bd6f9443ce93435f735a98f1ddf7a3019806,PassedToFailed,failed,523,https://github.com/computationalmodelling/nbval/pull/113
454569687,89b997e9558fc4da42d30b39c54ffa1ad30ee1ca,FailedToPassed,failed,703,https://github.com/computationalmodelling/nbval/compare/7c6cd710ad8d...d087892e68a2
454573762,d087892e68a219371cf11bc1dd842869fd3ba467,FailedToPassed,passed,589,https://github.com/computationalmodelling/nbval/compare/7c6cd710ad8d...d087892e68a2
437052119,6266ae57255ba6f3882e904e55fa487f6c1a9c3d,PassedToFailed,passed,576,https://github.com/computationalmodelling/nbval/pull/102
436599287,502c6dc3df444af24c309d223707725180b305df,PassedToFailed,failed,764,https://github.com/computationalmodelling/nbval/pull/102
436599287,502c6dc3df444af24c309d223707725180b305df,FailedToPassed,failed,764,https://github.com/computationalmodelling/nbval/pull/102
436582913,65b5fe285636f1eacbcfd6ad5a80b2a05fdd22ae,FailedToPassed,passed,858,https://github.com/computationalmodelling/nbval/pull/102
386632387,9c92b051e93714fb92791d7ed8ddb12b89c77be5,PassedToFailed,passed,825,https://github.com/computationalmodelling/nbval/pull/94
386620247,069c0775cbd719533d3eefd0bccf7b9ca91b5d81,PassedToFailed,failed,758,https://github.com/computationalmodelling/nbval/pull/94
386594506,033e857c6ff3f754f5f83987b3188db057d15133,FailedToPassed,failed,827,https://github.com/computationalmodelling/nbval/compare/b8531c0b50d8...13ba30047c22
339872999,13ba30047c22354a38aa2bf2866404c5ecffc77b,FailedToPassed,passed,760,https://github.com/computationalmodelling/nbval/compare/b8531c0b50d8...13ba30047c22
336041941,3028dd2422f6b2227df406a8e0c119d1f6ddc4ee,PassedToFailed,passed,821,https://github.com/computationalmodelling/nbval/compare/84250d7d0c03...e53528274f7c
336037770,e53528274f7c31c9100849abe6ee3fa937c74e75,PassedToFailed,failed,908,https://github.com/computationalmodelling/nbval/compare/84250d7d0c03...e53528274f7c
336037770,e53528274f7c31c9100849abe6ee3fa937c74e75,FailedToPassed,failed,908,https://github.com/computationalmodelling/nbval/compare/e7b60d0faf13...69e634a10d37
335170261,69e634a10d37621a4f203be3b3fe691984e5b93f,FailedToPassed,passed,967,https://github.com/computationalmodelling/nbval/compare/e7b60d0faf13...69e634a10d37
335169614,e7b60d0faf139f0a66260aa6b3ed37b2e8744cb4,PassedToFailed,passed,970,https://github.com/computationalmodelling/nbval/pull/89
335163241,fa5d67cda44b0bfe239922dbaad0381338e90a02,PassedToFailed,failed,782,https://github.com/computationalmodelling/nbval/pull/89
334803319,09b722c527472abee40326ef6ff6bf71ccb0d14d,FailedToPassed,failed,681,https://github.com/computationalmodelling/nbval/compare/1817608b0dd6...84250d7d0c03
329465365,84250d7d0c0306f838692213b41abb16dea9f967,FailedToPassed,passed,973,https://github.com/computationalmodelling/nbval/compare/1817608b0dd6...84250d7d0c03
329028037,02e0540ddc230b527b098f63b73422d4a89e065f,PassedToErrored,passed,815,https://github.com/computationalmodelling/nbval/pull/83
329025585,ff13163c3ed8f8fa29a96f11d8425ac897dcb846,PassedToErrored,errored,662,https://github.com/computationalmodelling/nbval/pull/83
329023112,76710d7a2969ed30148ef23e2b612c4212682606,ErroredToPassed,errored,352,https://github.com/computationalmodelling/nbval/compare/0eb4707bb8b9...f2623f01473e
328455732,f2623f01473ef8b82f7dcaf62e78511cab18b88c,ErroredToPassed,passed,764,https://github.com/computationalmodelling/nbval/compare/0eb4707bb8b9...f2623f01473e
293653485,5d3966e76f553a7b7398e2abaaae3a736a647b0b,PassedToFailed,passed,747,https://github.com/computationalmodelling/nbval/pull/77
293612194,5913165f54a14c1f451d1e4992d1a9a85e26dc7e,PassedToFailed,failed,626,https://github.com/computationalmodelling/nbval/pull/77
293612194,5913165f54a14c1f451d1e4992d1a9a85e26dc7e,FailedToPassed,failed,626,https://github.com/computationalmodelling/nbval/pull/77
291576677,68c8b3c60a09d1d0845f93d1362468bd6f34c5eb,FailedToPassed,passed,680,https://github.com/computationalmodelling/nbval/pull/77
291576677,68c8b3c60a09d1d0845f93d1362468bd6f34c5eb,PassedToFailed,passed,680,https://github.com/computationalmodelling/nbval/pull/76
286466674,3364dcd886a967cd301ed370114003819f111ec5,PassedToFailed,failed,309,https://github.com/computationalmodelling/nbval/pull/76
286466674,3364dcd886a967cd301ed370114003819f111ec5,FailedToPassed,failed,309,https://github.com/computationalmodelling/nbval/pull/75
270978094,717b664e8f880de2ddcf9c1e1e5ed647fe20c250,FailedToPassed,passed,817,https://github.com/computationalmodelling/nbval/pull/75
242421509,bd4fa644139df3a63840944f5a0e5619b48ca987,PassedToErrored,passed,773,https://github.com/computationalmodelling/nbval/pull/65
241951664,691a82981936dffc5bf6368fa4d458fb1d3a7f7b,PassedToErrored,errored,863,https://github.com/computationalmodelling/nbval/pull/65
240913605,20fee08dad570337589832bf16d7cb9559c9e0e7,ErroredToPassed,errored,854,https://github.com/computationalmodelling/nbval/compare/0.6
232445003,89d1d805da40b9b1430703bea6669425c68d5831,ErroredToPassed,passed,769,https://github.com/computationalmodelling/nbval/compare/0.6
231955582,02679137e738f8bda1ac41c16f3785a4706eb620,PassedToFailed,passed,699,https://github.com/computationalmodelling/nbval/pull/62
230363402,03655a843cfec86d9a2c90a2ab0dbb0b05c06cf8,PassedToFailed,failed,710,https://github.com/computationalmodelling/nbval/pull/62
230040594,fb5a6354ed6107c74b32e0f11c781d8116d06ab6,FailedToPassed,failed,452,https://github.com/computationalmodelling/nbval/compare/85d9a8a7b61d...8ab2dae64148
229099219,8ab2dae6414808060c5fec71af5378bfa688d782,FailedToPassed,passed,692,https://github.com/computationalmodelling/nbval/compare/85d9a8a7b61d...8ab2dae64148
204991772,915c9949f4f313211f59b5ad97dd6ae0635da88d,PassedToFailed,passed,664,https://github.com/computationalmodelling/nbval/pull/53
204989247,2e938970de155ee5f1a72353e086eaeb7a81061b,PassedToFailed,failed,686,https://github.com/computationalmodelling/nbval/pull/53
204985510,9f49047c19a59aff2153ee213bcb9203e7548a26,FailedToPassed,failed,706,https://github.com/computationalmodelling/nbval/compare/0.5
204980923,1997b75d5298e6a30f0f42f0fa3cbcb6fe734801,FailedToPassed,passed,831,https://github.com/computationalmodelling/nbval/compare/0.5
204980923,1997b75d5298e6a30f0f42f0fa3cbcb6fe734801,PassedToFailed,passed,831,https://github.com/computationalmodelling/nbval/pull/53
204980251,3a7f060a107b6c88aef055213b0178dd6b88d32b,PassedToFailed,failed,675,https://github.com/computationalmodelling/nbval/pull/53
204980251,3a7f060a107b6c88aef055213b0178dd6b88d32b,FailedToPassed,failed,675,https://github.com/computationalmodelling/nbval/compare/aece71ced2b9...1997b75d5298
204978607,1997b75d5298e6a30f0f42f0fa3cbcb6fe734801,FailedToPassed,passed,715,https://github.com/computationalmodelling/nbval/compare/aece71ced2b9...1997b75d5298
204978607,1997b75d5298e6a30f0f42f0fa3cbcb6fe734801,PassedToFailed,passed,715,https://github.com/computationalmodelling/nbval/pull/53
204977296,4f590cd582d47631f14a61c161d3f13338429ba3,PassedToFailed,failed,704,https://github.com/computationalmodelling/nbval/pull/53
204977296,4f590cd582d47631f14a61c161d3f13338429ba3,FailedToPassed,failed,704,https://github.com/computationalmodelling/nbval/pull/53
204952868,08c6974342716a40c251e633a5e4cc2f42d0678c,FailedToPassed,passed,654,https://github.com/computationalmodelling/nbval/pull/53
201112376,e6c3b77f1b043ee879ddf180e3b3497b93b5c560,PassedToFailed,passed,691,https://github.com/computationalmodelling/nbval/pull/48
201111978,fa93dfe56562f4ef771130d4ec92eb9adb06368f,PassedToFailed,failed,706,https://github.com/computationalmodelling/nbval/pull/48
201111978,fa93dfe56562f4ef771130d4ec92eb9adb06368f,FailedToPassed,failed,706,https://github.com/computationalmodelling/nbval/compare/d1cd2fce07c9...2237e6a0a424
201077018,2237e6a0a424bf60edca613b21b6590dce696584,FailedToPassed,passed,667,https://github.com/computationalmodelling/nbval/compare/d1cd2fce07c9...2237e6a0a424
200060664,d1cd2fce07c9d7e4905a71a9059a39dd995a6505,PassedToFailed,passed,672,https://github.com/computationalmodelling/nbval/compare/ef9326f57876...c1855dded529
200053054,c1855dded529203388881bec80117806ff6c00fe,PassedToFailed,failed,643,https://github.com/computationalmodelling/nbval/compare/ef9326f57876...c1855dded529
200053054,c1855dded529203388881bec80117806ff6c00fe,FailedToPassed,failed,643,https://github.com/computationalmodelling/nbval/compare/853e1edf3e65...ef9326f57876
200052733,ef9326f5787662e82dba0490806fe686a5ee5421,FailedToPassed,passed,625,https://github.com/computationalmodelling/nbval/compare/853e1edf3e65...ef9326f57876
199631116,40052aab9cbd3b1df65a2f70a691ab34acbb7d2d,PassedToFailed,passed,591,https://github.com/computationalmodelling/nbval/pull/42
199625498,831f19c15cb4a1de823011ea811842fb6271461c,PassedToFailed,failed,654,https://github.com/computationalmodelling/nbval/pull/42
199623731,156223183d7dcc91176815c99b847ddcf1785ae1,FailedToPassed,failed,642,https://github.com/computationalmodelling/nbval/compare/4a6200c9d8d6...368d438932e1
199596816,368d438932e11dda9def60b2347c5e58dd8b9a70,FailedToPassed,passed,586,https://github.com/computationalmodelling/nbval/compare/4a6200c9d8d6...368d438932e1
199534689,190c1f7938256895db93aa6741fa976ed2779c82,PassedToFailed,passed,489,https://github.com/computationalmodelling/nbval/pull/43
199293699,76ccccaa3a970707c5f8d9812bf1d98abfb9e5ec,PassedToFailed,failed,730,https://github.com/computationalmodelling/nbval/pull/43
199267368,e270ef8e3190ba4af9e854d6afa515531f39dffb,FailedToPassed,failed,736,https://github.com/computationalmodelling/nbval/compare/529a60e62eb6...4a6200c9d8d6
198889316,4a6200c9d8d6dec28aa612b4ffc9549009226c78,FailedToPassed,passed,800,https://github.com/computationalmodelling/nbval/compare/529a60e62eb6...4a6200c9d8d6
198793697,64fa7880054cae0ac64da78d0b396151d736809e,PassedToFailed,passed,721,https://github.com/computationalmodelling/nbval/pull/42
198775397,1f7cce9bd318fb36f4fd653f20fc7010fdf1210c,PassedToFailed,failed,814,https://github.com/computationalmodelling/nbval/pull/42
198775397,1f7cce9bd318fb36f4fd653f20fc7010fdf1210c,FailedToPassed,failed,814,https://github.com/computationalmodelling/nbval/pull/42
198771309,8a90a82bfbae840dc3f2628b3d6a6079d7d1eed5,FailedToPassed,passed,744,https://github.com/computationalmodelling/nbval/pull/42
198043815,a3fa15d9a4b8a004f0cdefb0f4614c355eee1bc9,PassedToFailed,passed,743,https://github.com/computationalmodelling/nbval/pull/42
198030154,0dbf4cd5a90f4dd889fdf35101020a92b86030c6,PassedToFailed,failed,712,https://github.com/computationalmodelling/nbval/pull/42
198030154,0dbf4cd5a90f4dd889fdf35101020a92b86030c6,FailedToPassed,failed,712,https://github.com/computationalmodelling/nbval/pull/39
198030053,e15992c03ab4f59d450a32d9eec34274dd5995e1,FailedToPassed,passed,751,https://github.com/computationalmodelling/nbval/pull/39
196237654,875d28b444590d875c85a361edbbaf13ffb56926,PassedToErrored,passed,632,https://github.com/computationalmodelling/nbval/compare/0e5a4740997f...94c56ebcb51a
196232939,94c56ebcb51a27e750c9e41e346605eb81298704,PassedToErrored,errored,439,https://github.com/computationalmodelling/nbval/compare/0e5a4740997f...94c56ebcb51a
195954125,d4770885d031fb82552170d29b68f4f663bd649c,ErroredToPassed,errored,425,https://github.com/computationalmodelling/nbval/compare/b45a5adce13d...3914513b0a3c
193777086,3914513b0a3c8bedcd318ac7e37f510322813b8a,ErroredToPassed,passed,694,https://github.com/computationalmodelling/nbval/compare/b45a5adce13d...3914513b0a3c
193769424,88cd403e28f05b010491697ca89ebe234edbb352,PassedToFailed,passed,419,https://github.com/computationalmodelling/nbval/pull/32
193768877,22451857c2d904da9f4707822f45a41ac57e9750,PassedToFailed,failed,258,https://github.com/computationalmodelling/nbval/pull/32
193764448,2419b3352320987061187b68d22ac589e962b450,FailedToPassed,failed,191,https://github.com/computationalmodelling/nbval/compare/b2102ee3f967...23b23c2cecb5
193087483,23b23c2cecb501222982801d6798ba51b1e54a19,FailedToPassed,passed,395,https://github.com/computationalmodelling/nbval/compare/b2102ee3f967...23b23c2cecb5
193085044,075dd0cc3c226d2b97b159d36e83d2b95ed4cbb7,PassedToFailed,passed,389,https://github.com/computationalmodelling/nbval/pull/30
