BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
107982103,08a4c4ca2deedfbbe4480141a7fb1e9a252159b9,PassedToFailed,passed,685,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/e97da8e5ec96...03260d646a45
107973267,03260d646a45f421c6e6053185d4099b64e94541,PassedToFailed,failed,593,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/e97da8e5ec96...03260d646a45
107973267,03260d646a45f421c6e6053185d4099b64e94541,FailedToPassed,failed,593,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/75c175bccd64...e97da8e5ec96
107957245,e97da8e5ec968fcdc93ba414e63c20d658ae2053,FailedToPassed,passed,688,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/75c175bccd64...e97da8e5ec96
105166962,3552637802163cc228bbc177666d99e002167922,PassedToErrored,passed,411,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/3acb897c65a0...b34c03067533
105165918,b34c030675335b48c8b4d8ae411afbaf349d5d28,PassedToErrored,errored,159,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/3acb897c65a0...b34c03067533
105165918,b34c030675335b48c8b4d8ae411afbaf349d5d28,ErroredToPassed,errored,159,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/6b066694989f...3acb897c65a0
105134125,3acb897c65a0d566626248f5ff5ddff807ee2934,ErroredToPassed,passed,401,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/6b066694989f...3acb897c65a0
103751582,094ef0d9241a4441822031665f16bfb7e54361f0,PassedToFailed,passed,381,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/a216bd51040c...36b3c71851c8
103748704,36b3c71851c84320731e18860199c428eb5c8c7a,PassedToFailed,failed,480,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/a216bd51040c...36b3c71851c8
103748704,36b3c71851c84320731e18860199c428eb5c8c7a,FailedToPassed,failed,480,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/48d00735f2da...a216bd51040c
103727049,a216bd51040c6bfde05f41a27643a16516d17a3b,FailedToPassed,passed,384,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/48d00735f2da...a216bd51040c
102928906,262bb537c90741359054864af1113394cebec196,ErroredToPassed,errored,75,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/7cda39643bb1...c780f817739e
91373823,c780f817739e376a0f1e986425aba72f1f2c5909,ErroredToPassed,passed,483,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/7cda39643bb1...c780f817739e
91372351,c780f817739e376a0f1e986425aba72f1f2c5909,PassedToFailed,passed,500,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/d7c08638ac78...001b662053db
91370400,001b662053dbfc834966b55c57bb422cac138091,PassedToFailed,failed,489,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/d7c08638ac78...001b662053db
91311476,d7c08638ac782b9c3b1c37dd5ad536be05340db1,ErroredToPassed,errored,7200,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/7cda39643bb1...a49489bac966
91242067,a49489bac966b8535030f5363696a07f122e4c94,ErroredToPassed,passed,446,https://github.com/daniel-cortez-stevenson/crypto-predict/compare/7cda39643bb1...a49489bac966
