BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
703967589,03794d0b6086f1c49c2393c0a2ab690895c62df6,PassedToFailed,passed,76,https://github.com/delph-in/pydelphin/compare/8d0cbc52878f...5ade1820a770
703956646,5ade1820a770ec8a496079628d097b95bc0985be,PassedToFailed,failed,81,https://github.com/delph-in/pydelphin/compare/8d0cbc52878f...5ade1820a770
703955852,2d8c8adae53e4ca5d4c36e6fd1cee1ce64f9a486,FailedToPassed,failed,83,https://github.com/delph-in/pydelphin/compare/9184623bf368...8d0cbc52878f
703955203,8d0cbc52878fb33b5b28c96581c1379b96b7b55e,FailedToPassed,passed,74,https://github.com/delph-in/pydelphin/compare/9184623bf368...8d0cbc52878f
703955203,8d0cbc52878fb33b5b28c96581c1379b96b7b55e,PassedToFailed,passed,74,https://github.com/delph-in/pydelphin/compare/d6aee78bfa0e...84442a80423f
703952534,84442a80423f2dc88d6bc12397cc0f8e6ba14035,PassedToFailed,failed,82,https://github.com/delph-in/pydelphin/compare/d6aee78bfa0e...84442a80423f
703935499,d6aee78bfa0ebc1f51681bcf38a93fc736f6f0fe,FailedToPassed,failed,83,https://github.com/delph-in/pydelphin/compare/e54e5dc8e227...4ae693c70ca8
703836303,4ae693c70ca824c7988d5712fac8bb300c526b2b,FailedToPassed,passed,78,https://github.com/delph-in/pydelphin/compare/e54e5dc8e227...4ae693c70ca8
634668353,c7f3e6aa5d1f84be1ec38a18b370a6d19ef7ec58,PassedToFailed,passed,82,https://github.com/delph-in/pydelphin/compare/6cf6e990a1f3...02205d4a2683
634656237,02205d4a2683f1496d634b11ab8c79e3d1d8bb85,PassedToFailed,failed,91,https://github.com/delph-in/pydelphin/compare/6cf6e990a1f3...02205d4a2683
633636677,936815edde91612ac136f1490789453a5fb6ad75,ErroredToPassed,errored,72,https://github.com/delph-in/pydelphin/compare/v1.1.0
633638320,880a389c61ea00d5c6d36678457580fbd3fd3122,ErroredToPassed,passed,90,https://github.com/delph-in/pydelphin/compare/v1.1.0
554638502,e1a65600fd698d8cfd7d864be080f023e21b5e85,PassedToFailed,passed,82,https://github.com/delph-in/pydelphin/compare/68be0bc522b0...4b8e5c5a7640
554519369,4b8e5c5a7640903f3f86ebc726cb7b862cebe17d,PassedToFailed,failed,83,https://github.com/delph-in/pydelphin/compare/68be0bc522b0...4b8e5c5a7640
554519369,4b8e5c5a7640903f3f86ebc726cb7b862cebe17d,FailedToPassed,failed,83,https://github.com/delph-in/pydelphin/compare/db217d99f458...68be0bc522b0
554326765,68be0bc522b0ccd343fa766fc05b0dcf2900f272,FailedToPassed,passed,81,https://github.com/delph-in/pydelphin/compare/db217d99f458...68be0bc522b0
554326765,68be0bc522b0ccd343fa766fc05b0dcf2900f272,PassedToFailed,passed,81,https://github.com/delph-in/pydelphin/compare/c4808ea2c85d...db217d99f458
554190660,db217d99f4589f70fd9c60d1e623c107193cad24,PassedToFailed,failed,85,https://github.com/delph-in/pydelphin/compare/c4808ea2c85d...db217d99f458
545648552,2b59b46c290fd8922a3a2ccbf1fd76cbbd468f3d,FailedToPassed,failed,84,https://github.com/delph-in/pydelphin/compare/ac03afbff9d4...886d34e4993e
540582920,886d34e4993ef649ee8f77f1d17e940d4ef2bc7f,FailedToPassed,passed,117,https://github.com/delph-in/pydelphin/compare/ac03afbff9d4...886d34e4993e
532653897,1087ade15324eae0e0453b31dc346e65ef16df19,PassedToFailed,passed,133,https://github.com/delph-in/pydelphin/compare/d01521753829...cd5715ed6c6c
532652918,cd5715ed6c6c81a0079f2ddeaf60ecab9d78e251,PassedToFailed,failed,134,https://github.com/delph-in/pydelphin/compare/d01521753829...cd5715ed6c6c
532652918,cd5715ed6c6c81a0079f2ddeaf60ecab9d78e251,FailedToPassed,failed,134,https://github.com/delph-in/pydelphin/compare/42c0aee31a1e...d01521753829
531867368,d015217538290bfeb05e898e8ca2391b453736b8,FailedToPassed,passed,132,https://github.com/delph-in/pydelphin/compare/42c0aee31a1e...d01521753829
531693471,42c0aee31a1eb5f33ca4b8c8038220dce08e0c67,PassedToErrored,passed,128,https://github.com/delph-in/pydelphin/compare/eb50a2acf16f...2c94e0172446
531690794,2c94e0172446885f6cafbfb82cc6ba85153147e5,PassedToErrored,errored,361,https://github.com/delph-in/pydelphin/compare/eb50a2acf16f...2c94e0172446
