BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
730596251,8515a4ad3849f933f3d6d5e121668e2cf6a8cd15,PassedToFailed,passed,368,https://github.com/edublancas/sklearn-evaluation/compare/2868a5365738...b98982cceea8
730595464,b98982cceea8de758279def78153866212e932bc,PassedToFailed,failed,316,https://github.com/edublancas/sklearn-evaluation/compare/2868a5365738...b98982cceea8
730593920,9a0d41f1f2ed5e46fc189f34c2ea8c78f5026956,FailedToPassed,failed,218,https://github.com/edublancas/sklearn-evaluation/compare/0ef27db90352...b11985f32d4c
730544966,b11985f32d4cd45b662b5cf3a8de7a04f89aefd6,FailedToPassed,passed,386,https://github.com/edublancas/sklearn-evaluation/compare/0ef27db90352...b11985f32d4c
730544966,b11985f32d4cd45b662b5cf3a8de7a04f89aefd6,PassedToFailed,passed,386,https://github.com/edublancas/sklearn-evaluation/compare/c89198f10fc6...0ef27db90352
730543002,0ef27db90352bdfdd4af92b5237e7a1d2b250ce7,PassedToFailed,failed,412,https://github.com/edublancas/sklearn-evaluation/compare/c89198f10fc6...0ef27db90352
730535624,09235c8595353b003cd60a219be23a8f03d759ab,FailedToPassed,failed,375,https://github.com/edublancas/sklearn-evaluation/compare/3964a7c5fa7f...408bd84b679e
730518628,408bd84b679ef90eeca7458aadc0487384828f25,FailedToPassed,passed,377,https://github.com/edublancas/sklearn-evaluation/compare/3964a7c5fa7f...408bd84b679e
729172095,1f5547e48c8ed3706de6dd97df3bb8a463977429,PassedToFailed,passed,221,https://github.com/edublancas/sklearn-evaluation/compare/2c580d6fdf51...79ed183aab9d
729168896,79ed183aab9d603e3772ff2320c6565276855036,PassedToFailed,failed,196,https://github.com/edublancas/sklearn-evaluation/compare/2c580d6fdf51...79ed183aab9d
729144217,205936528292392e28bd82e911f00f7346e7177a,FailedToPassed,failed,219,https://github.com/edublancas/sklearn-evaluation/compare/b8d4985fe280...51e82065de34
728490668,51e82065de3413098b3d7e3532c054444eb2c405,FailedToPassed,passed,337,https://github.com/edublancas/sklearn-evaluation/compare/b8d4985fe280...51e82065de34
728462178,48692be108814eff9a47eb1c0ed9e242e3c04abf,PassedToFailed,passed,344,https://github.com/edublancas/sklearn-evaluation/compare/2f6452e6f8ee...5dd99f956e74
728461109,5dd99f956e74a2f0bba53cef3df70727c227fdab,PassedToFailed,failed,333,https://github.com/edublancas/sklearn-evaluation/compare/2f6452e6f8ee...5dd99f956e74
728455875,2f6452e6f8eedc641f2bbc344bcf0e8533506500,FailedToPassed,failed,253,https://github.com/edublancas/sklearn-evaluation/compare/311ecc1a9705...92381c894d61
728451407,92381c894d617724852d0b074fca18a8b68b00cc,FailedToPassed,passed,342,https://github.com/edublancas/sklearn-evaluation/compare/311ecc1a9705...92381c894d61
728451407,92381c894d617724852d0b074fca18a8b68b00cc,PassedToFailed,passed,342,https://github.com/edublancas/sklearn-evaluation/compare/056847fca350...311ecc1a9705
728451036,311ecc1a9705ccffd936ca78211168bbf18c17f7,PassedToFailed,failed,91,https://github.com/edublancas/sklearn-evaluation/compare/056847fca350...311ecc1a9705
728447407,056847fca3509f1b9cfb743508fcb281949e6ecf,FailedToPassed,failed,83,https://github.com/edublancas/sklearn-evaluation/compare/355226255971...77e2af78c3e7
728432557,77e2af78c3e7a908656611f14be82e93f2d9b148,FailedToPassed,passed,246,https://github.com/edublancas/sklearn-evaluation/compare/355226255971...77e2af78c3e7
728432557,77e2af78c3e7a908656611f14be82e93f2d9b148,PassedToFailed,passed,246,https://github.com/edublancas/sklearn-evaluation/compare/6bb00888940b...355226255971
728422628,3552262559715844361c82e770599a205755536e,PassedToFailed,failed,174,https://github.com/edublancas/sklearn-evaluation/compare/6bb00888940b...355226255971
541017485,94badfc9c1b6a5f1ea6f3766ea8849bd515802bf,FailedToPassed,failed,263,https://github.com/edublancas/sklearn-evaluation/compare/29586220f75c...2ef58a3212b6
541009358,2ef58a3212b61b9fd0b649794c4113b2498131b0,FailedToPassed,passed,293,https://github.com/edublancas/sklearn-evaluation/compare/29586220f75c...2ef58a3212b6
527572543,07aec37bc0138593ab0354338c3a8ebcdcb65e4c,PassedToFailed,passed,278,https://github.com/edublancas/sklearn-evaluation/commit/368a9605b820
527572059,368a9605b8204bbd1bb651d32033c4ef1a1a9b8f,PassedToFailed,failed,74,https://github.com/edublancas/sklearn-evaluation/commit/368a9605b820
527572059,368a9605b8204bbd1bb651d32033c4ef1a1a9b8f,FailedToPassed,failed,74,https://github.com/edublancas/sklearn-evaluation/compare/96556bbd2b47...3db7df1dff5e
527571774,3db7df1dff5e973b57061a5612cc488d7f61d66b,FailedToPassed,passed,301,https://github.com/edublancas/sklearn-evaluation/compare/96556bbd2b47...3db7df1dff5e
527571497,d80f58e60ed17bd79d686875dbf071f5273dae62,PassedToFailed,passed,289,https://github.com/edublancas/sklearn-evaluation/compare/0.5
527571365,96556bbd2b47161337096bc7957986fec1b896ee,PassedToFailed,failed,76,https://github.com/edublancas/sklearn-evaluation/compare/0.5
527571365,96556bbd2b47161337096bc7957986fec1b896ee,FailedToPassed,failed,76,https://github.com/edublancas/sklearn-evaluation/compare/655b09837840...96556bbd2b47
527563933,96556bbd2b47161337096bc7957986fec1b896ee,FailedToPassed,passed,275,https://github.com/edublancas/sklearn-evaluation/compare/655b09837840...96556bbd2b47
527562027,b44dcf5dd8865edf98c11fbc02b1abeb4e3d0b45,PassedToErrored,passed,285,https://github.com/edublancas/sklearn-evaluation/pull/31
527561961,43d36cef18eee0f431856eb5207693335952e2b6,PassedToErrored,errored,72,https://github.com/edublancas/sklearn-evaluation/pull/31
527561961,43d36cef18eee0f431856eb5207693335952e2b6,ErroredToPassed,errored,72,https://github.com/edublancas/sklearn-evaluation/compare/1375a60e9e9b...48f81b1d1778
527561215,48f81b1d177827c7f97e7f7a817093417d508030,ErroredToPassed,passed,268,https://github.com/edublancas/sklearn-evaluation/compare/1375a60e9e9b...48f81b1d1778
527561215,48f81b1d177827c7f97e7f7a817093417d508030,PassedToFailed,passed,268,https://github.com/edublancas/sklearn-evaluation/compare/643661dd7286...1375a60e9e9b
527552791,1375a60e9e9bf8f80e54507f9491c05e1c32a840,PassedToFailed,failed,307,https://github.com/edublancas/sklearn-evaluation/compare/643661dd7286...1375a60e9e9b
527541723,72791f79eae9423aa6e98537d3c0a3edb9e0da8a,FailedToPassed,failed,185,https://github.com/edublancas/sklearn-evaluation/compare/f8eec81db958...d288725e5d08
527539254,d288725e5d08d3adeef61ca4467905dbca310bbf,FailedToPassed,passed,197,https://github.com/edublancas/sklearn-evaluation/compare/f8eec81db958...d288725e5d08
527539254,d288725e5d08d3adeef61ca4467905dbca310bbf,PassedToFailed,passed,197,https://github.com/edublancas/sklearn-evaluation/compare/cbc1ba89236e...f8eec81db958
527536514,f8eec81db958098686936c60de9cefa4e70c167e,PassedToFailed,failed,174,https://github.com/edublancas/sklearn-evaluation/compare/cbc1ba89236e...f8eec81db958
527536514,f8eec81db958098686936c60de9cefa4e70c167e,FailedToPassed,failed,174,https://github.com/edublancas/sklearn-evaluation/compare/d11245f74697...cbc1ba89236e
527532685,cbc1ba89236e406be1f80124bb9bb0222c951280,FailedToPassed,passed,203,https://github.com/edublancas/sklearn-evaluation/compare/d11245f74697...cbc1ba89236e
527496740,d11245f74697d9ae4a36ac98f1c6cdd8bf7a6277,PassedToFailed,passed,204,https://github.com/edublancas/sklearn-evaluation/compare/38f7ab5f25ba...769d6ab7aaf8
527494064,769d6ab7aaf880b1e06a09183ba10623d9815391,PassedToFailed,failed,451,https://github.com/edublancas/sklearn-evaluation/compare/38f7ab5f25ba...769d6ab7aaf8
527153079,f21bd9ec85621d3c3d188ab4d364f63a29103d78,FailedToPassed,failed,148,https://github.com/edublancas/sklearn-evaluation/compare/2344e1ff014c...bb8523fd7223
527146406,bb8523fd722375b7d2032582ad9ed8fbd10cdf9c,FailedToPassed,passed,164,https://github.com/edublancas/sklearn-evaluation/compare/2344e1ff014c...bb8523fd7223
527146406,bb8523fd722375b7d2032582ad9ed8fbd10cdf9c,PassedToFailed,passed,164,https://github.com/edublancas/sklearn-evaluation/compare/a0a3feaef662...2344e1ff014c
527145335,2344e1ff014cbe773d61213bb16375549f2890f0,PassedToFailed,failed,78,https://github.com/edublancas/sklearn-evaluation/compare/a0a3feaef662...2344e1ff014c
527116535,86d31db567dd68d1de932438ca881ef203af46fb,FailedToPassed,failed,84,https://github.com/edublancas/sklearn-evaluation/compare/97b33046c0a6...c0edc928f769
527063124,c0edc928f769ff12c4db7614236e9e852d4b1445,FailedToPassed,passed,120,https://github.com/edublancas/sklearn-evaluation/compare/97b33046c0a6...c0edc928f769
527063124,c0edc928f769ff12c4db7614236e9e852d4b1445,PassedToFailed,passed,120,https://github.com/edublancas/sklearn-evaluation/compare/cc0bb6cb98e1...97b33046c0a6
527061531,97b33046c0a60b1db85825721ff31c5970f1bd8d,PassedToFailed,failed,95,https://github.com/edublancas/sklearn-evaluation/compare/cc0bb6cb98e1...97b33046c0a6
527061531,97b33046c0a60b1db85825721ff31c5970f1bd8d,FailedToPassed,failed,95,https://github.com/edublancas/sklearn-evaluation/compare/5fb636df0e57...cc0bb6cb98e1
