BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
182634408,0547bf25ae94b766cdc5c4e6e4a7ed15ed550b5e,FailedToPassed,failed,342,https://github.com/esowc/ml_drought/pull/168
180379536,a18cee10392afc37b5f5089099c2800c4cfbc746,FailedToPassed,passed,363,https://github.com/esowc/ml_drought/pull/168
180378426,edb45521d1b004e2540d4203aa0dad2fe5395d96,PassedToFailed,passed,352,https://github.com/esowc/ml_drought/pull/168
180378136,3d2953afde752c9583490f4522101e3531fc8287,PassedToFailed,failed,358,https://github.com/esowc/ml_drought/pull/168
180378127,9fe6f6d9c14ad2bd3f9435d0664bc471c504b189,FailedToPassed,failed,347,https://github.com/esowc/ml_drought/compare/564df993c256...ec50a8b5be43
180333665,ec50a8b5be4346067a434dd16169012f7ec038d7,FailedToPassed,passed,371,https://github.com/esowc/ml_drought/compare/564df993c256...ec50a8b5be43
180302038,e16fee21dac217594b2b7c30f71146cdf0a29fce,PassedToFailed,passed,363,https://github.com/esowc/ml_drought/compare/0ca83ab260dd...3bd6853a9c41
180151823,3bd6853a9c419c3b0dda64107a5dcbd303ff95fb,PassedToFailed,failed,371,https://github.com/esowc/ml_drought/compare/0ca83ab260dd...3bd6853a9c41
180121630,5f5fecbe9a4a940ac794123f3dedc7a64c9d77e4,FailedToPassed,failed,353,https://github.com/esowc/ml_drought/compare/34882693cacb...564df993c256
180121257,564df993c256f2571929a70f41ff0b9995f3e371,FailedToPassed,passed,356,https://github.com/esowc/ml_drought/compare/34882693cacb...564df993c256
180119733,a39f959e66ac17a7f7eba2437e110aae8017e995,PassedToFailed,passed,370,https://github.com/esowc/ml_drought/pull/168
180118437,5ac34b11a8968ef3c81d17911b23fcaf2dc53197,PassedToFailed,failed,332,https://github.com/esowc/ml_drought/pull/168
180116938,32baace9014f4cee33a734198e1b3ecebb8c81a1,FailedToPassed,failed,341,https://github.com/esowc/ml_drought/compare/5c3eb65515af...34882693cacb
180116778,34882693cacb81f9ce76b1682b78ae11668309bf,FailedToPassed,passed,315,https://github.com/esowc/ml_drought/compare/5c3eb65515af...34882693cacb
180114839,7adac81451280f32f6c61217367896cec3e725a7,PassedToFailed,passed,448,https://github.com/esowc/ml_drought/pull/157
180114702,5705bad8a4c1fa5c0b57d369f69f93c3b2a35ebe,PassedToFailed,failed,698,https://github.com/esowc/ml_drought/pull/157
179247741,26c19c132cb76dd07790b886028834219ca9691e,FailedToPassed,failed,334,https://github.com/esowc/ml_drought/pull/143
179247662,b054bfb3d213731cf7e3a471a5b98c8d57827ade,FailedToPassed,passed,324,https://github.com/esowc/ml_drought/pull/143
179245395,bfa8d2a3fa51bbf0f782f59452e7204503d40949,PassedToFailed,passed,387,https://github.com/esowc/ml_drought/compare/b1528c18781a...0218cd911320
179244231,0218cd911320e7b24fac054e26e435503bbe3ea3,PassedToFailed,failed,340,https://github.com/esowc/ml_drought/compare/b1528c18781a...0218cd911320
178915830,6283b4d7f19c315679563547944348b07ba2a9f6,FailedToPassed,failed,354,https://github.com/esowc/ml_drought/compare/526cf2a6771b...e4a8500c99ae
178915110,e4a8500c99ae32669ad7f48847e53274b697a390,FailedToPassed,passed,359,https://github.com/esowc/ml_drought/compare/526cf2a6771b...e4a8500c99ae
178915110,e4a8500c99ae32669ad7f48847e53274b697a390,PassedToFailed,passed,359,https://github.com/esowc/ml_drought/compare/af6261c2df95...526cf2a6771b
178903111,526cf2a6771b1ebfadd5b44779c523af01e00834,PassedToFailed,failed,392,https://github.com/esowc/ml_drought/compare/af6261c2df95...526cf2a6771b
178877796,78c158bc8b98aa778240e2786145e76a13f72f85,FailedToPassed,failed,343,https://github.com/esowc/ml_drought/compare/d81ea439950b...37161c04c94e
178877611,37161c04c94eefcf8fb486c0b471f94938920bd1,FailedToPassed,passed,359,https://github.com/esowc/ml_drought/compare/d81ea439950b...37161c04c94e
178875594,a2827ab4276bf9dc120d820c69575f316d2fee4e,PassedToFailed,passed,343,https://github.com/esowc/ml_drought/compare/93a5c09c8f6f...2f42a112f2a4
178875364,2f42a112f2a4b985921128e074c5a717e2aeb571,PassedToFailed,failed,355,https://github.com/esowc/ml_drought/compare/93a5c09c8f6f...2f42a112f2a4
178873490,d2cf22f60a9a6312ae2945d8409f456046bce81b,FailedToPassed,failed,353,https://github.com/esowc/ml_drought/commit/f634532a0e56
178867528,f634532a0e566b039e9cc02052ef9bd9f722f5d0,FailedToPassed,passed,341,https://github.com/esowc/ml_drought/commit/f634532a0e56
177579812,8a222e349bb17e91214c46dfc77bf9348dcdb7b1,PassedToFailed,passed,379,https://github.com/esowc/ml_drought/pull/166
177578990,0a8ccbc62754561fbe8041429506c2e2db14a962,PassedToFailed,failed,292,https://github.com/esowc/ml_drought/pull/166
165483073,7411516c8845e1f00b892c3578afcc5e1bed8283,FailedToPassed,failed,298,https://github.com/esowc/ml_drought/pull/163
165454616,7df37001f1790255a4522f9835156f7880e42f98,FailedToPassed,passed,356,https://github.com/esowc/ml_drought/pull/163
165453250,a83a0c8eb73c9176f41b3641c758ce4e9f0ef843,PassedToFailed,passed,348,https://github.com/esowc/ml_drought/compare/bfe37bafafb9...625362130151
165451349,62536213015147d7f484e5e5c452ace99eefe530,PassedToFailed,failed,358,https://github.com/esowc/ml_drought/compare/bfe37bafafb9...625362130151
162412141,fac7c96e31762999c050ba0966525b4f9590d445,FailedToPassed,failed,332,https://github.com/esowc/ml_drought/compare/5f5aea02d2e3...90e7b43de9b0
