BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
671137962,505a4e37246a29dd1b39faae1b51e34be3c2cbd1,PassedToErrored,passed,2100,https://github.com/eyounx/ZOOpt/pull/26
671137935,c746c703e39e59ffe4f621af0fafe070a18eb342,PassedToErrored,errored,166,https://github.com/eyounx/ZOOpt/pull/26
668379049,b5a41ce7e1d65687c192388f8b9678b691be44bc,ErroredToPassed,errored,2424,https://github.com/eyounx/ZOOpt/compare/66cfef57adcb...2b2d20e21bc7
650533378,2b2d20e21bc7782200a3acc650ae64a630885857,ErroredToPassed,passed,1595,https://github.com/eyounx/ZOOpt/compare/66cfef57adcb...2b2d20e21bc7
650533378,2b2d20e21bc7782200a3acc650ae64a630885857,PassedToErrored,passed,1595,https://github.com/eyounx/ZOOpt/compare/d83c7d28deca...66cfef57adcb
648917242,66cfef57adcb6c69aa7764e60af87a3fc369f77b,PassedToErrored,errored,808,https://github.com/eyounx/ZOOpt/compare/d83c7d28deca...66cfef57adcb
648917242,66cfef57adcb6c69aa7764e60af87a3fc369f77b,ErroredToPassed,errored,808,https://github.com/eyounx/ZOOpt/pull/21
648284600,1e61629ef267b66ed90b0122504cd2b823f2e7fd,ErroredToPassed,passed,1633,https://github.com/eyounx/ZOOpt/pull/21
645588105,b753682ba7943cd55a04cdb626b7bb3533cb439b,PassedToFailed,passed,1601,https://github.com/eyounx/ZOOpt/compare/cc0c9dba9401...703fb5335a07
645536275,703fb5335a0743ef00cb69d2278908499e288569,PassedToFailed,failed,1616,https://github.com/eyounx/ZOOpt/compare/cc0c9dba9401...703fb5335a07
645511368,ef0a292f2faad8a8f11350732db62f8c6a924016,FailedToPassed,failed,201,https://github.com/eyounx/ZOOpt/compare/ae2cccc28092...4880b90ac5fa
617235984,4880b90ac5fad4164635457fa9d955d4ed1ee463,FailedToPassed,passed,1050,https://github.com/eyounx/ZOOpt/compare/ae2cccc28092...4880b90ac5fa
602193398,ae2cccc28092f41660b1a1642c69aea784579545,PassedToErrored,passed,588,https://github.com/eyounx/ZOOpt/compare/7a56cfd4e0f6...9da21bc4ff64
602190867,9da21bc4ff6480289fbd680e0a92edee15ccba0a,PassedToErrored,errored,728,https://github.com/eyounx/ZOOpt/compare/7a56cfd4e0f6...9da21bc4ff64
595521273,9d56098e51ab0674ab467abc57a8a9e8f64361a4,ErroredToPassed,errored,832,https://github.com/eyounx/ZOOpt/compare/901131bbbe22...b2b06dee7488
475740070,b2b06dee74881d383e7e72cdc5623f4063cdc1dc,ErroredToPassed,passed,800,https://github.com/eyounx/ZOOpt/compare/901131bbbe22...b2b06dee7488
371836435,e6bc0bef13c06dce21e50929d9b107cc242585e4,PassedToFailed,passed,4163,https://github.com/eyounx/ZOOpt/compare/197a1dbe615b...8bae577f9457
371482314,8bae577f94579b8c066a3f305124a85c1f0babde,PassedToFailed,failed,4683,https://github.com/eyounx/ZOOpt/compare/197a1dbe615b...8bae577f9457
371482314,8bae577f94579b8c066a3f305124a85c1f0babde,FailedToPassed,failed,4683,https://github.com/eyounx/ZOOpt/compare/1047df165707...197a1dbe615b
369426381,197a1dbe615b742c25b362c00bd0c97690083db1,FailedToPassed,passed,4336,https://github.com/eyounx/ZOOpt/compare/1047df165707...197a1dbe615b
369426381,197a1dbe615b742c25b362c00bd0c97690083db1,PassedToErrored,passed,4336,https://github.com/eyounx/ZOOpt/pull/13
369425942,aacfd90a9bf3426050776b82199e65e433ae579f,PassedToErrored,errored,3914,https://github.com/eyounx/ZOOpt/pull/13
369425942,aacfd90a9bf3426050776b82199e65e433ae579f,ErroredToPassed,errored,3914,https://github.com/eyounx/ZOOpt/compare/c100d0fcb272...1047df165707
369416076,1047df165707fddf5871dc98ecb11cdcdba9e9fd,ErroredToPassed,passed,5189,https://github.com/eyounx/ZOOpt/compare/c100d0fcb272...1047df165707
369416076,1047df165707fddf5871dc98ecb11cdcdba9e9fd,PassedToErrored,passed,5189,https://github.com/eyounx/ZOOpt/pull/12
369414621,b6b1cde23db405a58c771aa96435c431997ce228,PassedToErrored,errored,4158,https://github.com/eyounx/ZOOpt/pull/12
369414621,b6b1cde23db405a58c771aa96435c431997ce228,ErroredToPassed,errored,4158,https://github.com/eyounx/ZOOpt/compare/c1a83747bb0d...c100d0fcb272
369385249,c100d0fcb2721962971f4bd84ebbb12ee1f87d08,ErroredToPassed,passed,4709,https://github.com/eyounx/ZOOpt/compare/c1a83747bb0d...c100d0fcb272
357212486,e9098ac0a0db6974ad076bc91ce6d857825879ac,PassedToErrored,passed,4229,https://github.com/eyounx/ZOOpt/pull/10
357212421,bc162912f099e5ea47af08aeb33c9315a1aa4313,PassedToErrored,errored,160,https://github.com/eyounx/ZOOpt/pull/10
357212421,bc162912f099e5ea47af08aeb33c9315a1aa4313,ErroredToPassed,errored,160,https://github.com/eyounx/ZOOpt/compare/4ae459969dacdc305d84e708f769f2e8c81353bd...ac49a06e3509d9c6099e8ce6869a4b43674e0392
356888424,ac49a06e3509d9c6099e8ce6869a4b43674e0392,ErroredToPassed,passed,4798,https://github.com/eyounx/ZOOpt/compare/4ae459969dacdc305d84e708f769f2e8c81353bd...ac49a06e3509d9c6099e8ce6869a4b43674e0392
