BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
176757085,46429d6d18c92da0a1b39c26a1ed273b505442bd,PassedToFailed,passed,83,https://github.com/gbolmier/funk-svd/compare/7758eb1e023d...7f5404d8e996
176756606,7f5404d8e996dbb0d302eba793fcedde0562aa30,PassedToFailed,failed,73,https://github.com/gbolmier/funk-svd/compare/7758eb1e023d...7f5404d8e996
176756271,7758eb1e023dc7515a3af22c79cc2cdcd8e7210f,ErroredToPassed,errored,55,https://github.com/gbolmier/funk-svd/pull/6
176750044,8e8ff214920fd7398558bbb7274b0e44925f6f12,ErroredToPassed,passed,76,https://github.com/gbolmier/funk-svd/pull/6
176750044,8e8ff214920fd7398558bbb7274b0e44925f6f12,PassedToFailed,passed,76,https://github.com/gbolmier/funk-svd/pull/6
176731503,5f6049df270c2b4d3dd2c3bb7502932eddee87a8,PassedToFailed,failed,62,https://github.com/gbolmier/funk-svd/pull/6
160918305,01d8b832f678faf6fe2e4e39885b49e7d51d94aa,FailedToPassed,failed,57,https://github.com/gbolmier/funk-svd/compare/310abcd2d747...794534da138d
137933405,794534da138d271d27a9c0a383c3f9df18fc20b8,FailedToPassed,passed,71,https://github.com/gbolmier/funk-svd/compare/310abcd2d747...794534da138d
137802489,d70d87dcb15f83ee2c36b7bc177e91d65fd28a26,PassedToFailed,passed,83,https://github.com/gbolmier/funk-svd/pull/2
129612564,e76fa9b56393b4f4e6c15ed83e20cef7f6d34526,PassedToFailed,failed,135,https://github.com/gbolmier/funk-svd/pull/2
129612564,e76fa9b56393b4f4e6c15ed83e20cef7f6d34526,FailedToPassed,failed,135,https://github.com/gbolmier/funk-svd/compare/bba44deb9d17...3a988ff77c7b
111088436,3a988ff77c7b3b6950c0aded7f82c94b96368adf,FailedToPassed,passed,819,https://github.com/gbolmier/funk-svd/compare/bba44deb9d17...3a988ff77c7b
107234685,c9f24b4d100e0c31891dd1f4ee126d4f209417e7,PassedToFailed,passed,845,https://github.com/gbolmier/funk-svd/pull/1
107209181,6c5ad060df1ef1c30bcd3a35d10a6b62b195ea45,PassedToFailed,failed,617,https://github.com/gbolmier/funk-svd/pull/1
107202174,48f719d1fe05506ac7d13eb05a7c8dee648b1a52,FailedToPassed,failed,605,https://github.com/gbolmier/funk-svd/compare/21b03a09c552...1af47ff661af
107131870,1af47ff661af86eadfa8c1db41bfa040b8c935d2,FailedToPassed,passed,474,https://github.com/gbolmier/funk-svd/compare/21b03a09c552...1af47ff661af
107130077,21b03a09c5528fc74841c205bae5c22f7f3ec645,PassedToErrored,passed,509,https://github.com/gbolmier/funk-svd/compare/e01d541b8b60...1fc7a93a31d7
107129383,1fc7a93a31d70b14201f2f6eaab8176114d162e6,PassedToErrored,errored,796,https://github.com/gbolmier/funk-svd/compare/e01d541b8b60...1fc7a93a31d7
