BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
482348524,27a39a91b81cf507d58a59b7069521c0a7d86fb1,FailedToPassed,failed,367,https://github.com/google/tangent/compare/1a8880fef192...6533e83af09d
413738820,6533e83af09de7345d1b438512679992f080dcc9,FailedToPassed,passed,1253,https://github.com/google/tangent/compare/1a8880fef192...6533e83af09d
413738820,6533e83af09de7345d1b438512679992f080dcc9,PassedToErrored,passed,1253,https://github.com/google/tangent/pull/83
413736303,8e984cdbbb82337a6f9018f9bc23e5ca35961e2c,PassedToErrored,errored,107,https://github.com/google/tangent/pull/83
413736303,8e984cdbbb82337a6f9018f9bc23e5ca35961e2c,ErroredToPassed,errored,107,https://github.com/google/tangent/commit/e405746a4742
413736065,e405746a4742ffc3ca901d2e30aab37205302b86,ErroredToPassed,passed,1191,https://github.com/google/tangent/commit/e405746a4742
378938722,329a8896c0ee77935e7b17437c549861273c611f,PassedToErrored,passed,1019,https://github.com/google/tangent/pull/72
378919478,bc6164e793cb778023c29e45557e3703eae3ec13,PassedToErrored,errored,83,https://github.com/google/tangent/pull/72
378919478,bc6164e793cb778023c29e45557e3703eae3ec13,ErroredToPassed,errored,83,https://github.com/google/tangent/compare/90a1e6ec42e7...1b87e39de616
355161059,1b87e39de616b3136252a5aefff4f1ed64072cc2,ErroredToPassed,passed,1373,https://github.com/google/tangent/compare/90a1e6ec42e7...1b87e39de616
342459905,94c1342f1db82a9eb9e1ee8671a392ee75cbcb13,PassedToFailed,passed,2688,https://github.com/google/tangent/commit/962404af9429
339559082,962404af94294e4df5e16335340fbfb672d8d933,PassedToFailed,failed,1729,https://github.com/google/tangent/commit/962404af9429
339559082,962404af94294e4df5e16335340fbfb672d8d933,FailedToPassed,failed,1729,https://github.com/google/tangent/compare/572716bdda8f...7ca63baca68d
335340249,7ca63baca68dcf6d530c9db0231594b2d36b266e,FailedToPassed,passed,1330,https://github.com/google/tangent/compare/572716bdda8f...7ca63baca68d
335315733,1787d51c5f8f5a9eb93304ab8dbed16bc6abc110,PassedToFailed,passed,1389,https://github.com/google/tangent/compare/1290aa83d46f...0c684e75c6a3
335308631,0c684e75c6a3f266a0abb5108444f15b68d65e4b,PassedToFailed,failed,670,https://github.com/google/tangent/compare/1290aa83d46f...0c684e75c6a3
333348085,1983d644e9fbd9068bb539b1b9f15f6b00fbb441,FailedToPassed,failed,203,https://github.com/google/tangent/compare/v0.1.9
314873595,3318ecab3eec71ef97702df66a59d1a2197c8de3,FailedToPassed,passed,1236,https://github.com/google/tangent/compare/v0.1.9
308981533,dd29d454939d3aae787de051fa739e1b5521e800,PassedToFailed,passed,1423,https://github.com/google/tangent/pull/49
308980255,b735c06482ac2c024f3a4443214a6695f211ec42,PassedToFailed,failed,1236,https://github.com/google/tangent/pull/49
308975884,27c2c2baca16706c83ec401fe19ce246bf2ae19e,FailedToPassed,failed,1198,https://github.com/google/tangent/pull/48
308690730,3b37ff6208a16ed13d7d815f3c5a6531faf5cc17,FailedToPassed,passed,1287,https://github.com/google/tangent/pull/48
300718842,f13017558dd7bd43365aeec0aae47c86e1ac708b,PassedToFailed,passed,1398,https://github.com/google/tangent/compare/86619a0dc8bc...c89408cdfe32
300716138,c89408cdfe32ebdddad1e0fde11a030b00134f94,PassedToFailed,failed,1001,https://github.com/google/tangent/compare/86619a0dc8bc...c89408cdfe32
300713511,86619a0dc8bcf2e3baaaacb75edeaaee2ab66482,FailedToPassed,failed,1080,https://github.com/google/tangent/commit/4f303f0f11f9
300712268,4f303f0f11f9885c6dfc44b5b3e2a513d844f052,FailedToPassed,passed,1658,https://github.com/google/tangent/commit/4f303f0f11f9
300660807,c6d3c0b5dd5739fc3ffd0446b7a20cae06cd7eff,PassedToFailed,passed,1275,https://github.com/google/tangent/compare/ff9ffddd4f2c...31269a519717
