BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
630624085,54801b159db7f3c343fd3a9e56f7a5b376034f50,PassedToFailed,passed,379,https://github.com/ikegami-yukino/neologdn/compare/dc29c33a0ea6...154d0ed41489
630604768,154d0ed41489270e5bee29c8398dd9863df6a62c,PassedToFailed,failed,323,https://github.com/ikegami-yukino/neologdn/compare/dc29c33a0ea6...154d0ed41489
628024007,da613108b6c7d1645a75ce8f1642485ef7173158,FailedToPassed,failed,305,https://github.com/ikegami-yukino/neologdn/compare/2f529c2c744f...dc29c33a0ea6
480755724,dc29c33a0ea6a90b5c8c74d20c26f0a8ffc7dbbd,FailedToPassed,passed,546,https://github.com/ikegami-yukino/neologdn/compare/2f529c2c744f...dc29c33a0ea6
464311980,bd5df58ffdcf815100d2cc61923ac64df046b4be,PassedToErrored,passed,349,https://github.com/ikegami-yukino/neologdn/pull/13
464289117,a2313d61e9fb15a3758dff4f71fa2414e7e7f307,PassedToErrored,errored,231,https://github.com/ikegami-yukino/neologdn/pull/13
464289117,a2313d61e9fb15a3758dff4f71fa2414e7e7f307,ErroredToPassed,errored,231,https://github.com/ikegami-yukino/neologdn/compare/c52e22f35640...bd01ca776e23
464289110,bd01ca776e23f96e93e647cf6dd831a8331a8a3a,ErroredToPassed,passed,436,https://github.com/ikegami-yukino/neologdn/compare/c52e22f35640...bd01ca776e23
464285727,4f90ddccc6a55becfacc493b171b9789eb6b382f,PassedToFailed,passed,600,https://github.com/ikegami-yukino/neologdn/compare/661ae1b9e4c6...0781d5f73e76
464279677,0781d5f73e766f444e200d5d7475325c35b44856,PassedToFailed,failed,359,https://github.com/ikegami-yukino/neologdn/compare/661ae1b9e4c6...0781d5f73e76
464278600,661ae1b9e4c683bdbbc0c3e518c66edfefc920e6,FailedToPassed,failed,334,https://github.com/ikegami-yukino/neologdn/compare/support_python_37
464278321,c52e22f356407aa8b7d93fb6c184c9026d208029,FailedToPassed,passed,301,https://github.com/ikegami-yukino/neologdn/compare/support_python_37
464275612,c52e22f356407aa8b7d93fb6c184c9026d208029,PassedToErrored,passed,322,https://github.com/ikegami-yukino/neologdn/pull/12
464275464,3a5e3e85e632c5ad579b69819e5741a7913c2644,PassedToErrored,errored,156,https://github.com/ikegami-yukino/neologdn/pull/12
464275464,3a5e3e85e632c5ad579b69819e5741a7913c2644,ErroredToPassed,errored,156,https://github.com/ikegami-yukino/neologdn/commit/85f5da8fe1a0
464272536,85f5da8fe1a030514a31397091053087edb820c8,ErroredToPassed,passed,304,https://github.com/ikegami-yukino/neologdn/commit/85f5da8fe1a0
379816136,47fdf8f3eec32d53e1d0dc7c384df4ca88ef3cf9,PassedToFailed,passed,779,https://github.com/ikegami-yukino/neologdn/compare/86746057d1d6^...c96bd572c09c
379815745,c96bd572c09c0c75fd019cbc0e45f5d53fee4092,PassedToFailed,failed,1441,https://github.com/ikegami-yukino/neologdn/compare/86746057d1d6^...c96bd572c09c
379815745,c96bd572c09c0c75fd019cbc0e45f5d53fee4092,FailedToPassed,failed,1441,https://github.com/ikegami-yukino/neologdn/compare/ad3d3b4ab0b2...1c67825a593c
351407435,1c67825a593cc28379cd5ad5066f8a642391e309,FailedToPassed,passed,535,https://github.com/ikegami-yukino/neologdn/compare/ad3d3b4ab0b2...1c67825a593c
347859295,c5517b55cb3c89922dd8a73305f0bf6930844571,PassedToErrored,passed,536,https://github.com/ikegami-yukino/neologdn/commit/d151f629de4d
347858959,d151f629de4dd88d88cd962f475b7e34f216337b,PassedToErrored,errored,766,https://github.com/ikegami-yukino/neologdn/commit/d151f629de4d
347858959,d151f629de4dd88d88cd962f475b7e34f216337b,ErroredToPassed,errored,766,https://github.com/ikegami-yukino/neologdn/compare/aada8b34f200...3018e393bb9d
347856730,3018e393bb9dc4a09c9bbf29b92d8217c9048c11,ErroredToPassed,passed,524,https://github.com/ikegami-yukino/neologdn/compare/aada8b34f200...3018e393bb9d
347852651,0b208268c2263f633574dab3e5cc497f6d623a98,PassedToFailed,passed,626,https://github.com/ikegami-yukino/neologdn/pull/7
347845994,a0080a42f99fa4a5c309e77cea8b91e3d7d0d026,PassedToFailed,failed,726,https://github.com/ikegami-yukino/neologdn/pull/7
347842913,154356d8fa4a2d536ecae9ca146dbc0283239ed6,FailedToPassed,failed,301,https://github.com/ikegami-yukino/neologdn/compare/cdd1e71f0a5a...aada8b34f200
194387220,aada8b34f2008bcb12bc0c99eb3a68ce2607952c,FailedToPassed,passed,407,https://github.com/ikegami-yukino/neologdn/compare/cdd1e71f0a5a...aada8b34f200
