BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
769584950,602e1b5cb203b175ad5b6af452f41c3049fc6a76,PassedToErrored,passed,1388,https://github.com/jupyter/nbdime/compare/2994fb4fad38...524aac24e1b1
767714271,524aac24e1b1a4367f3673627161e5bcf62d8f90,PassedToErrored,errored,1006,https://github.com/jupyter/nbdime/compare/2994fb4fad38...524aac24e1b1
767714271,524aac24e1b1a4367f3673627161e5bcf62d8f90,ErroredToPassed,errored,1006,https://github.com/jupyter/nbdime/pull/586
767381420,9dd620a0bf00a9f97b908dcea0233842ba72c0a3,ErroredToPassed,passed,1374,https://github.com/jupyter/nbdime/pull/586
766782863,567ddab3b510e51f775bc3ff70bc4d9a2acc39a4,PassedToErrored,passed,1385,https://github.com/jupyter/nbdime/pull/572
766782295,78ed782a85229e61211c66a87de6a2e6221ff60f,PassedToErrored,errored,521,https://github.com/jupyter/nbdime/pull/572
766781026,5e1ffb662e33abdfb49ad951231b19e4e078d874,ErroredToPassed,errored,330,https://github.com/jupyter/nbdime/pull/580
766746802,09277f0cf493c2cf8b0569abc6934c7d9cea28fa,ErroredToPassed,passed,1212,https://github.com/jupyter/nbdime/pull/580
766746802,09277f0cf493c2cf8b0569abc6934c7d9cea28fa,PassedToErrored,passed,1212,https://github.com/jupyter/nbdime/pull/572
766745776,2e5e8198406627fb9d5d24c067bba0c321f9bd75,PassedToErrored,errored,1048,https://github.com/jupyter/nbdime/pull/572
766745776,2e5e8198406627fb9d5d24c067bba0c321f9bd75,ErroredToPassed,errored,1048,https://github.com/jupyter/nbdime/compare/4291b8c21efb...8ce708cc541b
766717357,8ce708cc541b3a104b67bed75c180dcaaedc4dc2,ErroredToPassed,passed,1261,https://github.com/jupyter/nbdime/compare/4291b8c21efb...8ce708cc541b
766700522,2d03c60163905b37d202341da82a4e97c7c5924c,PassedToFailed,passed,1278,https://github.com/jupyter/nbdime/pull/566
766699118,3fe647fc978e796eddf60c128d83e1659044085d,PassedToFailed,failed,1264,https://github.com/jupyter/nbdime/pull/566
753573391,7585b719cda0467545df5ba6cae041a4848290de,FailedToPassed,failed,1288,https://github.com/jupyter/nbdime/compare/f6beb6001537...75363a026f60
753367047,75363a026f600171952b9456fc2cdafcbb8c8007,FailedToPassed,passed,1243,https://github.com/jupyter/nbdime/compare/f6beb6001537...75363a026f60
753367047,75363a026f600171952b9456fc2cdafcbb8c8007,PassedToFailed,passed,1243,https://github.com/jupyter/nbdime/pull/551
753348832,b51a263ec7899554f4ff8201d4ba8d6ad1c395d6,PassedToFailed,failed,1262,https://github.com/jupyter/nbdime/pull/551
753348832,b51a263ec7899554f4ff8201d4ba8d6ad1c395d6,FailedToPassed,failed,1262,https://github.com/jupyter/nbdime/pull/557
753347672,feebc90be3225ae07c15888b16a4c73c4dff7f3e,FailedToPassed,passed,1218,https://github.com/jupyter/nbdime/pull/557
753347533,206fee8c14bce39a619cb95ed9c13d0bb455f21b,PassedToFailed,passed,1237,https://github.com/jupyter/nbdime/pull/551
