BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
747159850,528650c5aed80ecab3ed34baab01adb005a0ea51,FailedToPassed,failed,331,https://github.com/jupyter/nbviewer/compare/ae0a4abed0fb...90c61ccda0e4
747158383,90c61ccda0e4ae08ce46511c45505b49663fb019,FailedToPassed,passed,336,https://github.com/jupyter/nbviewer/compare/ae0a4abed0fb...90c61ccda0e4
747158383,90c61ccda0e4ae08ce46511c45505b49663fb019,PassedToErrored,passed,336,https://github.com/jupyter/nbviewer/pull/968
747158342,4a17c48747f2cf5d4ee51e8cc8582ad16f343f36,PassedToErrored,errored,112,https://github.com/jupyter/nbviewer/pull/968
747158342,4a17c48747f2cf5d4ee51e8cc8582ad16f343f36,ErroredToPassed,errored,112,https://github.com/jupyter/nbviewer/compare/cf693bda747f...ae0a4abed0fb
747157847,ae0a4abed0fbc198c03ebfb336bbc971e6578247,ErroredToPassed,passed,330,https://github.com/jupyter/nbviewer/compare/cf693bda747f...ae0a4abed0fb
747157847,ae0a4abed0fbc198c03ebfb336bbc971e6578247,PassedToFailed,passed,330,https://github.com/jupyter/nbviewer/pull/968
741750329,d200696173e9570fc9c9dd7ba8fda4433e964fd4,PassedToFailed,failed,310,https://github.com/jupyter/nbviewer/pull/968
739908431,ef318be84aa21298cbd8cb4bcf7f27d365826b64,FailedToPassed,failed,317,https://github.com/jupyter/nbviewer/compare/301b2dafced6...cf693bda747f
737946377,cf693bda747f1f98e31a6005c874fbe2ee7fb4cc,FailedToPassed,passed,310,https://github.com/jupyter/nbviewer/compare/301b2dafced6...cf693bda747f
737946377,cf693bda747f1f98e31a6005c874fbe2ee7fb4cc,PassedToErrored,passed,310,https://github.com/jupyter/nbviewer/compare/5ddcfbc37e10...301b2dafced6
737945922,301b2dafced65cf89f5d85be1946677b9b9b928d,PassedToErrored,errored,880,https://github.com/jupyter/nbviewer/compare/5ddcfbc37e10...301b2dafced6
681052099,e6966e159a92fbbc1a1270b921a0174c83415d7f,FailedToPassed,failed,321,https://github.com/jupyter/nbviewer/compare/c0df02fb9dc1...3384083d52b4
675512930,3384083d52b46249bedbb77d6338a48cbaf79ab0,FailedToPassed,passed,329,https://github.com/jupyter/nbviewer/compare/c0df02fb9dc1...3384083d52b4
675512930,3384083d52b46249bedbb77d6338a48cbaf79ab0,PassedToErrored,passed,329,https://github.com/jupyter/nbviewer/pull/919
675512913,228725f2ae986b0efd26aca9224f9ed8b5d8cb61,PassedToErrored,errored,99,https://github.com/jupyter/nbviewer/pull/919
675512913,228725f2ae986b0efd26aca9224f9ed8b5d8cb61,ErroredToPassed,errored,99,https://github.com/jupyter/nbviewer/compare/f8e11458aae3...c0df02fb9dc1
666564541,c0df02fb9dc14bf51f093eab34a7eca6943d677f,ErroredToPassed,passed,248,https://github.com/jupyter/nbviewer/compare/f8e11458aae3...c0df02fb9dc1
666564541,c0df02fb9dc14bf51f093eab34a7eca6943d677f,PassedToErrored,passed,248,https://github.com/jupyter/nbviewer/pull/913
666564506,28da63f7ff5af54afa20110c18b113cb1d0d305f,PassedToErrored,errored,78,https://github.com/jupyter/nbviewer/pull/913
666564506,28da63f7ff5af54afa20110c18b113cb1d0d305f,ErroredToPassed,errored,78,https://github.com/jupyter/nbviewer/pull/911
661436481,f7075ba85407ba36e56bd280a3d7bceafa9d6f6c,ErroredToPassed,passed,232,https://github.com/jupyter/nbviewer/pull/911
659237858,e83752b49e1663d3feb1c157d31fb51451f11c0a,PassedToErrored,passed,234,https://github.com/jupyter/nbviewer/pull/910
659237745,33211ce61bea5415292a2a1bd1817d97bb36e04b,PassedToErrored,errored,79,https://github.com/jupyter/nbviewer/pull/910
659237745,33211ce61bea5415292a2a1bd1817d97bb36e04b,ErroredToPassed,errored,79,https://github.com/jupyter/nbviewer/compare/c896b1417ef5...c23e6be38b63
658859699,c23e6be38b631b267c56168690ccafa4f188a5a7,ErroredToPassed,passed,217,https://github.com/jupyter/nbviewer/compare/c896b1417ef5...c23e6be38b63
658857018,c896b1417ef5997d08a6037e54e87cacc27666bf,PassedToFailed,passed,227,https://github.com/jupyter/nbviewer/pull/905
658855607,367eb636635fe4a226cf18b1e322083af37bd2c7,PassedToFailed,failed,258,https://github.com/jupyter/nbviewer/pull/905
658855607,367eb636635fe4a226cf18b1e322083af37bd2c7,FailedToPassed,failed,258,https://github.com/jupyter/nbviewer/compare/8b5e5b399bc5...0f92dc5771f1
658855185,0f92dc5771f1fe7ab1f3e558d3573f7193533435,FailedToPassed,passed,227,https://github.com/jupyter/nbviewer/compare/8b5e5b399bc5...0f92dc5771f1
658855185,0f92dc5771f1fe7ab1f3e558d3573f7193533435,PassedToFailed,passed,227,https://github.com/jupyter/nbviewer/pull/908
658852490,d23a2866c1b193a37c5ac828f3de49a38f17b4bd,PassedToFailed,failed,215,https://github.com/jupyter/nbviewer/pull/908
658850650,b539f8b050aff5b7759071b9e8d8607de75a3f63,FailedToPassed,failed,220,https://github.com/jupyter/nbviewer/compare/1e2af52ee2a3...8b5e5b399bc5
658842002,8b5e5b399bc56a54b043e56f2eb20dc1735bc748,FailedToPassed,passed,286,https://github.com/jupyter/nbviewer/compare/1e2af52ee2a3...8b5e5b399bc5
658842002,8b5e5b399bc56a54b043e56f2eb20dc1735bc748,PassedToFailed,passed,286,https://github.com/jupyter/nbviewer/pull/908
658735825,3b3a3c068fd05bb88889b6825abf0a567600b987,PassedToFailed,failed,224,https://github.com/jupyter/nbviewer/pull/908
658730049,15afa456d4ab4b055d33391574def8d9b0e94bce,FailedToPassed,failed,221,https://github.com/jupyter/nbviewer/compare/b2946f3df383...1e2af52ee2a3
658708457,1e2af52ee2a3b8a47c15046b8e6d492aabacc79c,FailedToPassed,passed,249,https://github.com/jupyter/nbviewer/compare/b2946f3df383...1e2af52ee2a3
658708457,1e2af52ee2a3b8a47c15046b8e6d492aabacc79c,PassedToFailed,passed,249,https://github.com/jupyter/nbviewer/pull/905
658707956,3dbb8cd75562f2d4492b968639f271033885cc92,PassedToFailed,failed,241,https://github.com/jupyter/nbviewer/pull/905
658695016,70fb0e61f9c26f4c7fb5514cd9ae41c7f3c4ff2a,FailedToPassed,failed,251,https://github.com/jupyter/nbviewer/pull/905
658122083,d387bb468b8cb103669fb6a135059b8dd38c57b6,FailedToPassed,passed,250,https://github.com/jupyter/nbviewer/pull/905
655627072,54c880b961544bcc42a525ea59b43590a451f46f,PassedToFailed,passed,244,https://github.com/jupyter/nbviewer/pull/891
