BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
198126120,4f595c4499f77e662404087fec03d05b25908fa7,PassedToFailed,passed,1566,https://github.com/jupyterhub/binderhub/pull/1202
198125355,ce4e64b2944c29967126ca4a1f9080b2b7587d77,PassedToFailed,failed,1201,https://github.com/jupyterhub/binderhub/pull/1202
198125355,ce4e64b2944c29967126ca4a1f9080b2b7587d77,FailedToPassed,failed,1201,https://github.com/jupyterhub/binderhub/pull/1203
198125279,ccd6e8e511514d2ab6c45bb691312174fcf90f64,FailedToPassed,passed,1770,https://github.com/jupyterhub/binderhub/pull/1203
198125111,df045795770eae002f2e1c14109f0bf1f8148824,PassedToFailed,passed,1779,https://github.com/jupyterhub/binderhub/compare/e00bc5c5173b...bf2437da3cd0
198122590,bf2437da3cd046beecc0375c1614e8f0e6090876,PassedToFailed,failed,1770,https://github.com/jupyterhub/binderhub/compare/e00bc5c5173b...bf2437da3cd0
198122590,bf2437da3cd046beecc0375c1614e8f0e6090876,FailedToPassed,failed,1770,https://github.com/jupyterhub/binderhub/pull/1202
198120628,0db8e09bfb3ebe3a1a6f7fcb81a7261b751443a3,FailedToPassed,passed,1601,https://github.com/jupyterhub/binderhub/pull/1202
198115584,52342c2600f9c979b658baddbd902da05f9d8a33,FailedToPassed,failed,1720,https://github.com/jupyterhub/binderhub/pull/1184
198074217,e968d2ae9b1bc18a36752ecec729bfc5af3c7909,FailedToPassed,passed,1667,https://github.com/jupyterhub/binderhub/pull/1184
198074217,e968d2ae9b1bc18a36752ecec729bfc5af3c7909,PassedToFailed,passed,1667,https://github.com/jupyterhub/binderhub/pull/1179
197832679,d27fb7ec0c853fc8c1f87e2284fb3906ba778076,PassedToFailed,failed,1753,https://github.com/jupyterhub/binderhub/pull/1179
198040949,ad2a2a464bc15f4163523f6c96bfd914672d817e,FailedToPassed,failed,1691,https://github.com/jupyterhub/binderhub/compare/71896a68432d...e00bc5c5173b
198073510,e00bc5c5173b8598ffd7d8c02a0967a108387cd3,FailedToPassed,passed,1881,https://github.com/jupyterhub/binderhub/compare/71896a68432d...e00bc5c5173b
198073510,e00bc5c5173b8598ffd7d8c02a0967a108387cd3,PassedToErrored,passed,1881,https://github.com/jupyterhub/binderhub/pull/1201
198073433,9344af534de6f1d6e0d42eb6d0da8661c1f50cad,PassedToErrored,errored,84,https://github.com/jupyterhub/binderhub/pull/1201
197674039,264289a94ab9de62d40e8e04ead5e4bfb7c98467,FailedToPassed,failed,28,https://github.com/jupyterhub/binderhub/pull/1184
197225845,9eb6c58fb3f9b0441ed197ce52bf9268b79ca8ca,FailedToPassed,passed,1925,https://github.com/jupyterhub/binderhub/pull/1184
197053135,92c3592b2605c6951bc03eabbb764b163556b859,PassedToFailed,passed,1818,https://github.com/jupyterhub/binderhub/pull/1188
197050075,fda8e138e580aac1a20dc20cf9a80f43372f63f4,PassedToFailed,failed,1783,https://github.com/jupyterhub/binderhub/pull/1188
197031186,eccd48958ba516c0df40c3da45c76d0131dbd1d9,FailedToPassed,failed,1153,https://github.com/jupyterhub/binderhub/pull/1188
197021154,979562befad09f6647ef7fa2ce5225974bc2922d,FailedToPassed,passed,1797,https://github.com/jupyterhub/binderhub/pull/1188
197020984,3032742856e0929b17b5ac18c0307231900d50dd,PassedToFailed,passed,1789,https://github.com/jupyterhub/binderhub/pull/1188
197020474,d3cdc764a8dff5fa99fb0ea84905dabd66ce73e8,PassedToFailed,failed,1749,https://github.com/jupyterhub/binderhub/pull/1188
197014412,09ce12f20bd8b53e1a89dcd26e77b7c7094af6e4,FailedToPassed,failed,1659,https://github.com/jupyterhub/binderhub/pull/1188
197013386,f6fb41bb3f5a9b34bbec317c115d5d98ea796929,FailedToPassed,passed,1769,https://github.com/jupyterhub/binderhub/pull/1188
