BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
196643490,b0bceeef83c222cfe8b3f8fa7abf59921839187f,PassedToFailed,passed,2234,https://github.com/jupyterhub/jupyterhub/pull/3237
196635901,ec5f105c3b37477472c5395a77ba9fcfad9c3ae4,PassedToFailed,failed,2169,https://github.com/jupyterhub/jupyterhub/pull/3237
196635901,ec5f105c3b37477472c5395a77ba9fcfad9c3ae4,FailedToPassed,failed,2169,https://github.com/jupyterhub/jupyterhub/pull/3212
196406051,e8d9b529cb5c9032c2c811489e5084004b3a2881,FailedToPassed,passed,2199,https://github.com/jupyterhub/jupyterhub/pull/3212
196381788,9068ff22393e561ad819e1476c9a7891e5173417,PassedToErrored,passed,2153,https://github.com/jupyterhub/jupyterhub/pull/3235
196381401,126713b2d521dcbad6fd4337ff6cec2d393b63e8,PassedToErrored,errored,242,https://github.com/jupyterhub/jupyterhub/pull/3235
196368723,492551c853d85e295739e30c4145096c8c20cbab,ErroredToPassed,errored,1942,https://github.com/jupyterhub/jupyterhub/pull/3234
196347574,3c3b026d3182d006721c1fe04de9bffb20c813a1,ErroredToPassed,passed,2201,https://github.com/jupyterhub/jupyterhub/pull/3234
196347574,3c3b026d3182d006721c1fe04de9bffb20c813a1,PassedToFailed,passed,2201,https://github.com/jupyterhub/jupyterhub/pull/3234
196344959,649d503096256d98377061ae8171cf3c62876b62,PassedToFailed,failed,2215,https://github.com/jupyterhub/jupyterhub/pull/3234
195629726,03ccc15fffd304691e471de9abaf4e0c53a21462,ErroredToPassed,errored,237,https://github.com/jupyterhub/jupyterhub/pull/3233
195588378,91e3e45b2f277ba6cf6370a760d13fc02e357be1,ErroredToPassed,passed,2121,https://github.com/jupyterhub/jupyterhub/pull/3233
195149991,6e8517f7953fc0290c5676a464c984e4a05b5c7d,PassedToErrored,passed,2345,https://github.com/jupyterhub/jupyterhub/pull/3232
195149903,017a6c12def8411807986fd770f73f40778ef478,PassedToErrored,errored,235,https://github.com/jupyterhub/jupyterhub/pull/3232
194816817,10614ca75bc83d3f8bbfb13c4140d304868cbc0e,FailedToPassed,failed,1070,https://github.com/jupyterhub/jupyterhub/pull/3229
194728349,e711ec3f4874212401a191fca34cf73c5193b4dd,FailedToPassed,passed,2302,https://github.com/jupyterhub/jupyterhub/pull/3229
194728349,e711ec3f4874212401a191fca34cf73c5193b4dd,PassedToFailed,passed,2302,https://github.com/jupyterhub/jupyterhub/pull/3215
194541466,9c82a85e6861b7e9def24f08da1e50877727ad86,PassedToFailed,failed,2292,https://github.com/jupyterhub/jupyterhub/pull/3215
194541465,352526c36afa48e2f53319d1ef0610e4f8dac34c,FailedToPassed,failed,2202,https://github.com/jupyterhub/jupyterhub/pull/3223
194541462,c89885796ccb7c8556e5b28d875ed59b571256f3,FailedToPassed,passed,2239,https://github.com/jupyterhub/jupyterhub/pull/3223
194541462,c89885796ccb7c8556e5b28d875ed59b571256f3,PassedToErrored,passed,2239,https://github.com/jupyterhub/jupyterhub/pull/3226
194541464,912b0114d3d285307a92d7c4293b274867c8f127,PassedToErrored,errored,939,https://github.com/jupyterhub/jupyterhub/pull/3226
194541464,912b0114d3d285307a92d7c4293b274867c8f127,ErroredToPassed,errored,939,https://github.com/jupyterhub/jupyterhub/pull/3225
194541463,948464429fd13be71746083b9b4507a00b2da2e1,ErroredToPassed,passed,2273,https://github.com/jupyterhub/jupyterhub/pull/3225
194541463,948464429fd13be71746083b9b4507a00b2da2e1,PassedToFailed,passed,2273,https://github.com/jupyterhub/jupyterhub/compare/082f6516a15d...41ef0da18016
194541459,41ef0da18016f027ffa31d38c4e538c61df890cb,PassedToFailed,failed,2327,https://github.com/jupyterhub/jupyterhub/compare/082f6516a15d...41ef0da18016
194541456,2114ba7b610257e71b2bcc7784e2c0a55d946dbd,PassedToFailed,passed,2253,https://github.com/jupyterhub/jupyterhub/pull/3223
