BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
230612432,46534ce098f68fdf070c2fae52c92dd4f37a9828,PassedToErrored,passed,215,https://github.com/justinshenk/fer/pull/25
230612404,cf4a8274793b7ca1a64c87a47e7aa16a52d44514,PassedToErrored,errored,49,https://github.com/justinshenk/fer/pull/25
230612404,cf4a8274793b7ca1a64c87a47e7aa16a52d44514,ErroredToPassed,errored,49,https://github.com/justinshenk/fer/compare/84b74e56bbaf...4ef7087050dd
199602219,4ef7087050ddde00cf0fd8024ce08a8279ddd169,ErroredToPassed,passed,214,https://github.com/justinshenk/fer/compare/84b74e56bbaf...4ef7087050dd
199602219,4ef7087050ddde00cf0fd8024ce08a8279ddd169,PassedToErrored,passed,214,https://github.com/justinshenk/fer/compare/20.1.1
199602222,4ef7087050ddde00cf0fd8024ce08a8279ddd169,PassedToErrored,errored,228,https://github.com/justinshenk/fer/compare/20.1.1
199601491,84b74e56bbaf58be12ccdebac3928c52ced786cd,ErroredToPassed,errored,42,https://github.com/justinshenk/fer/compare/53e4625de058...84b74e56bbaf
199601493,84b74e56bbaf58be12ccdebac3928c52ced786cd,ErroredToPassed,passed,223,https://github.com/justinshenk/fer/compare/53e4625de058...84b74e56bbaf
199600736,53e4625de058f1d5cf8326142cedc4f7b2d90839,PassedToErrored,passed,206,https://github.com/justinshenk/fer/compare/61c62dfe7e5c^...c1f336fbc46f
199600668,c1f336fbc46f0fb97c933f7d461d4e231c9c2428,PassedToErrored,errored,224,https://github.com/justinshenk/fer/compare/61c62dfe7e5c^...c1f336fbc46f
199600668,c1f336fbc46f0fb97c933f7d461d4e231c9c2428,ErroredToPassed,errored,224,https://github.com/justinshenk/fer/compare/f687958277ba...d1f6bc70f3f9
192546364,d1f6bc70f3f9518ba66402994d3dada5ac0612e3,ErroredToPassed,passed,181,https://github.com/justinshenk/fer/compare/f687958277ba...d1f6bc70f3f9
119614175,1b1bb7034a781c85bb4bcccdaeabc00d01449120,PassedToErrored,passed,177,https://github.com/justinshenk/fer/compare/v19.0.5.dev1
119613002,1f0291986f6d683a42198901b433ba064b3d6a46,PassedToErrored,errored,164,https://github.com/justinshenk/fer/compare/v19.0.5.dev1
119613002,1f0291986f6d683a42198901b433ba064b3d6a46,ErroredToPassed,errored,164,https://github.com/justinshenk/fer/compare/2e9fbde3bbae...1f0291986f6d
119613000,1f0291986f6d683a42198901b433ba064b3d6a46,ErroredToPassed,passed,158,https://github.com/justinshenk/fer/compare/2e9fbde3bbae...1f0291986f6d
119610646,b8733578665f670c6deb7afb42b290c52d7cf774,PassedToErrored,passed,159,https://github.com/justinshenk/fer/compare/v19.0.5.dev0
119610645,b8733578665f670c6deb7afb42b290c52d7cf774,PassedToErrored,errored,176,https://github.com/justinshenk/fer/compare/v19.0.5.dev0
119610645,b8733578665f670c6deb7afb42b290c52d7cf774,ErroredToPassed,errored,176,https://github.com/justinshenk/fer/compare/f1322de80cd4...1d8d673efa7a
119541005,1d8d673efa7a5e3e3cb726863c56129c4769f82e,ErroredToPassed,passed,162,https://github.com/justinshenk/fer/compare/f1322de80cd4...1d8d673efa7a
117272932,69bc77b322daa0a1241a2e1155e83bc2acf00286,PassedToErrored,passed,158,https://github.com/justinshenk/fer/compare/v19.0.1.post1
117272940,4b892770c48b6ccf3efc952d145df833f76989ed,PassedToErrored,errored,163,https://github.com/justinshenk/fer/compare/v19.0.1.post1
117272940,4b892770c48b6ccf3efc952d145df833f76989ed,ErroredToPassed,errored,163,https://github.com/justinshenk/fer/compare/v19.0.1.post2
117272938,69bc77b322daa0a1241a2e1155e83bc2acf00286,ErroredToPassed,passed,173,https://github.com/justinshenk/fer/compare/v19.0.1.post2
111460357,0d7463f1e4730a817e95ea3c8814bce172f773a5,PassedToErrored,passed,149,https://github.com/justinshenk/fer/compare/v0.1.3
111460356,0d7463f1e4730a817e95ea3c8814bce172f773a5,PassedToErrored,errored,199,https://github.com/justinshenk/fer/compare/v0.1.3
111460356,0d7463f1e4730a817e95ea3c8814bce172f773a5,ErroredToPassed,errored,199,https://github.com/justinshenk/fer/compare/d61bde78edc5...aa6fe6865f11
111460064,aa6fe6865f114877d7c9a51c238952dae54a22ed,ErroredToPassed,passed,146,https://github.com/justinshenk/fer/compare/d61bde78edc5...aa6fe6865f11
111460064,aa6fe6865f114877d7c9a51c238952dae54a22ed,PassedToFailed,passed,146,https://github.com/justinshenk/fer/compare/40c5a9536eef...d61bde78edc5
111459687,d61bde78edc515076bb832365de04f92dba2a0be,PassedToFailed,failed,112,https://github.com/justinshenk/fer/compare/40c5a9536eef...d61bde78edc5
111450562,7afc354d68d8bf3af3160a8adf828c35d3c6cc97,FailedToPassed,failed,123,https://github.com/justinshenk/fer/compare/82823cff429c...39a9de85bb8c
111355040,39a9de85bb8cdf42204640763f33ebd69bc927ce,FailedToPassed,passed,119,https://github.com/justinshenk/fer/compare/82823cff429c...39a9de85bb8c
111354837,82823cff429c5af109274e06defd3f8370c70a85,PassedToFailed,passed,120,https://github.com/justinshenk/fer/compare/d2a11fe94231...da90ca97a8f2
111353226,da90ca97a8f2676c2a1d666b504f312bcc74ac3d,PassedToFailed,failed,110,https://github.com/justinshenk/fer/compare/d2a11fe94231...da90ca97a8f2
111353204,61afcaa5d26a2861a7d3e91b2893cfc5a68b331d,ErroredToPassed,errored,82,https://github.com/justinshenk/fer/compare/20671314aee9...d2a11fe94231
111213604,d2a11fe9423168f88f3fa3b68da46da5b381f36a,ErroredToPassed,passed,102,https://github.com/justinshenk/fer/compare/20671314aee9...d2a11fe94231
91636167,471e62935bf796c03783cdbc996438b0eb044e07,PassedToErrored,passed,121,https://github.com/justinshenk/fer/compare/0.0.8
91537400,a25ef9708025b359ba0abded30803252ca0d8840,PassedToErrored,errored,147,https://github.com/justinshenk/fer/compare/0.0.8
91537400,a25ef9708025b359ba0abded30803252ca0d8840,ErroredToPassed,errored,147,https://github.com/justinshenk/fer/compare/3a8c2ab6ae48...a25ef9708025
