BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
223676772,dad74f9ab824191f3a4bb3ff94c078bc54441312,PassedToFailed,passed,677,https://github.com/kororo/excelcy/commit/74f16aa685e0
221241751,74f16aa685e009bdfe6f0b2b262c8b3d986337ee,PassedToFailed,failed,587,https://github.com/kororo/excelcy/commit/74f16aa685e0
221241751,74f16aa685e009bdfe6f0b2b262c8b3d986337ee,FailedToPassed,failed,587,https://github.com/kororo/excelcy/compare/49ca3bf4eb5c...25263d16db0c
181310761,25263d16db0cda24fe66ab3d52ff08a770117dc1,FailedToPassed,passed,607,https://github.com/kororo/excelcy/compare/49ca3bf4eb5c...25263d16db0c
180986682,b98b6a66e38efd9ddf3a5aa7de0892bdf9734b32,PassedToFailed,passed,602,https://github.com/kororo/excelcy/compare/c77e487e33da...c6a1251595a0
180986548,c6a1251595a0df256ff61e554b071fc12ecf7f80,PassedToFailed,failed,612,https://github.com/kororo/excelcy/compare/c77e487e33da...c6a1251595a0
180986344,36502dad9f639283c4b91a61fb5e275dc179836d,ErroredToPassed,errored,336,https://github.com/kororo/excelcy/compare/bf03d53a9ee554b5df84d495dc7879828bedc6aa...069b5b00fd440abec0f52038de22154dc0d45330
81595826,069b5b00fd440abec0f52038de22154dc0d45330,ErroredToPassed,passed,1602,https://github.com/kororo/excelcy/compare/bf03d53a9ee554b5df84d495dc7879828bedc6aa...069b5b00fd440abec0f52038de22154dc0d45330
79678065,6cb2cff89f59db93a75295601c13d64433a15a60,PassedToFailed,passed,1057,https://github.com/kororo/excelcy/compare/3464dc7520c2ee484b7ddf8ce0912379f625653a...8ff1c98bf3e7554e5ae537689e28c26e34c4147c
79677032,8ff1c98bf3e7554e5ae537689e28c26e34c4147c,PassedToFailed,failed,1107,https://github.com/kororo/excelcy/compare/3464dc7520c2ee484b7ddf8ce0912379f625653a...8ff1c98bf3e7554e5ae537689e28c26e34c4147c
79674707,c6d6a16743d8f5df4462a1ae976675d1f708370f,ErroredToPassed,errored,67,https://github.com/kororo/excelcy/compare/9efb8a0e776c34cc7f9073bdf95428262bffadb2...42e6d80c4e5a88ad2d90fd43553b0f49f717c848
79446021,42e6d80c4e5a88ad2d90fd43553b0f49f717c848,ErroredToPassed,passed,420,https://github.com/kororo/excelcy/compare/9efb8a0e776c34cc7f9073bdf95428262bffadb2...42e6d80c4e5a88ad2d90fd43553b0f49f717c848
79436983,f1e9c883f0841b4baeb1c9d4d7f84390b37d8e61,PassedToFailed,passed,378,https://github.com/kororo/excelcy/compare/4a1af50809b8...047342681621
79417055,047342681621f875b271489cedcc0dd7dead40f8,PassedToFailed,failed,664,https://github.com/kororo/excelcy/compare/4a1af50809b8...047342681621
79417055,047342681621f875b271489cedcc0dd7dead40f8,FailedToPassed,failed,664,https://github.com/kororo/excelcy/compare/047342681621...cbabb789941c
79417156,cbabb789941ca2fab379822a03cbcfe153c61612,FailedToPassed,passed,391,https://github.com/kororo/excelcy/compare/047342681621...cbabb789941c
79417156,cbabb789941ca2fab379822a03cbcfe153c61612,PassedToFailed,passed,391,https://github.com/kororo/excelcy/compare/dc81fcbcf316...4a1af50809b8
79414177,4a1af50809b81d4060188817a352e162c7d237bf,PassedToFailed,failed,379,https://github.com/kororo/excelcy/compare/dc81fcbcf316...4a1af50809b8
