BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
758446393,b7b41813fc42403e77df3c2d58e1b68889f4e405,PassedToFailed,passed,2026,https://github.com/kymatio/kymatio/pull/659
758445666,832ccf5f89cbc9b05b73da07fc4d339427750279,PassedToFailed,failed,1905,https://github.com/kymatio/kymatio/pull/659
758445337,25604851236624d619a38086a9101a45c9d93311,FailedToPassed,failed,1915,https://github.com/kymatio/kymatio/pull/658
758439294,5f9caedc397dd44e560d3293d5c6ceaa9b046bf9,FailedToPassed,passed,2032,https://github.com/kymatio/kymatio/pull/658
758438876,47c582d4b859d8c851618f55967e6b2fb0827ad1,PassedToErrored,passed,1989,https://github.com/kymatio/kymatio/pull/657
758432537,888463171938eb93aef333eeaf213165a6527576,PassedToErrored,errored,147,https://github.com/kymatio/kymatio/pull/657
758432537,888463171938eb93aef333eeaf213165a6527576,ErroredToPassed,errored,147,https://github.com/kymatio/kymatio/pull/640
758429938,116d540ac6ba48886df1ebe95aa5c92c8b5d4721,ErroredToPassed,passed,2022,https://github.com/kymatio/kymatio/pull/640
758390535,3f8e875d8fa08a3a8c2ec0c29e8b2703cea615a6,PassedToErrored,passed,2055,https://github.com/kymatio/kymatio/pull/652
758386053,6aaad26d38b624bf4063697b4b3112c1be080fd1,PassedToErrored,errored,1338,https://github.com/kymatio/kymatio/pull/652
758386053,6aaad26d38b624bf4063697b4b3112c1be080fd1,ErroredToPassed,errored,1338,https://github.com/kymatio/kymatio/pull/651
758377063,ed54a00032917ad4cb0b857955f3998259e35586,ErroredToPassed,passed,2087,https://github.com/kymatio/kymatio/pull/651
758373901,b7871072fd3360282f0f3c264b6737d40eaca02a,PassedToErrored,passed,2045,https://github.com/kymatio/kymatio/pull/652
758372553,d71b35a43ca0a443b9aeb0655d1fee85fe850a57,PassedToErrored,errored,1304,https://github.com/kymatio/kymatio/pull/652
758371854,63e889223c40cadb3bf02e822e7c74b39aba5fc7,FailedToPassed,failed,2033,https://github.com/kymatio/kymatio/pull/651
758369631,70b0af5fa6c91029614383a4eaff3d4546b3b285,FailedToPassed,passed,2020,https://github.com/kymatio/kymatio/pull/651
758346230,21f4f8b0058212092b13c814064ec170373368e6,PassedToErrored,passed,2029,https://github.com/kymatio/kymatio/pull/648
758345233,9b1b0519c4087500faa74c9d2fe6cb220ac75605,PassedToErrored,errored,1487,https://github.com/kymatio/kymatio/pull/648
758345233,9b1b0519c4087500faa74c9d2fe6cb220ac75605,ErroredToPassed,errored,1487,https://github.com/kymatio/kymatio/pull/631
758161821,08b5b5f28f69e500d20432fbf501b4e328c6df32,ErroredToPassed,passed,2056,https://github.com/kymatio/kymatio/pull/631
758161821,08b5b5f28f69e500d20432fbf501b4e328c6df32,PassedToErrored,passed,2056,https://github.com/kymatio/kymatio/pull/631
757775394,d0d594c4c54d1d4b7b0d563ccb032a45c09aa19e,PassedToErrored,errored,1159,https://github.com/kymatio/kymatio/pull/631
757775394,d0d594c4c54d1d4b7b0d563ccb032a45c09aa19e,ErroredToPassed,errored,1159,https://github.com/kymatio/kymatio/compare/844cd5614bd9...ee7ed0f8a24a
757768610,ee7ed0f8a24ab4ed0e284121cebedb641b844ff1,ErroredToPassed,passed,2046,https://github.com/kymatio/kymatio/compare/844cd5614bd9...ee7ed0f8a24a
757768610,ee7ed0f8a24ab4ed0e284121cebedb641b844ff1,PassedToErrored,passed,2046,https://github.com/kymatio/kymatio/pull/627
757766318,74e6547c0977643f6448eb5f8bc89bd7c378f33b,PassedToErrored,errored,1558,https://github.com/kymatio/kymatio/pull/627
754424556,fe033f4cfa9ce1a7e19be30cea964ab5314fddb0,FailedToPassed,failed,1993,https://github.com/kymatio/kymatio/pull/640
754423816,a0af57c2ff5292c3d252de25c35292b8d1f3df5d,FailedToPassed,passed,2000,https://github.com/kymatio/kymatio/pull/640
754264706,ca070e6191d0f4009baba7142153b3d66c423efd,PassedToFailed,passed,1983,https://github.com/kymatio/kymatio/pull/641
754264228,252252d8f74a01ab95e5eaefd0c5d599c0d68895,PassedToFailed,failed,2036,https://github.com/kymatio/kymatio/pull/641
