BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
682373261,f05634463348a2cfbee4dede4fbdf17660a3e74b,PassedToFailed,passed,1468,https://github.com/laactech/foxcross/compare/18dd8de20f25...4d708c921495
682342716,4d708c92149528ed13d2c296139163fd737fd227,PassedToFailed,failed,1257,https://github.com/laactech/foxcross/compare/18dd8de20f25...4d708c921495
682335068,c3cd03b01c10c2dcc0c1867ea2a4a7681ab9bf3d,FailedToPassed,failed,1124,https://github.com/laactech/foxcross/compare/2f09c92f8f35...f286f8f9fd16
624366419,f286f8f9fd162b017f987e3f4149e84f1d108fcd,FailedToPassed,passed,1067,https://github.com/laactech/foxcross/compare/2f09c92f8f35...f286f8f9fd16
559169548,a3b2c482bfd62a87c4bd60d69be3b3c27d7af4b2,PassedToErrored,passed,865,https://github.com/laactech/foxcross/compare/d404cfc0052f...4648b26e85e5
559161517,4648b26e85e5782fa43f375241ea702a66b97524,PassedToErrored,errored,920,https://github.com/laactech/foxcross/compare/d404cfc0052f...4648b26e85e5
559161517,4648b26e85e5782fa43f375241ea702a66b97524,ErroredToPassed,errored,920,https://github.com/laactech/foxcross/pull/8
559110189,246414e664c09a77ec1f2b6229278d4235e7e043,ErroredToPassed,passed,872,https://github.com/laactech/foxcross/pull/8
557963198,781527929277f0ea457ec34b94a0d1b3dd264aaa,PassedToFailed,passed,864,https://github.com/laactech/foxcross/compare/47d09783824b...c4b61e3fbf83
555818188,c4b61e3fbf830e820ee840e7a2ce7c638cc8c9de,PassedToFailed,failed,752,https://github.com/laactech/foxcross/compare/47d09783824b...c4b61e3fbf83
555818188,c4b61e3fbf830e820ee840e7a2ce7c638cc8c9de,FailedToPassed,failed,752,https://github.com/laactech/foxcross/compare/2848a4e02801...47d09783824b
555815784,47d09783824b194da409e73806c629be67ae3239,FailedToPassed,passed,761,https://github.com/laactech/foxcross/compare/2848a4e02801...47d09783824b
553006068,95bac33414b0762843a01cd124043e07305ff204,PassedToErrored,passed,876,https://github.com/laactech/foxcross/compare/0afb35f19ca0...d404cfc0052f
553004151,d404cfc0052f49886620600cfe37d829e66ea51e,PassedToErrored,errored,91,https://github.com/laactech/foxcross/compare/0afb35f19ca0...d404cfc0052f
553004151,d404cfc0052f49886620600cfe37d829e66ea51e,ErroredToPassed,errored,91,https://github.com/laactech/foxcross/compare/c566badc7d11...ba8d6f4267f4
552996451,ba8d6f4267f4a14f2f63f5e21eb284973fa5dfa8,ErroredToPassed,passed,889,https://github.com/laactech/foxcross/compare/c566badc7d11...ba8d6f4267f4
552989067,2c165d2b697205993b16898fa863a4ec38a8ccde,PassedToErrored,passed,888,https://github.com/laactech/foxcross/compare/d3dc309f94f0...0afb35f19ca0
552980651,0afb35f19ca085bee47c82a29fd2a7d081de06c8,PassedToErrored,errored,91,https://github.com/laactech/foxcross/compare/d3dc309f94f0...0afb35f19ca0
552980651,0afb35f19ca085bee47c82a29fd2a7d081de06c8,ErroredToPassed,errored,91,https://github.com/laactech/foxcross/compare/414981572ebe...ea7d31f1df5a
552971817,ea7d31f1df5ab344a71a7a89ffcb3a27b9ebadee,ErroredToPassed,passed,750,https://github.com/laactech/foxcross/compare/414981572ebe...ea7d31f1df5a
552966212,414981572ebe14f8583c73e572fa74f3e996157d,PassedToFailed,passed,887,https://github.com/laactech/foxcross/compare/f532bf263419...e45bd8c8c6d2
552942370,e45bd8c8c6d24b84570958d3563f929b2e18ab36,PassedToFailed,failed,769,https://github.com/laactech/foxcross/compare/f532bf263419...e45bd8c8c6d2
544949731,0c18a785a98b0e060dfa70e904493abd963403bc,PassedToErrored,passed,915,https://github.com/laactech/foxcross/compare/f28d10a6b25fa869283904cd9aa0d7f80df4ec05...5ad025549c266a92db9a74b238b43fc467d67b9d
544344196,5ad025549c266a92db9a74b238b43fc467d67b9d,PassedToErrored,errored,1634,https://github.com/laactech/foxcross/compare/f28d10a6b25fa869283904cd9aa0d7f80df4ec05...5ad025549c266a92db9a74b238b43fc467d67b9d
544344196,5ad025549c266a92db9a74b238b43fc467d67b9d,ErroredToPassed,errored,1634,https://github.com/laactech/foxcross/compare/f28d10a6b25fa869283904cd9aa0d7f80df4ec05...5ad025549c266a92db9a74b238b43fc467d67b9d
