BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
230739366,ae5255be571c4a90bd93611a07612b4565c7984d,PassedToFailed,passed,3963,https://github.com/lmcinnes/umap/compare/107df2004757...1c8e059b02bc
230739759,1c8e059b02bce30976c8909050ba759ff8825220,PassedToFailed,failed,3896,https://github.com/lmcinnes/umap/compare/107df2004757...1c8e059b02bc
230739522,da3989f4917bcb5b235b4e2c02be65b7b7b2511b,FailedToPassed,failed,3891,https://github.com/lmcinnes/umap/compare/317ce81dc64a...3204719778ff
230739711,3204719778ff69d82e1e24bee09cbb73b90dc360,FailedToPassed,passed,3867,https://github.com/lmcinnes/umap/compare/317ce81dc64a...3204719778ff
230739698,a4cf75cfd79b471e1224833f157078378190fc8a,PassedToFailed,passed,3958,https://github.com/lmcinnes/umap/pull/639
230739721,9e85712591f30f203c883cb84e73c7e915282478,PassedToFailed,failed,3906,https://github.com/lmcinnes/umap/pull/639
230739721,9e85712591f30f203c883cb84e73c7e915282478,FailedToPassed,failed,3906,https://github.com/lmcinnes/umap/pull/639
230739577,ace444c28a73399145ff418a7929d80d50ef7ca7,FailedToPassed,passed,3819,https://github.com/lmcinnes/umap/pull/639
230739352,5111fa09496447dd28d9dccc899eef6bb54d733d,PassedToFailed,passed,3977,https://github.com/lmcinnes/umap/pull/620
230739797,3e6e8d61dabd5b333d78786e28d7f788def86e67,PassedToFailed,failed,3508,https://github.com/lmcinnes/umap/pull/620
230739797,3e6e8d61dabd5b333d78786e28d7f788def86e67,FailedToPassed,failed,3508,https://github.com/lmcinnes/umap/compare/b1223505ca56...246c4d010ee3
230739529,246c4d010ee3526fa5a43926947c6ae0f64929ab,FailedToPassed,passed,3990,https://github.com/lmcinnes/umap/compare/b1223505ca56...246c4d010ee3
230739588,f6b3732a2a5fbc3e472c34c10e8cb2afbf35241a,PassedToErrored,passed,3987,https://github.com/lmcinnes/umap/pull/616
230739658,a42a8b6b37407c5ff38eebe3653ce750d4a00994,PassedToErrored,errored,96,https://github.com/lmcinnes/umap/pull/616
230739658,a42a8b6b37407c5ff38eebe3653ce750d4a00994,ErroredToPassed,errored,96,https://github.com/lmcinnes/umap/compare/a3900acd7ee2...b1223505ca56
230739482,b1223505ca56ae104feb35e4196227277d1e8058,ErroredToPassed,passed,4011,https://github.com/lmcinnes/umap/compare/a3900acd7ee2...b1223505ca56
230739814,cde7245ffbaec7d062108c1f836ec61e2a4a5854,PassedToErrored,passed,3996,https://github.com/lmcinnes/umap/pull/533
230739762,1f370e2f1d60c45876ba99b9f4e85eb4d228b921,PassedToErrored,errored,3401,https://github.com/lmcinnes/umap/pull/533
230739762,1f370e2f1d60c45876ba99b9f4e85eb4d228b921,ErroredToPassed,errored,3401,https://github.com/lmcinnes/umap/compare/c55cc360046d...cc798ad6ba01
230739602,cc798ad6ba01fbf057b081d3a37a92e634897de7,ErroredToPassed,passed,4027,https://github.com/lmcinnes/umap/compare/c55cc360046d...cc798ad6ba01
230739563,c55cc360046d897763e8ce429590a20a54028264,PassedToErrored,passed,3980,https://github.com/lmcinnes/umap/pull/591
230739426,6b8217c932489cf0d60d84f377523929933b0b93,PassedToErrored,errored,9709,https://github.com/lmcinnes/umap/pull/591
230739659,abdfddb650d28dbae74be2202c370fde0ab67fee,FailedToPassed,failed,4000,https://github.com/lmcinnes/umap/compare/05840ef919f2...18c4e759aa12
230739668,18c4e759aa125d4f97f16807aca42c3254e7d86b,FailedToPassed,passed,3935,https://github.com/lmcinnes/umap/compare/05840ef919f2...18c4e759aa12
230739668,18c4e759aa125d4f97f16807aca42c3254e7d86b,PassedToFailed,passed,3935,https://github.com/lmcinnes/umap/compare/a20a8cdf65ff...05840ef919f2
230739717,05840ef919f2367d77e3ba929de86ea31056e691,PassedToFailed,failed,4051,https://github.com/lmcinnes/umap/compare/a20a8cdf65ff...05840ef919f2
230739717,05840ef919f2367d77e3ba929de86ea31056e691,FailedToPassed,failed,4051,https://github.com/lmcinnes/umap/compare/1a3a301459f8...a20a8cdf65ff
