BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
760706205,7c361d3f25a67cfe77dc4f41474a9b2a80141f67,ErroredToPassed,errored,20,https://github.com/lopuhin/transformer-lm/compare/c45f3a39de32...817da6da97d6
711488825,817da6da97d6b910d29e967291a72e87bafed484,ErroredToPassed,passed,157,https://github.com/lopuhin/transformer-lm/compare/c45f3a39de32...817da6da97d6
711486487,0e1028d9ffa0bc73183c460e6b5844318078ff20,PassedToFailed,passed,140,https://github.com/lopuhin/transformer-lm/compare/fd29ee671f8d^...c45f3a39de32
711486400,c45f3a39de32f4904ee055fdc95e25ddf9ca968c,PassedToFailed,failed,126,https://github.com/lopuhin/transformer-lm/compare/fd29ee671f8d^...c45f3a39de32
711486400,c45f3a39de32f4904ee055fdc95e25ddf9ca968c,FailedToPassed,failed,126,https://github.com/lopuhin/transformer-lm/compare/b473de76e50c...c3698333c678
711127822,c3698333c678379ae7d28bab0120e1b713a93792,FailedToPassed,passed,116,https://github.com/lopuhin/transformer-lm/compare/b473de76e50c...c3698333c678
692871144,1f4301d3b931b297ec4a32ed26f086e3800c5dcc,PassedToFailed,passed,73,https://github.com/lopuhin/transformer-lm/compare/2116e8666dbf^...459fe72e265f
692866887,459fe72e265f51829aca6f9171e7147b523c6005,PassedToFailed,failed,31,https://github.com/lopuhin/transformer-lm/compare/2116e8666dbf^...459fe72e265f
692866887,459fe72e265f51829aca6f9171e7147b523c6005,FailedToPassed,failed,31,https://github.com/lopuhin/transformer-lm/compare/7f4141093d16...8547b4bb58cc
656725360,8547b4bb58cc1d954754b4afe2f62ab4046608ba,FailedToPassed,passed,77,https://github.com/lopuhin/transformer-lm/compare/7f4141093d16...8547b4bb58cc
564587713,8c43492fdf878a67188b8b92367c42461c17fd49,PassedToFailed,passed,77,https://github.com/lopuhin/transformer-lm/pull/12
564586672,cf973b9849488b1a30737b8439cfa4e8e126b3ad,PassedToFailed,failed,73,https://github.com/lopuhin/transformer-lm/pull/12
564586672,cf973b9849488b1a30737b8439cfa4e8e126b3ad,FailedToPassed,failed,73,https://github.com/lopuhin/transformer-lm/pull/12
564582621,ad38795dfe6558efd3c5a91005221504d3d86c5c,FailedToPassed,passed,74,https://github.com/lopuhin/transformer-lm/pull/12
564582621,ad38795dfe6558efd3c5a91005221504d3d86c5c,PassedToFailed,passed,74,https://github.com/lopuhin/transformer-lm/pull/12
563949938,852adc6a17049dc1bbebf56892222036774bbc63,PassedToFailed,failed,79,https://github.com/lopuhin/transformer-lm/pull/12
563741197,8003fca414eaafa997f9b15603ad2d31f3696e02,FailedToPassed,failed,79,https://github.com/lopuhin/transformer-lm/compare/be11c005b543...0638ca562100
559639611,0638ca562100a6c9505c68e08f889625aa6e6909,FailedToPassed,passed,71,https://github.com/lopuhin/transformer-lm/compare/be11c005b543...0638ca562100
521601399,452af46c9142ea466cebd6e9e7e557e7e65c6ab2,PassedToFailed,passed,78,https://github.com/lopuhin/transformer-lm/compare/5fdf193b83af...572b3a88e736
521598142,572b3a88e736d5233885d0d3007b81a561ba85c4,PassedToFailed,failed,79,https://github.com/lopuhin/transformer-lm/compare/5fdf193b83af...572b3a88e736
521598142,572b3a88e736d5233885d0d3007b81a561ba85c4,FailedToPassed,failed,79,https://github.com/lopuhin/transformer-lm/compare/466a0846cbab...5fdf193b83af
520162455,5fdf193b83afea3a313cee9cc222fa6aa8a489d2,FailedToPassed,passed,78,https://github.com/lopuhin/transformer-lm/compare/466a0846cbab...5fdf193b83af
519669446,466a0846cbabae159476da7dc84f9d51d5ecf24e,PassedToFailed,passed,80,https://github.com/lopuhin/transformer-lm/compare/68ffa92c2dbc...ccda4097597a
519668880,ccda4097597abfba431ffc1123b5d9f5e090e6f6,PassedToFailed,failed,37,https://github.com/lopuhin/transformer-lm/compare/68ffa92c2dbc...ccda4097597a
519668880,ccda4097597abfba431ffc1123b5d9f5e090e6f6,FailedToPassed,failed,37,https://github.com/lopuhin/transformer-lm/compare/e1f938b2e4ab...68ffa92c2dbc
519655035,68ffa92c2dbcce86786ea7112eade580033b375b,FailedToPassed,passed,74,https://github.com/lopuhin/transformer-lm/compare/e1f938b2e4ab...68ffa92c2dbc
519652993,c19513e1cbed8869fafa526bebcf8d1c4efd27a3,PassedToErrored,passed,85,https://github.com/lopuhin/transformer-lm/pull/4
519652109,e81aab6220ce49057f9720ebf7768d3c0fab91b5,PassedToErrored,errored,74,https://github.com/lopuhin/transformer-lm/pull/4
519652103,e2cbe9deca5abe3f4a094d45d584c67a4b0afd07,ErroredToPassed,errored,74,https://github.com/lopuhin/transformer-lm/pull/4
519651594,7122c2cbbffeff4548b5cff703d566d9cd373d0e,ErroredToPassed,passed,214,https://github.com/lopuhin/transformer-lm/pull/4
516971673,bc992bc0407ba91cad5adb3a2b015bf2bb0ce4df,PassedToErrored,passed,194,https://github.com/lopuhin/transformer-lm/compare/784a70155557^...691b25e7139a
516590172,691b25e7139aab0b40a0efc69693d412cc98f22c,PassedToErrored,errored,85,https://github.com/lopuhin/transformer-lm/compare/784a70155557^...691b25e7139a
516574234,805287abad5dadde56a57001b08ed27b624689a5,ErroredToPassed,errored,79,https://github.com/lopuhin/transformer-lm/compare/53e24112a7c4...d1fc1a12e127
516552583,d1fc1a12e127734e84068d1fb6a0bcaac4a739fb,ErroredToPassed,passed,212,https://github.com/lopuhin/transformer-lm/compare/53e24112a7c4...d1fc1a12e127
