BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
609587458,f480ef710db73c3090f34cb2abf1077dc77c4c55,PassedToFailed,passed,1489,https://github.com/mackelab/delfi/pull/62
608673336,fba32f811c2ba19de060d00fefa8872b0bfecdf0,PassedToFailed,failed,1587,https://github.com/mackelab/delfi/pull/62
608673336,fba32f811c2ba19de060d00fefa8872b0bfecdf0,FailedToPassed,failed,1587,https://github.com/mackelab/delfi/pull/62
608262671,1035508b5108d50d31467387ec874cf3a7f51c63,FailedToPassed,passed,1514,https://github.com/mackelab/delfi/pull/62
604561173,48ddd80c8f96813b7e628fa93ec0bdf095a80563,PassedToErrored,passed,1453,https://github.com/mackelab/delfi/compare/1faab5bfb1e2...bbd3171f08ec
604559079,bbd3171f08ec7b4940a7de4dbf5892dbd7aef1ef,PassedToErrored,errored,145,https://github.com/mackelab/delfi/compare/1faab5bfb1e2...bbd3171f08ec
604540525,26e58179b2a906309672f57d2bf1fa2391e86c1b,FailedToPassed,failed,1418,https://github.com/mackelab/delfi/compare/0ed8dccc1b83...71cccd49ebd7
604399800,71cccd49ebd739ed73d55b5b455f75f26a268710,FailedToPassed,passed,1559,https://github.com/mackelab/delfi/compare/0ed8dccc1b83...71cccd49ebd7
601198633,bfd94645638ee297a80e76454d96dee5e315775e,PassedToFailed,passed,1594,https://github.com/mackelab/delfi/pull/61
601187157,60029ef6d7c03cae73906660dbc690a7fd3c85a6,PassedToFailed,failed,1396,https://github.com/mackelab/delfi/pull/61
601007961,0a17a59529574c17cd042badec577c2a2a22f09e,ErroredToPassed,errored,868,https://github.com/mackelab/delfi/pull/61
601003716,4faeab4986be27d5fd3eb55dea802a2d7d89c553,ErroredToPassed,passed,1464,https://github.com/mackelab/delfi/pull/61
589477554,32a10d0d3efeec4a25a5a6ef05b8d5b32e12bf63,PassedToFailed,passed,1078,https://github.com/mackelab/delfi/pull/59
589408323,edd11adb69d69e86c26cfda8bffb4ea22f896b86,PassedToFailed,failed,934,https://github.com/mackelab/delfi/pull/59
589408323,edd11adb69d69e86c26cfda8bffb4ea22f896b86,FailedToPassed,failed,934,https://github.com/mackelab/delfi/pull/58
588121535,ae55f71c079d7d48c2b209ba4d46146800c1f386,FailedToPassed,passed,982,https://github.com/mackelab/delfi/pull/58
586704807,48b5e557855dc6be1bd9a462664cc946f6c3fb24,PassedToFailed,passed,949,https://github.com/mackelab/delfi/pull/58
586702017,93fccb4d60d121f3bd0258fcd74407b5742245e9,PassedToFailed,failed,920,https://github.com/mackelab/delfi/pull/58
586699568,9b52231d1663cf1059d5b72fed7bdbaa0aecc780,FailedToPassed,failed,933,https://github.com/mackelab/delfi/pull/58
586647820,10f0e63de478d9dbb36c28ab3bd7e267ebfede7f,FailedToPassed,passed,883,https://github.com/mackelab/delfi/pull/58
578346684,efe37090b8f8ff252f4e3da1da85b6cc39184f43,PassedToErrored,passed,924,https://github.com/mackelab/delfi/pull/56
578346480,ea986a12952443b63cc6ff86acdae76fb36083e9,PassedToErrored,errored,62,https://github.com/mackelab/delfi/pull/56
