BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
529394685,60e7b4bc7ece350c8bfa01c57ef9151db53f48e1,PassedToErrored,passed,97,https://github.com/nbortolotti/tensorflow-experiences/compare/42f0fe143963...1233f2a06b58
529393416,1233f2a06b586c936ffdd3a56787fb1e3dfbbeba,PassedToErrored,errored,36,https://github.com/nbortolotti/tensorflow-experiences/compare/42f0fe143963...1233f2a06b58
529392015,7c92f420979d9f471b364eceadf4960d374bba1c,ErroredToPassed,errored,36,https://github.com/nbortolotti/tensorflow-experiences/compare/69109a6a529b...42f0fe143963
529390473,42f0fe143963a8a36f167dfbd568229a54bb740b,ErroredToPassed,passed,90,https://github.com/nbortolotti/tensorflow-experiences/compare/69109a6a529b...42f0fe143963
459996505,c934a53ed0d52ae6b66a8e7135241027712ed99c,PassedToErrored,passed,79,https://github.com/nbortolotti/tensorflow-experiences/pull/21
459995340,07780743b2aed4c0fb6499820cfeec499ab334f2,PassedToErrored,errored,36,https://github.com/nbortolotti/tensorflow-experiences/pull/21
459995340,07780743b2aed4c0fb6499820cfeec499ab334f2,ErroredToPassed,errored,36,https://github.com/nbortolotti/tensorflow-experiences/compare/4111c6fe0adc...08fd9feeeb20
459995194,08fd9feeeb209e8c4cfa2c7706ba556822e0765b,ErroredToPassed,passed,71,https://github.com/nbortolotti/tensorflow-experiences/compare/4111c6fe0adc...08fd9feeeb20
459995194,08fd9feeeb209e8c4cfa2c7706ba556822e0765b,PassedToErrored,passed,71,https://github.com/nbortolotti/tensorflow-experiences/compare/68835d70526d...49ab45fbd2ee
459994359,49ab45fbd2ee73b130d267784719057fd01ecb73,PassedToErrored,errored,16,https://github.com/nbortolotti/tensorflow-experiences/compare/68835d70526d...49ab45fbd2ee
459993791,903e65b106f15fa459b4dcc8f7637787382cd8f1,ErroredToPassed,errored,17,https://github.com/nbortolotti/tensorflow-experiences/compare/d9f5b99e48f5...8713b15736f5
459990931,8713b15736f5e2e52a391962a96f76e63326392c,ErroredToPassed,passed,69,https://github.com/nbortolotti/tensorflow-experiences/compare/d9f5b99e48f5...8713b15736f5
459990116,4111c6fe0adce8c4e29d67c71491998b69001642,PassedToErrored,passed,71,https://github.com/nbortolotti/tensorflow-experiences/pull/20
459990120,f1807683a1e6fe56a1cf60ee2ac86cb7bd2a4a79,PassedToErrored,errored,17,https://github.com/nbortolotti/tensorflow-experiences/pull/20
459990120,f1807683a1e6fe56a1cf60ee2ac86cb7bd2a4a79,ErroredToPassed,errored,17,https://github.com/nbortolotti/tensorflow-experiences/compare/ae6983b0cd43...5c962283cfd5
459985954,5c962283cfd5f4ecd5eafa23ee25836056b3f42c,ErroredToPassed,passed,84,https://github.com/nbortolotti/tensorflow-experiences/compare/ae6983b0cd43...5c962283cfd5
459977983,d9f5b99e48f577d8d9304d61af3b141121a5926f,PassedToErrored,passed,79,https://github.com/nbortolotti/tensorflow-experiences/pull/19
459977550,8c5e6fcb552ca626c0452ae79f09d04be128f862,PassedToErrored,errored,26,https://github.com/nbortolotti/tensorflow-experiences/pull/19
459977550,8c5e6fcb552ca626c0452ae79f09d04be128f862,ErroredToPassed,errored,26,https://github.com/nbortolotti/tensorflow-experiences/compare/ba7a2b3c3b60...c6895b2accb4
459976795,c6895b2accb42b7ef1895aa2d7f1299690c12f4f,ErroredToPassed,passed,76,https://github.com/nbortolotti/tensorflow-experiences/compare/ba7a2b3c3b60...c6895b2accb4
424101816,a07e6dfeaa56028b8f977b15d7fc792ae0f6c4f6,PassedToErrored,passed,86,https://github.com/nbortolotti/tensorflow-code-experiences/pull/16
424101704,b540f84e40d5eeb804d534a727e556e2ca391578,PassedToErrored,errored,19,https://github.com/nbortolotti/tensorflow-code-experiences/pull/16
424101704,b540f84e40d5eeb804d534a727e556e2ca391578,ErroredToPassed,errored,19,https://github.com/nbortolotti/tensorflow-code-experiences/compare/1c667f42c211...283036d2d63c
424100111,283036d2d63c1c1c161805b84bbadb035783264b,ErroredToPassed,passed,94,https://github.com/nbortolotti/tensorflow-code-experiences/compare/1c667f42c211...283036d2d63c
424054134,cd7f092b41ea4611711043c10eb4c95a2963921e,PassedToErrored,passed,86,https://github.com/nbortolotti/tensorflow-code-experiences/pull/8
424054124,a5a7e2e3b75933e3e7a0416680f3665310e25496,PassedToErrored,errored,43,https://github.com/nbortolotti/tensorflow-code-experiences/pull/8
424054124,a5a7e2e3b75933e3e7a0416680f3665310e25496,ErroredToPassed,errored,43,https://github.com/nbortolotti/tensorflow-code-experiences/compare/8ef2548cb5ac...87dcd641af49
