BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
761777573,3402a0dfef6cfc2d4a23ca191e5646dbaa51386a,PassedToErrored,passed,380,https://github.com/nicodv/kmodes/pull/156
761777561,a8902320c2cf4fdf4b52ac04545dae5d84a0ebbe,PassedToErrored,errored,193,https://github.com/nicodv/kmodes/pull/156
761777561,a8902320c2cf4fdf4b52ac04545dae5d84a0ebbe,ErroredToPassed,errored,193,https://github.com/nicodv/kmodes/pull/156
761777505,d3d093d38ce328470809e0b54d36bcc7422a47d3,ErroredToPassed,passed,385,https://github.com/nicodv/kmodes/pull/156
756678052,69689e244f5123c83220b865cbe7d2119822ba81,PassedToErrored,passed,366,https://github.com/nicodv/kmodes/pull/152
756678014,bb787d3a53a7f15a6d9b68fc0075e5105c01dbc2,PassedToErrored,errored,196,https://github.com/nicodv/kmodes/pull/152
755863473,7260cb888b4d0fae0a7965e6a064b85709bf9257,FailedToPassed,failed,232,https://github.com/nicodv/kmodes/compare/6aa4956efc46...bab7e7055ef1
741314930,bab7e7055ef10468e7492d54aca61fac1b000c7b,FailedToPassed,passed,265,https://github.com/nicodv/kmodes/compare/6aa4956efc46...bab7e7055ef1
698004466,3db537124a07f65c0a90e48a54073cbf02abf0a4,PassedToErrored,passed,284,https://github.com/nicodv/kmodes/compare/8eabc90ebf8f...c7a5e50127c4
685229170,c7a5e50127c415306b28a937595f9fe07152f95a,PassedToErrored,errored,335,https://github.com/nicodv/kmodes/compare/8eabc90ebf8f...c7a5e50127c4
685229170,c7a5e50127c415306b28a937595f9fe07152f95a,ErroredToPassed,errored,335,https://github.com/nicodv/kmodes/compare/8df076695b02...8eabc90ebf8f
659018039,8eabc90ebf8f7a6725af53a06211463598203de8,ErroredToPassed,passed,390,https://github.com/nicodv/kmodes/compare/8df076695b02...8eabc90ebf8f
561655191,f27ef52737784a886d07fc96ebb411c7cf60810c,PassedToFailed,passed,269,https://github.com/nicodv/kmodes/pull/129
561635531,fb640ad58632d7d9f6f4d3f28c21d45f06959125,PassedToFailed,failed,258,https://github.com/nicodv/kmodes/pull/129
543736833,35d817d99f542ea8f59dd9698b80e4561bc959f2,FailedToPassed,failed,256,https://github.com/nicodv/kmodes/pull/128
543732236,08147a8ce00a5648d0ade878f2b6f312aa316caf,FailedToPassed,passed,286,https://github.com/nicodv/kmodes/pull/128
543725144,52b3eca4c292d8ee48bfcc7aa2ab2ff33dc7afa6,PassedToFailed,passed,285,https://github.com/nicodv/kmodes/pull/128
543724568,0cd94ba6c1f9919a11da6a6ae2b8ca7ddd4f96ec,PassedToFailed,failed,250,https://github.com/nicodv/kmodes/pull/128
543724568,0cd94ba6c1f9919a11da6a6ae2b8ca7ddd4f96ec,FailedToPassed,failed,250,https://github.com/nicodv/kmodes/pull/128
543720582,724562a5c3982dccd7745fb2640f32e95617b105,FailedToPassed,passed,267,https://github.com/nicodv/kmodes/pull/128
