BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
523048755,1155191921289a65ba2becd2bf8dfabb48eaf1f1,FailedToPassed,failed,831,https://github.com/nlppln/nlppln/compare/0.3.3
476768802,197b76f936e652b0e20d98537cd362c118376141,FailedToPassed,passed,343,https://github.com/nlppln/nlppln/compare/0.3.3
476763000,de0f4b4fb7295883082b09a84b1fc150a5f0927c,PassedToFailed,passed,368,https://github.com/nlppln/nlppln/compare/d90b49d4e36f...279e76ba526f
476751928,279e76ba526fa083c3fb1b6e00974f7b42fc20ca,PassedToFailed,failed,440,https://github.com/nlppln/nlppln/compare/d90b49d4e36f...279e76ba526f
454992019,e9ea0c58019e4541ffcc9defb8a1cfdb619e519d,FailedToPassed,failed,529,https://github.com/nlppln/nlppln/compare/516d167de310...e9c64aea28d7
449845992,e9c64aea28d755de9f2ef4a7025c96e880e4381f,FailedToPassed,passed,720,https://github.com/nlppln/nlppln/compare/516d167de310...e9c64aea28d7
432922895,3c0c8b5ecac8b2a9234a8a2a11a4e5a5d2ca3ece,PassedToFailed,passed,552,https://github.com/nlppln/nlppln/compare/299145df6b69...67bdee66f2ca
432815646,67bdee66f2ca3f2f15d6764235de619942e148a0,PassedToFailed,failed,474,https://github.com/nlppln/nlppln/compare/299145df6b69...67bdee66f2ca
432815646,67bdee66f2ca3f2f15d6764235de619942e148a0,FailedToPassed,failed,474,https://github.com/nlppln/nlppln/compare/295ae55de038...299145df6b69
425792728,299145df6b699758fff56cb2de92f9ac94fd6946,FailedToPassed,passed,709,https://github.com/nlppln/nlppln/compare/295ae55de038...299145df6b69
404825594,092f9cfeb2bd8bd5c11fb03f81bf642370d6c2a9,PassedToFailed,passed,562,https://github.com/nlppln/nlppln/compare/9b5979868fbd...98c403d270e3
404822121,98c403d270e31a8d380ae489df2382733424e3d2,PassedToFailed,failed,591,https://github.com/nlppln/nlppln/compare/9b5979868fbd...98c403d270e3
404822121,98c403d270e31a8d380ae489df2382733424e3d2,FailedToPassed,failed,591,https://github.com/nlppln/nlppln/compare/3481d2f2bf79...9b5979868fbd
403108590,9b5979868fbddd43aa88c5728b43093c2fdccc73,FailedToPassed,passed,803,https://github.com/nlppln/nlppln/compare/3481d2f2bf79...9b5979868fbd
403108590,9b5979868fbddd43aa88c5728b43093c2fdccc73,PassedToFailed,passed,803,https://github.com/nlppln/nlppln/compare/ddd7aeb1fd1d...3481d2f2bf79
401927135,3481d2f2bf79cee24259421693b6f48ca3cf971f,PassedToFailed,failed,554,https://github.com/nlppln/nlppln/compare/ddd7aeb1fd1d...3481d2f2bf79
401927135,3481d2f2bf79cee24259421693b6f48ca3cf971f,FailedToPassed,failed,554,https://github.com/nlppln/nlppln/compare/31887f616b2a...ddd7aeb1fd1d
399907059,ddd7aeb1fd1d91a8758536535d1d146f6078bf75,FailedToPassed,passed,625,https://github.com/nlppln/nlppln/compare/31887f616b2a...ddd7aeb1fd1d
339059534,6808758a22e6bb0235038c01366fcbc250e60f84,PassedToFailed,passed,666,https://github.com/nlppln/nlppln/compare/a932a1125f31...780b84a2ed7a
339053365,780b84a2ed7aff91de8ab7b5505e496649d3ddfa,PassedToFailed,failed,969,https://github.com/nlppln/nlppln/compare/a932a1125f31...780b84a2ed7a
333608357,a932a1125f31a7b34539cf9085ba7364df32a25d,FailedToPassed,failed,925,https://github.com/nlppln/nlppln/compare/d2d588020b9e...c44b90ebac45
333602800,c44b90ebac4550cd79ee9329953033a69b7ed710,FailedToPassed,passed,1653,https://github.com/nlppln/nlppln/compare/d2d588020b9e...c44b90ebac45
316311462,3f678e0bc1bfea735b02538cee66a0c2aa67a4cb,PassedToFailed,passed,945,https://github.com/nlppln/nlppln/compare/68d257bde138...64df3050d3d3
315812403,64df3050d3d36eb9e0450c1a73d6aad9b2d4d43f,PassedToFailed,failed,791,https://github.com/nlppln/nlppln/compare/68d257bde138...64df3050d3d3
315805593,68d257bde13897f489c26688fb63933170f9ae47,FailedToPassed,failed,894,https://github.com/nlppln/nlppln/compare/dc14225fb3cb...961aa2a1ee81
315803963,961aa2a1ee81a65ef96981292d37b1fadb676c93,FailedToPassed,passed,741,https://github.com/nlppln/nlppln/compare/dc14225fb3cb...961aa2a1ee81
315373192,b6b468d43e294843eb82cab41722eb21869b21b1,PassedToFailed,passed,890,https://github.com/nlppln/nlppln/compare/bc74b052937b...6bec968c19a4
315368937,6bec968c19a47d35c5b6cc8ec63087be2a44d3b5,PassedToFailed,failed,1019,https://github.com/nlppln/nlppln/compare/bc74b052937b...6bec968c19a4
312482321,f041aefdc409ecc0ae80c8b93a0f6b86cbb6ce5a,FailedToPassed,failed,352,https://github.com/nlppln/nlppln/compare/629d4bed0f3c...acba46c22709
312440996,acba46c227091fb0239493233847c012474f6099,FailedToPassed,passed,729,https://github.com/nlppln/nlppln/compare/629d4bed0f3c...acba46c22709
308479255,6faa06449ee463abbef6196a26eaea0227ee278d,PassedToErrored,passed,667,https://github.com/nlppln/nlppln/compare/6051bc68b29f...68621ed3ad26
308471632,68621ed3ad2610b85895b55cdc21d4a54545296a,PassedToErrored,errored,687,https://github.com/nlppln/nlppln/compare/6051bc68b29f...68621ed3ad26
