BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
119719428,eece7a7a7006e7fd5f5428db56f7d584acc16674,PassedToErrored,passed,426,https://github.com/polyaxon/polyaxon-quick-start/compare/ba167cabecee...1401deb4ced1
119038752,1401deb4ced1d7af823100f906e1acda9b356dd4,PassedToErrored,errored,3000,https://github.com/polyaxon/polyaxon-quick-start/compare/ba167cabecee...1401deb4ced1
119038752,1401deb4ced1d7af823100f906e1acda9b356dd4,ErroredToPassed,errored,3000,https://github.com/polyaxon/polyaxon-quick-start/compare/c0c614ed5a26...ba167cabecee
118762573,ba167cabeceee1f67acc358af388cfb3f726550d,ErroredToPassed,passed,425,https://github.com/polyaxon/polyaxon-quick-start/compare/c0c614ed5a26...ba167cabecee
118762573,ba167cabeceee1f67acc358af388cfb3f726550d,PassedToFailed,passed,425,https://github.com/polyaxon/polyaxon-quick-start/compare/39378481b861...c0c614ed5a26
118761227,c0c614ed5a26c8f7df2acdd865138c3c8002a62c,PassedToFailed,failed,418,https://github.com/polyaxon/polyaxon-quick-start/compare/39378481b861...c0c614ed5a26
118113055,10f2157b3b3f7e59b802a259963a644cba414958,FailedToPassed,failed,95,https://github.com/polyaxon/polyaxon-quick-start/compare/8e887f34d057...51e4f7bb9dfb
118089276,51e4f7bb9dfbc6fdb0f23115cc07542708d66228,FailedToPassed,passed,379,https://github.com/polyaxon/polyaxon-quick-start/compare/8e887f34d057...51e4f7bb9dfb
118086958,404cece9b6a40558911f88ec9f18c76f5a068a2f,PassedToErrored,passed,754,https://github.com/polyaxon/polyaxon-quick-start/pull/3
114360429,91515ce79e717623a4aa6a98ba8715b9ab10b977,PassedToErrored,errored,21,https://github.com/polyaxon/polyaxon-quick-start/pull/3
114360429,91515ce79e717623a4aa6a98ba8715b9ab10b977,ErroredToPassed,errored,21,https://github.com/polyaxon/polyaxon-quick-start/compare/5baaaf4e9d9e...f9db594cedb2
109825356,f9db594cedb275fb3c6819fda13ffcca1e6a0a3a,ErroredToPassed,passed,384,https://github.com/polyaxon/polyaxon-quick-start/compare/5baaaf4e9d9e...f9db594cedb2
101355009,9ac8d5fcd94e8bb2de86b51f158147cd4a479f06,PassedToFailed,passed,369,https://github.com/polyaxon/polyaxon-quick-start/compare/62b264813aaf5cba3a81919c623ea55c3f79698f...9ac8d5fcd94e8bb2de86b51f158147cd4a479f06
101356478,9ac8d5fcd94e8bb2de86b51f158147cd4a479f06,PassedToFailed,failed,576,https://github.com/polyaxon/polyaxon-quick-start/compare/62b264813aaf5cba3a81919c623ea55c3f79698f...9ac8d5fcd94e8bb2de86b51f158147cd4a479f06
98739197,2c4736f480b69912759d8b5ec368a0896dfc2933,FailedToPassed,failed,390,https://github.com/polyaxon/polyaxon-quick-start/compare/4b798d5663e3...aab156962e95
86632619,aab156962e95bd05f325ccfecfede8dec744074e,FailedToPassed,passed,782,https://github.com/polyaxon/polyaxon-quick-start/compare/4b798d5663e3...aab156962e95
86314717,819d1d4460b418ced4980caecc5d74e48f662f18,PassedToErrored,passed,520,https://github.com/polyaxon/polyaxon-quick-start/compare/ccbb0f83fc7a...e2dcff22b136
86313720,e2dcff22b13627f0201859f6e0bb051f8783edbb,PassedToErrored,errored,69,https://github.com/polyaxon/polyaxon-quick-start/compare/ccbb0f83fc7a...e2dcff22b136
