BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
226744140,1eefd4725490f7be65da7ac9699373b720beb130,FailedToPassed,failed,467,https://github.com/proycon/foliatools/compare/v2.4.9
218860422,c09fc9302fe79e9ba500d88cc7d93de09182056a,FailedToPassed,passed,467,https://github.com/proycon/foliatools/compare/v2.4.9
218860328,c09fc9302fe79e9ba500d88cc7d93de09182056a,PassedToFailed,passed,472,https://github.com/proycon/foliatools/compare/28f48646aaa3...8095f62dcd7d
218860102,8095f62dcd7d47aa20ce284a7c6bdfb0d3509907,PassedToFailed,failed,475,https://github.com/proycon/foliatools/compare/28f48646aaa3...8095f62dcd7d
218857491,28f48646aaa34e31f9c474299d2f4fee8c7753b7,FailedToPassed,failed,470,https://github.com/proycon/foliatools/compare/v2.4.7
218822687,6736104814ec93cd4f298734154bc4ee295a137a,FailedToPassed,passed,486,https://github.com/proycon/foliatools/compare/v2.4.7
217605650,3034779038b45ead316afabe7e265f59a67f3fd0,PassedToFailed,passed,477,https://github.com/proycon/foliatools/compare/d561cc57f0b4...dd4411c7a4fa
217605405,dd4411c7a4fa5d61497005362fb8b504139666b3,PassedToFailed,failed,464,https://github.com/proycon/foliatools/compare/d561cc57f0b4...dd4411c7a4fa
217603765,d561cc57f0b4009cafc264d42518ecaa5dd22ad7,FailedToPassed,failed,482,https://github.com/proycon/foliatools/compare/v2.4.6
216702988,9e9133ffa898bc5e21e37d9159e39c2d883e2d87,FailedToPassed,passed,476,https://github.com/proycon/foliatools/compare/v2.4.6
201262823,e4c8860f4c45047280b479a38963c6e339da5987,PassedToFailed,passed,483,https://github.com/proycon/foliatools/compare/d0653b2d1742...48ad9f31f4d0
200949815,48ad9f31f4d0603167e6d60a7051846965e43ea1,PassedToFailed,failed,282,https://github.com/proycon/foliatools/compare/d0653b2d1742...48ad9f31f4d0
200949815,48ad9f31f4d0603167e6d60a7051846965e43ea1,FailedToPassed,failed,282,https://github.com/proycon/foliatools/compare/86217ab616aa...d0653b2d1742
200936556,d0653b2d1742d5d602a8bb78f982d89824dabda8,FailedToPassed,passed,515,https://github.com/proycon/foliatools/compare/86217ab616aa...d0653b2d1742
183752464,64459b117a48b3852db283b6f36056b1894cacaa,PassedToFailed,passed,494,https://github.com/proycon/foliatools/compare/5e069debbe64...6d609006e883
183747926,6d609006e88334946745d75d42ad5a45a3b0c0bc,PassedToFailed,failed,487,https://github.com/proycon/foliatools/compare/5e069debbe64...6d609006e883
183747512,5e069debbe64391a491c8cdfb6537299c6f16f18,FailedToPassed,failed,501,https://github.com/proycon/foliatools/compare/1ed0a35df856...27e6935f6fc1
182442892,27e6935f6fc1dd699d246082aa16941b6cd347dc,FailedToPassed,passed,497,https://github.com/proycon/foliatools/compare/1ed0a35df856...27e6935f6fc1
182406771,23898ecd40dc2985056749a0178ac69993c4384d,PassedToFailed,passed,511,https://github.com/proycon/foliatools/compare/b6bf66dc784e...02470f2ac13c
182406462,02470f2ac13c4c253a2342448543a7cf7f8c3837,PassedToFailed,failed,544,https://github.com/proycon/foliatools/compare/b6bf66dc784e...02470f2ac13c
182405544,b6bf66dc784e6df2ecaba07561d9770519b32e94,FailedToPassed,failed,532,https://github.com/proycon/foliatools/compare/077c8c9eb364...b065d3732f7a
181642243,b065d3732f7acab6cf4bd956eac285f844510d84,FailedToPassed,passed,545,https://github.com/proycon/foliatools/compare/077c8c9eb364...b065d3732f7a
181626212,077c8c9eb3649d7164564f948f2a34fbd9cca818,PassedToFailed,passed,538,https://github.com/proycon/foliatools/compare/17f4376746f7...077c8c9eb364
181626055,077c8c9eb3649d7164564f948f2a34fbd9cca818,PassedToFailed,failed,532,https://github.com/proycon/foliatools/compare/17f4376746f7...077c8c9eb364
181626055,077c8c9eb3649d7164564f948f2a34fbd9cca818,FailedToPassed,failed,532,https://github.com/proycon/foliatools/compare/9745dbddee84...17f4376746f7
181481462,17f4376746f7fa3d8fbb0324e4cf0534e1cfa0ae,FailedToPassed,passed,549,https://github.com/proycon/foliatools/compare/9745dbddee84...17f4376746f7
180569230,094a6c4aae15d3434808be7ba796aa4e26d6da0c,PassedToErrored,passed,548,https://github.com/proycon/foliatools/commit/988f950fbb18
180569184,988f950fbb18e1032bf7c32eb229647e7d8f5d1b,PassedToErrored,errored,43,https://github.com/proycon/foliatools/commit/988f950fbb18
180569184,988f950fbb18e1032bf7c32eb229647e7d8f5d1b,ErroredToPassed,errored,43,https://github.com/proycon/foliatools/compare/1cca2fbec826...7e25cdb7a760
180476387,7e25cdb7a760130f6826968b8cf5b3e33489fa47,ErroredToPassed,passed,539,https://github.com/proycon/foliatools/compare/1cca2fbec826...7e25cdb7a760
178301434,adc9d4f98c22c4efc2a67772806f944782801273,PassedToFailed,passed,552,https://github.com/proycon/foliatools/compare/4fa8f630b523...0faf82f2e20c
178289581,0faf82f2e20c57222e563c23acf7dfbb97a6ac8f,PassedToFailed,failed,409,https://github.com/proycon/foliatools/compare/4fa8f630b523...0faf82f2e20c
178289581,0faf82f2e20c57222e563c23acf7dfbb97a6ac8f,FailedToPassed,failed,409,https://github.com/proycon/foliatools/compare/a227b9bca364...4fa8f630b523
145746635,4fa8f630b523daef7743bbfffad76bf3ed56f24c,FailedToPassed,passed,584,https://github.com/proycon/foliatools/compare/a227b9bca364...4fa8f630b523
132730980,332e2e4c5f4a112a66b9799510ba450a9f1241db,PassedToFailed,passed,738,https://github.com/proycon/foliatools/compare/948c1f951bad...5b766eb30c57
