BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
205093907,8a9fc1ddd14f03b6496d4a448d37f6bd790ca61a,FailedToPassed,failed,184,https://github.com/qubvel/efficientnet/pull/130
186832794,af51c045decc4afb0b2c9adb5107cf7015ca1582,FailedToPassed,passed,309,https://github.com/qubvel/efficientnet/pull/130
174625293,e9fdd43857785fe5ccf3863915dcaf618b86849f,PassedToErrored,passed,273,https://github.com/qubvel/efficientnet/pull/112
159509917,df4c8bae6d3c7265ff7eadd4fcaf3fb37c91cb75,PassedToErrored,errored,262,https://github.com/qubvel/efficientnet/pull/112
159509917,df4c8bae6d3c7265ff7eadd4fcaf3fb37c91cb75,ErroredToPassed,errored,262,https://github.com/qubvel/efficientnet/compare/v1.1.0
151023729,6ceca713c1186168f41a7a628e4d6e2fdc4aa7ef,ErroredToPassed,passed,413,https://github.com/qubvel/efficientnet/compare/v1.1.0
130392213,aa1edcaa2bbbf878f78164c4d45f46acabe59fab,PassedToErrored,passed,368,https://github.com/qubvel/efficientnet/pull/76
130387293,bc1ce2123b6c2834579ec2b460402e7397b3914e,PassedToErrored,errored,193,https://github.com/qubvel/efficientnet/pull/76
130387293,bc1ce2123b6c2834579ec2b460402e7397b3914e,ErroredToPassed,errored,193,https://github.com/qubvel/efficientnet/compare/v1.0.0
130391811,91366f5101270f505c982cfa125fefc982986bf1,ErroredToPassed,passed,384,https://github.com/qubvel/efficientnet/compare/v1.0.0
123192383,906d7068545464ee3b450eaab34fcc3cf9b6bc6a,PassedToFailed,passed,371,https://github.com/qubvel/efficientnet/pull/58
122622436,f3f6fede929d1f720162682f04a4c0a4bc13f1ce,PassedToFailed,failed,196,https://github.com/qubvel/efficientnet/pull/58
122622436,f3f6fede929d1f720162682f04a4c0a4bc13f1ce,FailedToPassed,failed,196,https://github.com/qubvel/efficientnet/pull/38
122622415,f426c590835ba340f8e2d36c0825030c307defef,FailedToPassed,passed,366,https://github.com/qubvel/efficientnet/pull/38
121922046,48e36b49f36e7dadfe59b7fd76a6f0a1d2e6c0df,PassedToErrored,passed,407,https://github.com/qubvel/efficientnet/pull/53
121922014,5c6f969c4b93e7e2195689cd01669fc19818e157,PassedToErrored,errored,225,https://github.com/qubvel/efficientnet/pull/53
121922014,5c6f969c4b93e7e2195689cd01669fc19818e157,ErroredToPassed,errored,225,https://github.com/qubvel/efficientnet/compare/5a3f95740e44...97a5f46938dd
121921966,97a5f46938dd20369478d43c40dbcbe267d144b3,ErroredToPassed,passed,401,https://github.com/qubvel/efficientnet/compare/5a3f95740e44...97a5f46938dd
121589489,7133d30c833103470992c1b27bec5d887e83c1bf,PassedToErrored,passed,385,https://github.com/qubvel/efficientnet/pull/49
121589412,40b88a6224afe5101797d43849f5533f7fea451b,PassedToErrored,errored,197,https://github.com/qubvel/efficientnet/pull/49
121589412,40b88a6224afe5101797d43849f5533f7fea451b,ErroredToPassed,errored,197,https://github.com/qubvel/efficientnet/compare/3646a41b3a4f...05308a7b6ba5
121588074,05308a7b6ba5c0edc10f83a5d5bb5cd886da96e5,ErroredToPassed,passed,376,https://github.com/qubvel/efficientnet/compare/3646a41b3a4f...05308a7b6ba5
121586657,07f6a0774018a3e5d363d337828c1f0c784fc453,FailedToPassed,failed,230,https://github.com/qubvel/efficientnet/compare/c993591172f6...293f19a03aa7
120909890,293f19a03aa74161fe1bb3971833761422134c74,FailedToPassed,passed,373,https://github.com/qubvel/efficientnet/compare/c993591172f6...293f19a03aa7
120258300,09a915ddca2c93bb0363e4b9effec1f470a1fbd0,PassedToFailed,passed,396,https://github.com/qubvel/efficientnet/compare/d1aee18bd1f2...bf8e7ee7a812
120245059,bf8e7ee7a8126a44662fb593def2844a62755715,PassedToFailed,failed,248,https://github.com/qubvel/efficientnet/compare/d1aee18bd1f2...bf8e7ee7a812
120244759,1f01fb38e13fd296b8287a9828820d9779653df2,ErroredToPassed,errored,151,https://github.com/qubvel/efficientnet/compare/d1e20c1c5754...ab01e47e3308
120243734,ab01e47e33085b361aba9de4fee6631ce6b168e9,ErroredToPassed,passed,379,https://github.com/qubvel/efficientnet/compare/d1e20c1c5754...ab01e47e3308
120195284,89193bbd4330e15d2bb6fa70b803815420280ef0,PassedToFailed,passed,373,https://github.com/qubvel/efficientnet/compare/d7541b8fbcd2...695f2b4a58e4
120193957,695f2b4a58e4e9596d6379e3fbbfcde12796be6c,PassedToFailed,failed,359,https://github.com/qubvel/efficientnet/compare/d7541b8fbcd2...695f2b4a58e4
120079674,1fff2787f532d70becc80d531ff6100d762a2cdb,FailedToPassed,failed,356,https://github.com/qubvel/efficientnet/compare/5aa2a67f38b7...498d81f3ce25
120077630,498d81f3ce259ebb43baf60c4cd420bf94a16c3f,FailedToPassed,passed,184,https://github.com/qubvel/efficientnet/compare/5aa2a67f38b7...498d81f3ce25
120077630,498d81f3ce259ebb43baf60c4cd420bf94a16c3f,PassedToFailed,passed,184,https://github.com/qubvel/efficientnet/compare/08a96d3d9605...5aa2a67f38b7
120076821,5aa2a67f38b7c686f8ca324a2373a16f41e96f1b,PassedToFailed,failed,117,https://github.com/qubvel/efficientnet/compare/08a96d3d9605...5aa2a67f38b7
120007665,21295690a847fc85a279f29b119b695267d88d9b,FailedToPassed,failed,115,https://github.com/qubvel/efficientnet/compare/8aa3fa5479ec...d1aee18bd1f2
120005526,d1aee18bd1f2a31f9b9fe20b0ab020e726db8d66,FailedToPassed,passed,189,https://github.com/qubvel/efficientnet/compare/8aa3fa5479ec...d1aee18bd1f2
119319349,8aa3fa5479ec006195f220287b2d18eb90405f96,PassedToErrored,passed,26,https://github.com/qubvel/efficientnet/compare/v0.0.4
119318551,61ad8a95280eaeb09a64b3a5b291f7c58d8802fd,PassedToErrored,errored,39,https://github.com/qubvel/efficientnet/compare/v0.0.4
119318551,61ad8a95280eaeb09a64b3a5b291f7c58d8802fd,ErroredToPassed,errored,39,https://github.com/qubvel/efficientnet/compare/68bd8d726157...61ad8a95280e
119317276,61ad8a95280eaeb09a64b3a5b291f7c58d8802fd,ErroredToPassed,passed,26,https://github.com/qubvel/efficientnet/compare/68bd8d726157...61ad8a95280e
119317276,61ad8a95280eaeb09a64b3a5b291f7c58d8802fd,PassedToErrored,passed,26,https://github.com/qubvel/efficientnet/compare/v0.0.4
119315636,68bd8d726157276c6dc69da13321f7e8328b205b,PassedToErrored,errored,38,https://github.com/qubvel/efficientnet/compare/v0.0.4
