BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
774540302,b37eec014f864138bccdb5cc6a8ac7a1408fd657,FailedToPassed,failed,460,https://github.com/sammous/spacy-lefff/compare/eaee3ecb00617e13313f3f206a767f9f1c22e403...b37eec014f864138bccdb5cc6a8ac7a1408fd657
773807144,b37eec014f864138bccdb5cc6a8ac7a1408fd657,FailedToPassed,passed,490,https://github.com/sammous/spacy-lefff/compare/eaee3ecb00617e13313f3f206a767f9f1c22e403...b37eec014f864138bccdb5cc6a8ac7a1408fd657
768454845,b37eec014f864138bccdb5cc6a8ac7a1408fd657,PassedToFailed,passed,426,https://github.com/sammous/spacy-lefff/compare/eaee3ecb00617e13313f3f206a767f9f1c22e403...b37eec014f864138bccdb5cc6a8ac7a1408fd657
767585683,b37eec014f864138bccdb5cc6a8ac7a1408fd657,PassedToFailed,failed,422,https://github.com/sammous/spacy-lefff/compare/eaee3ecb00617e13313f3f206a767f9f1c22e403...b37eec014f864138bccdb5cc6a8ac7a1408fd657
767585683,b37eec014f864138bccdb5cc6a8ac7a1408fd657,FailedToPassed,failed,422,https://github.com/sammous/spacy-lefff/compare/eaee3ecb00617e13313f3f206a767f9f1c22e403...b37eec014f864138bccdb5cc6a8ac7a1408fd657
766802022,b37eec014f864138bccdb5cc6a8ac7a1408fd657,FailedToPassed,passed,420,https://github.com/sammous/spacy-lefff/compare/eaee3ecb00617e13313f3f206a767f9f1c22e403...b37eec014f864138bccdb5cc6a8ac7a1408fd657
762818179,5384dfb1ad812b846b5b3b8c1c70e5160275f263,PassedToErrored,passed,416,https://github.com/sammous/spacy-lefff/pull/32
762818120,ce603dd2bfd40d6dde8bbe390215f729f10b4f2e,PassedToErrored,errored,80,https://github.com/sammous/spacy-lefff/pull/32
762818120,ce603dd2bfd40d6dde8bbe390215f729f10b4f2e,ErroredToPassed,errored,80,https://github.com/sammous/spacy-lefff/compare/0a540754a631...8d84689cd7f7
762813609,8d84689cd7f7ec52499abfa15d00da08e5998406,ErroredToPassed,passed,416,https://github.com/sammous/spacy-lefff/compare/0a540754a631...8d84689cd7f7
