BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
763802818,596a99c3660947693722204fdf8768bba9629a52,PassedToFailed,passed,14795,https://github.com/samuelstjean/nlsam/compare/5e93ee34afc1...19cb99b840da
763529937,19cb99b840da0e458cf612c1f008ef508b1bd4be,PassedToFailed,failed,5968,https://github.com/samuelstjean/nlsam/compare/5e93ee34afc1...19cb99b840da
763527254,e3fa773cbb5020a6ef9461ae7e84bc98e1eb7e1f,ErroredToPassed,errored,416,https://github.com/samuelstjean/nlsam/compare/f784327fee41...596a99c36609
763527174,596a99c3660947693722204fdf8768bba9629a52,ErroredToPassed,passed,14585,https://github.com/samuelstjean/nlsam/compare/f784327fee41...596a99c36609
747930373,f784327fee41bdcfb8bdbb12cf60075d52380493,PassedToErrored,passed,14753,https://github.com/samuelstjean/nlsam/compare/dbf1045cd0d4a073d5b91bab787bed26e7dd9260...f784327fee41bdcfb8bdbb12cf60075d52380493
746561549,f784327fee41bdcfb8bdbb12cf60075d52380493,PassedToErrored,errored,12739,https://github.com/samuelstjean/nlsam/compare/dbf1045cd0d4a073d5b91bab787bed26e7dd9260...f784327fee41bdcfb8bdbb12cf60075d52380493
732699343,f784327fee41bdcfb8bdbb12cf60075d52380493,ErroredToPassed,errored,12572,https://github.com/samuelstjean/nlsam/compare/d208c51be542^...c12cec52916c
731680172,c12cec52916cb284b514ec453ce05ce9ae5c0927,ErroredToPassed,passed,12171,https://github.com/samuelstjean/nlsam/compare/d208c51be542^...c12cec52916c
731680172,c12cec52916cb284b514ec453ce05ce9ae5c0927,PassedToErrored,passed,12171,https://github.com/samuelstjean/nlsam/compare/dbf1045cd0d4a073d5b91bab787bed26e7dd9260...f784327fee41bdcfb8bdbb12cf60075d52380493
730684538,f784327fee41bdcfb8bdbb12cf60075d52380493,PassedToErrored,errored,12477,https://github.com/samuelstjean/nlsam/compare/dbf1045cd0d4a073d5b91bab787bed26e7dd9260...f784327fee41bdcfb8bdbb12cf60075d52380493
726750520,f784327fee41bdcfb8bdbb12cf60075d52380493,ErroredToPassed,errored,12623,https://github.com/samuelstjean/nlsam/compare/dbf1045cd0d4a073d5b91bab787bed26e7dd9260...f784327fee41bdcfb8bdbb12cf60075d52380493
724640321,f784327fee41bdcfb8bdbb12cf60075d52380493,ErroredToPassed,passed,14737,https://github.com/samuelstjean/nlsam/compare/dbf1045cd0d4a073d5b91bab787bed26e7dd9260...f784327fee41bdcfb8bdbb12cf60075d52380493
709743703,c3f20196b15d8136feca229734a45a9c2353d073,PassedToFailed,passed,11955,https://github.com/samuelstjean/nlsam/pull/96
709739772,2e1bd8a37398847cf2f940df34826972cf729b1a,PassedToFailed,failed,2078,https://github.com/samuelstjean/nlsam/pull/96
709689578,29a5a86998b9a455051557d27c8229473d2c2bb4,FailedToPassed,failed,2394,https://github.com/samuelstjean/nlsam/compare/994e299a6ee3dabcdba82e6f6b0a23a60256ed5f...45396e2bc026819ff527a372e3a61951bdc6ca03
709689166,45396e2bc026819ff527a372e3a61951bdc6ca03,FailedToPassed,passed,13787,https://github.com/samuelstjean/nlsam/compare/994e299a6ee3dabcdba82e6f6b0a23a60256ed5f...45396e2bc026819ff527a372e3a61951bdc6ca03
709689166,45396e2bc026819ff527a372e3a61951bdc6ca03,PassedToFailed,passed,13787,https://github.com/samuelstjean/nlsam/pull/96
709688188,1446f2c42af49e90722866ef4218a16a8914ffad,PassedToFailed,failed,2345,https://github.com/samuelstjean/nlsam/pull/96
709585852,dc6547a168c80b1df85c1ecf00b46373182312f3,ErroredToPassed,errored,2152,https://github.com/samuelstjean/nlsam/compare/0a360aa40774...45396e2bc026
709213479,45396e2bc026819ff527a372e3a61951bdc6ca03,ErroredToPassed,passed,14131,https://github.com/samuelstjean/nlsam/compare/0a360aa40774...45396e2bc026
709193547,0a360aa40774133b588d594d7832afc6137ffefe,PassedToErrored,passed,14288,https://github.com/samuelstjean/nlsam/commit/ec1b588d07cc
709192321,ec1b588d07cc88e810214de14943abf418421009,PassedToErrored,errored,674,https://github.com/samuelstjean/nlsam/commit/ec1b588d07cc
709176907,10e9639ed62ce24c276f6e9643d5fe3adcfb35bb,ErroredToPassed,errored,3329,https://github.com/samuelstjean/nlsam/compare/1be70381ebb3...dc6e2f4148ba
709163027,dc6e2f4148babccded01c5020dc81ca3207f0925,ErroredToPassed,passed,14310,https://github.com/samuelstjean/nlsam/compare/1be70381ebb3...dc6e2f4148ba
705959710,a438259a429ce1974af31c36723fd109400fbfa7,PassedToErrored,passed,14040,https://github.com/samuelstjean/nlsam/pull/94
705959114,7ea4c2762638210d17a579419e0f9a50f3a6bf03,PassedToErrored,errored,720,https://github.com/samuelstjean/nlsam/pull/94
705954375,123e61fa96f1409b72e98c47fe2e46eb9c70ffdd,ErroredToPassed,errored,5223,https://github.com/samuelstjean/nlsam/compare/1930b89da1c7887855d274a1673d6dca0156a725...2d1c70342daa93b6223843ff5629926f34238ec3
705102840,2d1c70342daa93b6223843ff5629926f34238ec3,ErroredToPassed,passed,14756,https://github.com/samuelstjean/nlsam/compare/1930b89da1c7887855d274a1673d6dca0156a725...2d1c70342daa93b6223843ff5629926f34238ec3
668336316,2d1c70342daa93b6223843ff5629926f34238ec3,PassedToErrored,passed,13716,https://github.com/samuelstjean/nlsam/compare/1930b89da1c7887855d274a1673d6dca0156a725...2d1c70342daa93b6223843ff5629926f34238ec3
665462571,2d1c70342daa93b6223843ff5629926f34238ec3,PassedToErrored,errored,9554,https://github.com/samuelstjean/nlsam/compare/1930b89da1c7887855d274a1673d6dca0156a725...2d1c70342daa93b6223843ff5629926f34238ec3
665462571,2d1c70342daa93b6223843ff5629926f34238ec3,ErroredToPassed,errored,9554,https://github.com/samuelstjean/nlsam/compare/1930b89da1c7887855d274a1673d6dca0156a725...2d1c70342daa93b6223843ff5629926f34238ec3
662689739,2d1c70342daa93b6223843ff5629926f34238ec3,ErroredToPassed,passed,13436,https://github.com/samuelstjean/nlsam/compare/1930b89da1c7887855d274a1673d6dca0156a725...2d1c70342daa93b6223843ff5629926f34238ec3
660655694,a6137de18c964bc182ced4cae6f3ad20b997d6d1,PassedToErrored,passed,16191,https://github.com/samuelstjean/nlsam/commit/ce5ddb1c7c54
660621153,ce5ddb1c7c543fcab318f859eec40f4192250075,PassedToErrored,errored,12886,https://github.com/samuelstjean/nlsam/commit/ce5ddb1c7c54
