BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
166624461,a689c5f1d6f5ff1d665aec99b8db6262d3442c3a,PassedToErrored,passed,512,https://github.com/sethah/deeptennis/compare/2184aba82b6a...090a9f575e0a
166542498,090a9f575e0aea041e44d9a9a086602f2f9a1114,PassedToErrored,errored,25,https://github.com/sethah/deeptennis/compare/2184aba82b6a...090a9f575e0a
166542498,090a9f575e0aea041e44d9a9a086602f2f9a1114,ErroredToPassed,errored,25,https://github.com/sethah/deeptennis/compare/b22ef323190e...2184aba82b6a
163569576,2184aba82b6a564541cf3422498464baae0f2d9f,ErroredToPassed,passed,504,https://github.com/sethah/deeptennis/compare/b22ef323190e...2184aba82b6a
114848982,29a47eded1813e2b9016b5616c2acbff11d416dd,PassedToFailed,passed,299,https://github.com/sethah/deeptennis/compare/527e55d1c71b...e3574c7285ce
114532969,e3574c7285ceac263d3f6efbeecc6e72161a2803,PassedToFailed,failed,325,https://github.com/sethah/deeptennis/compare/527e55d1c71b...e3574c7285ce
101885036,e21bd6e21454fb41b079a23a6346ca99eb9223ff,ErroredToPassed,errored,16,https://github.com/sethah/deeptennis/compare/e21bd6e21454...eae0a7525a80
101885585,eae0a7525a804eb07dcb188180a90a2590fcf981,ErroredToPassed,passed,278,https://github.com/sethah/deeptennis/compare/e21bd6e21454...eae0a7525a80
101885585,eae0a7525a804eb07dcb188180a90a2590fcf981,PassedToErrored,passed,278,https://github.com/sethah/deeptennis/compare/dcff3f5b972b...4ddc237b813c
101884864,4ddc237b813ca23628ccaa4b299a94e13d18ecd5,PassedToErrored,errored,18,https://github.com/sethah/deeptennis/compare/dcff3f5b972b...4ddc237b813c
