BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
445921951,656c88743f94df38131ab7dae92c02ac81a61550,FailedToPassed,failed,991,https://github.com/skggm/skggm/compare/38325be6ce8a400fc9126487c1d3d9e7d74ba635...656c88743f94df38131ab7dae92c02ac81a61550
432706766,656c88743f94df38131ab7dae92c02ac81a61550,FailedToPassed,passed,1011,https://github.com/skggm/skggm/compare/38325be6ce8a400fc9126487c1d3d9e7d74ba635...656c88743f94df38131ab7dae92c02ac81a61550
427474671,65de41943b2eec7a71f2a9aa2f4b8f64f0912872,PassedToErrored,passed,891,https://github.com/skggm/skggm/pull/116
427474277,ea830c4b8f7dfc68098920d7525ce8f16af808f0,PassedToErrored,errored,66,https://github.com/skggm/skggm/pull/116
427474277,ea830c4b8f7dfc68098920d7525ce8f16af808f0,ErroredToPassed,errored,66,https://github.com/skggm/skggm/pull/104
426964644,2d034fceffbcb23d91d86d6a64ce12f85437bffc,ErroredToPassed,passed,1152,https://github.com/skggm/skggm/pull/104
426461535,402ad3b1fa503abaceec49dac677c2863f60408e,PassedToFailed,passed,1075,https://github.com/skggm/skggm/pull/104
426419780,8e5475d88880b6f6fa9a9b34fc390d344ad166cd,PassedToFailed,failed,1016,https://github.com/skggm/skggm/pull/104
426419780,8e5475d88880b6f6fa9a9b34fc390d344ad166cd,FailedToPassed,failed,1016,https://github.com/skggm/skggm/pull/114
426241407,e32dde44a45bd230ef475057aee099dded37e3cd,FailedToPassed,passed,965,https://github.com/skggm/skggm/pull/114
426238782,3f72ee0951eff5480c8332889f1f254f608ae518,PassedToFailed,passed,929,https://github.com/skggm/skggm/pull/114
426238078,56adf66e822ace894cc7c82b96ef8cfca195cfe1,PassedToFailed,failed,837,https://github.com/skggm/skggm/pull/114
426238078,56adf66e822ace894cc7c82b96ef8cfca195cfe1,FailedToPassed,failed,837,https://github.com/skggm/skggm/pull/111
426231567,d86719e2b5e6d5383bcfcd29b8b1ac2c6bb1900c,FailedToPassed,passed,952,https://github.com/skggm/skggm/pull/111
396188160,0f61388190ca6d59907a76db3eaddbaeb41c6024,PassedToFailed,passed,2044,https://github.com/skggm/skggm/pull/111
