BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
508609513,be38f5b30f5c26100f84488a7c75e88fcb153052,PassedToFailed,passed,90,https://github.com/sorenlind/lemmy/compare/cd72e7fee696...127b23a507d2
508607540,127b23a507d2fe5cc57149d04dd67ec3e8837219,PassedToFailed,failed,156,https://github.com/sorenlind/lemmy/compare/cd72e7fee696...127b23a507d2
508604819,cd72e7fee6960c33125ab472419690a65f14f419,FailedToPassed,failed,52,https://github.com/sorenlind/lemmy/compare/ab426c4f44e6...62885a671a75
508602141,62885a671a753f5db50a9b66ae683affffbdb6d7,FailedToPassed,passed,62,https://github.com/sorenlind/lemmy/compare/ab426c4f44e6...62885a671a75
508602141,62885a671a753f5db50a9b66ae683affffbdb6d7,PassedToFailed,passed,62,https://github.com/sorenlind/lemmy/compare/cfec48c02ec2...ab426c4f44e6
508591234,ab426c4f44e6b4ae8aca0633ca26ea143f1443f4,PassedToFailed,failed,82,https://github.com/sorenlind/lemmy/compare/cfec48c02ec2...ab426c4f44e6
508589277,cfec48c02ec2730ca6125bf8f04dc1a862084ba8,ErroredToPassed,errored,73,https://github.com/sorenlind/lemmy/compare/39bc6dd284cf...d6408e753297
508588046,d6408e753297c746d11714465bcf039e2e914125,ErroredToPassed,passed,60,https://github.com/sorenlind/lemmy/compare/39bc6dd284cf...d6408e753297
508586684,39bc6dd284cfd77f2f3b597f1c26063ac908b6bd,PassedToErrored,passed,132,https://github.com/sorenlind/lemmy/compare/04f8dabb2381...acf138b88941
508583846,acf138b889418ad1a30aed83635068c81387bdbb,PassedToErrored,errored,84,https://github.com/sorenlind/lemmy/compare/04f8dabb2381...acf138b88941
508583159,04f8dabb2381bfd8bf74dbfb2540df73db0227af,ErroredToPassed,errored,156,https://github.com/sorenlind/lemmy/compare/d96c860b3f26...e1d5f6eefe86
508574419,e1d5f6eefe86ca00b331b293617b5fe327aef8c9,ErroredToPassed,passed,64,https://github.com/sorenlind/lemmy/compare/d96c860b3f26...e1d5f6eefe86
340105180,0dc96ba63039f67dcb787d01c3176fee8df47f52,PassedToFailed,passed,76,https://github.com/fraggle-inc/lemmy/compare/314c62253632...92602ad8ea86
340102392,92602ad8ea86cda5ee4da7a4ca6246cd3dea1788,PassedToFailed,failed,76,https://github.com/fraggle-inc/lemmy/compare/314c62253632...92602ad8ea86
340102392,92602ad8ea86cda5ee4da7a4ca6246cd3dea1788,FailedToPassed,failed,76,https://github.com/fraggle-inc/lemmy/compare/461729b45f34...314c62253632
340099998,314c62253632348b21819920e1d9ec86216898b9,FailedToPassed,passed,71,https://github.com/fraggle-inc/lemmy/compare/461729b45f34...314c62253632
339426764,5cc8a2dbd279509f7a8dfbb3dad7ab936423fb01,PassedToFailed,passed,34,https://github.com/fraggle-inc/lemma/compare/87c3f0decbf6...c725b2e794b7
339424861,c725b2e794b7bb7fe79210f5193fb0cc734eac28,PassedToFailed,failed,43,https://github.com/fraggle-inc/lemma/compare/87c3f0decbf6...c725b2e794b7
339360796,c290ae7e3c08419536fee23ffb5fdacaf635e6f3,FailedToPassed,failed,44,https://github.com/fraggle-inc/lemma/compare/3a6d2f2d1fb1...cc71cc134ef8
339097452,cc71cc134ef8942046b211800528dd8ac53bdec3,FailedToPassed,passed,56,https://github.com/fraggle-inc/lemma/compare/3a6d2f2d1fb1...cc71cc134ef8
334625799,94d344c1d93cba8594dc681cdf6bdc15579d01ed,PassedToFailed,passed,44,https://github.com/fraggle-inc/lemma/compare/778e4b230fdd...957d8384eb4c
334610809,957d8384eb4cdaecbf18f89b391f5d9175bec51e,PassedToFailed,failed,50,https://github.com/fraggle-inc/lemma/compare/778e4b230fdd...957d8384eb4c
334610809,957d8384eb4cdaecbf18f89b391f5d9175bec51e,FailedToPassed,failed,50,https://github.com/fraggle-inc/lemma/compare/a48d19d09b1c...778e4b230fdd
292269730,778e4b230fddc93899d695286c73a35cdc8702b4,FailedToPassed,passed,87,https://github.com/fraggle-inc/lemma/compare/a48d19d09b1c...778e4b230fdd
