BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
502769621,2f49d18608a4a6e78fa586be757f99278fad8098,ErroredToPassed,errored,100,https://github.com/tritemio/FRETBursts/pull/70
440803516,16a5d02783b8f9db34432ad75107bb8b4f5ccf8e,ErroredToPassed,passed,1305,https://github.com/tritemio/FRETBursts/pull/70
405700130,6983bfcd1c7b15835a47bb9645dd133e4f09584b,PassedToFailed,passed,1477,https://github.com/tritemio/FRETBursts/pull/67
405372944,f7fe4522100dd76032f27dd5bd92a0b273f167f1,PassedToFailed,failed,1137,https://github.com/tritemio/FRETBursts/pull/67
405372944,f7fe4522100dd76032f27dd5bd92a0b273f167f1,FailedToPassed,failed,1137,https://github.com/tritemio/FRETBursts/pull/67
405294631,d4115e9d61e24e29c272dd6b665924e0b6889042,FailedToPassed,passed,1187,https://github.com/tritemio/FRETBursts/pull/67
405294631,d4115e9d61e24e29c272dd6b665924e0b6889042,PassedToFailed,passed,1187,https://github.com/tritemio/FRETBursts/pull/67
405274964,3ada469d930d93790b4b30d7fc3d6ebfb98b9efb,PassedToFailed,failed,1288,https://github.com/tritemio/FRETBursts/pull/67
405274964,3ada469d930d93790b4b30d7fc3d6ebfb98b9efb,FailedToPassed,failed,1288,https://github.com/tritemio/FRETBursts/pull/67
389392426,7d725a53d89d74ec84e52d46eb76ae46fc8e3ab1,FailedToPassed,passed,2264,https://github.com/tritemio/FRETBursts/pull/67
258395183,5820e59cffcc47b03cab9b0cc52e94d5af7b233f,PassedToFailed,passed,1635,https://github.com/tritemio/FRETBursts/compare/16291c8dad8b...c0ef9c96461e
258386462,c0ef9c96461e7b6048a78088ced06cb4c4f01ec9,PassedToFailed,failed,1286,https://github.com/tritemio/FRETBursts/compare/16291c8dad8b...c0ef9c96461e
258368250,394e090b22738767c096be8a1efbfc4414480cb2,FailedToPassed,failed,1507,https://github.com/tritemio/FRETBursts/compare/c0e258c9b8b8...886855e82546
257559788,886855e8254683f0023bbe9e9b898e8b109964a4,FailedToPassed,passed,1613,https://github.com/tritemio/FRETBursts/compare/c0e258c9b8b8...886855e82546
257516542,cda5d5ef6544163a94e9115075488962b8a239e7,PassedToFailed,passed,1639,https://github.com/tritemio/FRETBursts/compare/9bb63ccd4efd...216718aefa3f
257512031,216718aefa3fd2fd26a59f24ba5d17a18d7245e3,PassedToFailed,failed,2062,https://github.com/tritemio/FRETBursts/compare/9bb63ccd4efd...216718aefa3f
257511615,9bb63ccd4efdeef53e8a528f2e76126238179ac2,FailedToPassed,failed,2008,https://github.com/tritemio/FRETBursts/compare/957da6f60d5c...b677f2922ee7
257183986,b677f2922ee7d6c898ec97144af7916c7617aba5,FailedToPassed,passed,1921,https://github.com/tritemio/FRETBursts/compare/957da6f60d5c...b677f2922ee7
255136906,3ea6518b449b2a13384a6b918f0f63d34be74801,PassedToFailed,passed,1862,https://github.com/tritemio/FRETBursts/compare/5ed68bbf56e2...794c5f09a5bf
255134736,794c5f09a5bff89f39c6892eaab2ea4352f4ac5d,PassedToFailed,failed,1716,https://github.com/tritemio/FRETBursts/compare/5ed68bbf56e2...794c5f09a5bf
255098490,c25b682a191a72fe2a6835d49bafc47acd57bc36,FailedToPassed,failed,1416,https://github.com/tritemio/FRETBursts/compare/aa083774a7c9...8229a3a39762
255021323,8229a3a397620a263a8855d5125d7efcb3e3de70,FailedToPassed,passed,2229,https://github.com/tritemio/FRETBursts/compare/aa083774a7c9...8229a3a39762
255021323,8229a3a397620a263a8855d5125d7efcb3e3de70,PassedToFailed,passed,2229,https://github.com/tritemio/FRETBursts/compare/c519e789e123...8f8dbfe148c0
254993561,8f8dbfe148c09bf3b45995219704a118b283d069,PassedToFailed,failed,1478,https://github.com/tritemio/FRETBursts/compare/c519e789e123...8f8dbfe148c0
254993561,8f8dbfe148c09bf3b45995219704a118b283d069,FailedToPassed,failed,1478,https://github.com/tritemio/FRETBursts/compare/6d88a3842a15...aa083774a7c9
254984656,aa083774a7c9b4a98152b89cbf98a9cb8579d1be,FailedToPassed,passed,1654,https://github.com/tritemio/FRETBursts/compare/6d88a3842a15...aa083774a7c9
254984656,aa083774a7c9b4a98152b89cbf98a9cb8579d1be,PassedToFailed,passed,1654,https://github.com/tritemio/FRETBursts/compare/c44f9bc9ba5d...c519e789e123
254747001,c519e789e123fababd9f179a010723bb19dad079,PassedToFailed,failed,1511,https://github.com/tritemio/FRETBursts/compare/c44f9bc9ba5d...c519e789e123
254747001,c519e789e123fababd9f179a010723bb19dad079,FailedToPassed,failed,1511,https://github.com/tritemio/FRETBursts/compare/639173106cbe...c44f9bc9ba5d
