BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
727538856,6d2d496660d6f1c3ccd883a56e9c682725ac9027,FailedToPassed,failed,139,https://github.com/weld-project/weld/pull/513
725502574,9336286b63c3137356d10597d6832191b91dd272,FailedToPassed,passed,841,https://github.com/weld-project/weld/pull/513
669919777,af13efd18b2bfddeeb792dded970104bb8e44bf8,PassedToFailed,passed,896,https://github.com/weld-project/weld/pull/510
669919264,fe9de309b515e6407f33c20f17e0b4fbc3785944,PassedToFailed,failed,867,https://github.com/weld-project/weld/pull/510
669919264,fe9de309b515e6407f33c20f17e0b4fbc3785944,FailedToPassed,failed,867,https://github.com/weld-project/weld/pull/510
669874739,fb7f5be35ddfaf0f6086aa68d529f39ebe833d7d,FailedToPassed,passed,900,https://github.com/weld-project/weld/pull/510
664694787,1f82ba4e5c86f5d8f334cd446be63ce931c14a33,PassedToFailed,passed,878,https://github.com/weld-project/weld/pull/508
664593821,ecc13fd6f9f92c9c246fe985e497a8b9403a1343,PassedToFailed,failed,901,https://github.com/weld-project/weld/pull/508
664593821,ecc13fd6f9f92c9c246fe985e497a8b9403a1343,FailedToPassed,failed,901,https://github.com/weld-project/weld/compare/c11aeaa2d68a...9c2e6c0b4c6e
663746945,9c2e6c0b4c6e04433dda4cfa79548d03e2436266,FailedToPassed,passed,900,https://github.com/weld-project/weld/compare/c11aeaa2d68a...9c2e6c0b4c6e
649770661,a4e582d1eb71af120322dde7411eb370659c54b9,PassedToFailed,passed,264,https://github.com/weld-project/weld/pull/499
649768986,5e12ef241a07a6a44a6bb269d159e02f31732ac8,PassedToFailed,failed,158,https://github.com/weld-project/weld/pull/499
649727548,e443e2538e164fe2554a4da0f4fa8d9e34d4947a,ErroredToPassed,errored,212,https://github.com/weld-project/weld/compare/225c2d564fd2...e443e2538e16
649727062,e443e2538e164fe2554a4da0f4fa8d9e34d4947a,ErroredToPassed,passed,455,https://github.com/weld-project/weld/compare/225c2d564fd2...e443e2538e16
649727062,e443e2538e164fe2554a4da0f4fa8d9e34d4947a,PassedToFailed,passed,455,https://github.com/weld-project/weld/pull/499
649726150,e37745420bd9d580cb0727fe535ef3e260bb5b41,PassedToFailed,failed,419,https://github.com/weld-project/weld/pull/499
