BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
209488105,55a88c606f36f923085c0de109cbf053ce6b313d,FailedToPassed,failed,732,https://github.com/1adrianb/face-alignment/compare/ae4c153633ef...bee7072cf683
209487886,bee7072cf683dd4feea3242ff85a1425f2efe9d3,FailedToPassed,passed,725,https://github.com/1adrianb/face-alignment/compare/ae4c153633ef...bee7072cf683
209487886,bee7072cf683dd4feea3242ff85a1425f2efe9d3,PassedToFailed,passed,725,https://github.com/1adrianb/face-alignment/pull/238
209487588,bd9454c4ee8547062d61eec8e7848c84a7544c07,PassedToFailed,failed,2529,https://github.com/1adrianb/face-alignment/pull/238
209442223,3035350c174fc1e105865e4dbc3cbc1f270e14e6,FailedToPassed,failed,2446,https://github.com/1adrianb/face-alignment/compare/ffc8bb499598...ae4c153633ef
209099650,ae4c153633eff1cfb19714dc2ccaa5c99d68ccc9,FailedToPassed,passed,2556,https://github.com/1adrianb/face-alignment/compare/ffc8bb499598...ae4c153633ef
209086514,ebac679e8870d24ca1fa609fc0ec0c064f57b3f8,PassedToErrored,passed,2568,https://github.com/1adrianb/face-alignment/pull/236
209086446,136047c758a83642654a5fd6220d3243438b54b6,PassedToErrored,errored,250,https://github.com/1adrianb/face-alignment/pull/236
209086440,0bcf64874ff6cbcd4c46b1ddd4995e1fcf8de08a,ErroredToPassed,errored,255,https://github.com/1adrianb/face-alignment/pull/236
209083504,32ce2630d032545f6b640b57fbd3f72dd1539d78,ErroredToPassed,passed,2527,https://github.com/1adrianb/face-alignment/pull/236
209071825,1b0dd210d616667322c93297a173b00cec45f4a0,PassedToFailed,passed,2445,https://github.com/1adrianb/face-alignment/pull/235
209068300,0ffe4422acfdfe764cac1b302428fbf4a64e9a74,PassedToFailed,failed,2635,https://github.com/1adrianb/face-alignment/pull/235
209064830,59c4c6caeed8a297600ba608168690571cca295c,ErroredToPassed,errored,1840,https://github.com/1adrianb/face-alignment/compare/7659d32d27f8...632481fc02b3
208441250,632481fc02b3e194aeacbedaf65b76cf5ad4d580,ErroredToPassed,passed,1907,https://github.com/1adrianb/face-alignment/compare/7659d32d27f8...632481fc02b3
184032484,8d8dda2c64500dcaf567bf74f5f08fcf41854408,PassedToErrored,passed,1972,https://github.com/1adrianb/face-alignment/pull/207
183840758,28934c7cef70031138ba888db773c551f8dd1e79,PassedToErrored,errored,2109,https://github.com/1adrianb/face-alignment/pull/207
179584548,af1afa94d73a4262312d59fd98c999d3c98e9fad,ErroredToPassed,errored,3833,https://github.com/1adrianb/face-alignment/compare/c4e2a6b59373...ef9569b00831
178450259,ef9569b00831b7c835d44dcebe4439d13998d359,ErroredToPassed,passed,2626,https://github.com/1adrianb/face-alignment/compare/c4e2a6b59373...ef9569b00831
178447001,79b5d65e68f692d6a258da85eae0c8384d244256,PassedToFailed,passed,2582,https://github.com/1adrianb/face-alignment/pull/196
178172255,fd24e8af1bd373aad40ecf20887fdf59a61fba31,PassedToFailed,failed,2497,https://github.com/1adrianb/face-alignment/pull/196
178172255,fd24e8af1bd373aad40ecf20887fdf59a61fba31,FailedToPassed,failed,2497,https://github.com/1adrianb/face-alignment/compare/ed3f36489cc1...a6e1a6d1d7b2
177983540,a6e1a6d1d7b2cc8a13e3fb32a53de75226a3c382,FailedToPassed,passed,2594,https://github.com/1adrianb/face-alignment/compare/ed3f36489cc1...a6e1a6d1d7b2
177979681,c29e1f94c14b3b960e1acbac8e67fe5dd395e463,PassedToFailed,passed,2665,https://github.com/1adrianb/face-alignment/compare/83578396f75f...f9b386bbe07b
177976927,f9b386bbe07bcfcde4e6ac2b2866b4381b449d8d,PassedToFailed,failed,2718,https://github.com/1adrianb/face-alignment/compare/83578396f75f...f9b386bbe07b
176406954,390cb429136b0bcddd885ed9d883833c8bfc6513,FailedToPassed,failed,2635,https://github.com/1adrianb/face-alignment/compare/ecb963efa71a...6a7731168dbb
125292626,6a7731168dbb1a15f9ecd5fe4c79c992f179a622,FailedToPassed,passed,3094,https://github.com/1adrianb/face-alignment/compare/ecb963efa71a...6a7731168dbb
125292626,6a7731168dbb1a15f9ecd5fe4c79c992f179a622,PassedToFailed,passed,3094,https://github.com/1adrianb/face-alignment/compare/37102d9250b0...ecb963efa71a
125291164,ecb963efa71a092f31c5bf03521b9553fe81ecd5,PassedToFailed,failed,2462,https://github.com/1adrianb/face-alignment/compare/37102d9250b0...ecb963efa71a
115494372,01b75a9e4d6f740d90b3c4f0b23c11a2c049c213,FailedToPassed,failed,2737,https://github.com/1adrianb/face-alignment/compare/93e1d3cbd17d...719511a1d0cc
115493815,719511a1d0cca8bd2e262cc67c87468ac3988b34,FailedToPassed,passed,2691,https://github.com/1adrianb/face-alignment/compare/93e1d3cbd17d...719511a1d0cc
111942031,b1c4374e5b34cba842a0064a172aa45c1ba2fe6f,PassedToFailed,passed,2428,https://github.com/1adrianb/face-alignment/pull/131
108805858,90dd664ba7e184f7f05110ca73b532689de4887c,PassedToFailed,failed,2540,https://github.com/1adrianb/face-alignment/pull/131
108805858,90dd664ba7e184f7f05110ca73b532689de4887c,FailedToPassed,failed,2540,https://github.com/1adrianb/face-alignment/compare/3c90c85786a4...93e1d3cbd17d
95283931,93e1d3cbd17d0fe69dc79de42c6c18596621aeb2,FailedToPassed,passed,2525,https://github.com/1adrianb/face-alignment/compare/3c90c85786a4...93e1d3cbd17d
95273266,87a496b158ff9a215aa6f48262f4e13d8e6c4dd7,PassedToFailed,passed,2827,https://github.com/1adrianb/face-alignment/compare/3750f83b4d7b...f90efe38fb0b
95271714,f90efe38fb0b1019e5bdc06b8a325aefe44893ea,PassedToFailed,failed,2548,https://github.com/1adrianb/face-alignment/compare/3750f83b4d7b...f90efe38fb0b
95271714,f90efe38fb0b1019e5bdc06b8a325aefe44893ea,FailedToPassed,failed,2548,https://github.com/1adrianb/face-alignment/compare/v1.0.0
87772997,3750f83b4d7bf3f4ba6318e40a4292e1aeb241a4,FailedToPassed,passed,2403,https://github.com/1adrianb/face-alignment/compare/v1.0.0
