BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
203189669,1d1495c26742db220df4ccb450fd63be59bc87f2,PassedToFailed,passed,538,https://github.com/GRAAL-Research/poutyne/pull/97
203189255,92c3ffea0fcf659b2aa6f45719140a64c0e8f381,PassedToFailed,failed,568,https://github.com/GRAAL-Research/poutyne/pull/97
203188555,9d78556a6a66a1305e1fe4938aabca5ce5c53941,FailedToPassed,failed,522,https://github.com/GRAAL-Research/poutyne/pull/95
203188424,cbf0e00a688c131934606d1a561a9312efb79ae0,FailedToPassed,passed,549,https://github.com/GRAAL-Research/poutyne/pull/95
203188414,ae05bf355beef7e9bfc5644a0044bfa7e06b8f55,PassedToFailed,passed,572,https://github.com/GRAAL-Research/poutyne/pull/95
203188249,bf3ea78650a956bbad43e39eceda2b7a66d3cc07,PassedToFailed,failed,564,https://github.com/GRAAL-Research/poutyne/pull/95
203180228,523ddfc6829a18f27d9c09ef520b9976f330a1af,FailedToPassed,failed,546,https://github.com/GRAAL-Research/poutyne/compare/60b32f78b992...90ad3e7883e7
203174158,90ad3e7883e78bc3de65561c39717ef9bffba7a9,FailedToPassed,passed,572,https://github.com/GRAAL-Research/poutyne/compare/60b32f78b992...90ad3e7883e7
203174158,90ad3e7883e78bc3de65561c39717ef9bffba7a9,PassedToFailed,passed,572,https://github.com/GRAAL-Research/poutyne/pull/95
203174001,57293b767834686e99650471aa64ecb756e0e81f,PassedToFailed,failed,533,https://github.com/GRAAL-Research/poutyne/pull/95
203173993,1199d5f3bde3c3d52c4c34c245eed42b5a3fe5d7,FailedToPassed,failed,533,https://github.com/GRAAL-Research/poutyne/compare/b86f678de4af...f093d3aecc57
203173710,f093d3aecc5784909f58f739100d0ce1f376982b,FailedToPassed,passed,525,https://github.com/GRAAL-Research/poutyne/compare/b86f678de4af...f093d3aecc57
203173710,f093d3aecc5784909f58f739100d0ce1f376982b,PassedToFailed,passed,525,https://github.com/GRAAL-Research/poutyne/compare/7239145d5915...c34fecc96823
203172734,c34fecc96823bba36e1e7df18a3054d52d6520e6,PassedToFailed,failed,502,https://github.com/GRAAL-Research/poutyne/compare/7239145d5915...c34fecc96823
203172740,fac5e057fd13babf420d50f5beea4afdb6822374,FailedToPassed,failed,486,https://github.com/GRAAL-Research/poutyne/pull/96
203172107,8f660a5c81bd435ff1fb0c9b13a519d79f564984,FailedToPassed,passed,551,https://github.com/GRAAL-Research/poutyne/pull/96
203172096,3a459a8a22e0fd5b827763ed3ce91dad8cfba08f,PassedToFailed,passed,547,https://github.com/GRAAL-Research/poutyne/pull/96
203171035,5655e654aa810e8d4e2402e41e1e16c56960a064,PassedToFailed,failed,526,https://github.com/GRAAL-Research/poutyne/pull/96
203171031,b9df5c04df3f8a9067fb58cdd32458acf8875a69,FailedToPassed,failed,532,https://github.com/GRAAL-Research/poutyne/compare/95c8ed1d8ad4...4bccff01e836
203160710,4bccff01e836a9f0cbb567be12d041984c384f7d,FailedToPassed,passed,542,https://github.com/GRAAL-Research/poutyne/compare/95c8ed1d8ad4...4bccff01e836
203153868,60b32f78b992f12d8c17993e9b70aef1488073cd,PassedToFailed,passed,617,https://github.com/GRAAL-Research/poutyne/pull/97
203149178,1427d4e0a43f09e5cbb63559737b278b7dd81dd8,PassedToFailed,failed,502,https://github.com/GRAAL-Research/poutyne/pull/97
203149171,7239145d59152650750e724edd0ca1f520f410f0,FailedToPassed,failed,505,https://github.com/GRAAL-Research/poutyne/pull/98
203146953,6201d533d458cc0fdc7448af7713940398528693,FailedToPassed,passed,538,https://github.com/GRAAL-Research/poutyne/pull/98
203145287,daf2350bcbf616f770d62f20316b487cfa53626e,PassedToFailed,passed,526,https://github.com/GRAAL-Research/poutyne/pull/97
203144365,30c90584c761b3df947e887ba2adf2abc01a0968,PassedToFailed,failed,489,https://github.com/GRAAL-Research/poutyne/pull/97
203138861,8cef30b34e4e8b82eb3f4b21ce2a459b6a461e1f,FailedToPassed,failed,493,https://github.com/GRAAL-Research/poutyne/pull/96
203119682,e8a9af7f1ff52c4ad20332e050cc6778e0402c41,FailedToPassed,passed,533,https://github.com/GRAAL-Research/poutyne/pull/96
202946241,b1d6f9d5a452891b2da010d72b35acfe5406b2fb,PassedToFailed,passed,512,https://github.com/GRAAL-Research/poutyne/pull/95
202938256,c6b39a084882b09a474b2c2aa5b64111da78500b,PassedToFailed,failed,527,https://github.com/GRAAL-Research/poutyne/pull/95
202878652,b0f88323c42a7db5f5637fdcbaa3d20a2c8b8fab,FailedToPassed,failed,543,https://github.com/GRAAL-Research/poutyne/compare/7b7b88b8a8cb...686d0efe98a2
201863340,686d0efe98a246d2adebee67829dfbe4b8450f0e,FailedToPassed,passed,530,https://github.com/GRAAL-Research/poutyne/compare/7b7b88b8a8cb...686d0efe98a2
201862481,7b7b88b8a8cb467cfe5d1a9c80a8ff40b76e09fd,PassedToFailed,passed,527,https://github.com/GRAAL-Research/poutyne/compare/a0db5f8923d6...96770a13b394
201685711,96770a13b394651cfad8f593e9d20a86a7c8ef00,PassedToFailed,failed,525,https://github.com/GRAAL-Research/poutyne/compare/a0db5f8923d6...96770a13b394
201683337,a0db5f8923d6dd3e08be4e493e46dcfce69c3cef,FailedToPassed,failed,519,https://github.com/GRAAL-Research/poutyne/compare/v1.1
201520310,7cd37a573c04d40db5897e696bc690f45b53edcc,FailedToPassed,passed,522,https://github.com/GRAAL-Research/poutyne/compare/v1.1
196945204,d9e9807566d6eca1c232562477f0088f2cb3bf09,PassedToFailed,passed,523,https://github.com/GRAAL-Research/poutyne/compare/88a12a2354a8...e4fee22d8655
196016322,e4fee22d86556c9b095b511a4eb795dba5bf6a96,PassedToFailed,failed,543,https://github.com/GRAAL-Research/poutyne/compare/88a12a2354a8...e4fee22d8655
196016322,e4fee22d86556c9b095b511a4eb795dba5bf6a96,FailedToPassed,failed,543,https://github.com/GRAAL-Research/poutyne/compare/61f6214b5aad...88a12a2354a8
195879891,88a12a2354a89042cd77b1c02986b286a77209f3,FailedToPassed,passed,531,https://github.com/GRAAL-Research/poutyne/compare/61f6214b5aad...88a12a2354a8
195149987,42d175060e8095b83e650864b1bd808f3a91b460,PassedToErrored,passed,543,https://github.com/GRAAL-Research/poutyne/compare/06622c9e1b9f...bfe9d6e80d47
195148984,bfe9d6e80d471987f1ca260b9e0544a2c1caf389,PassedToErrored,errored,535,https://github.com/GRAAL-Research/poutyne/compare/06622c9e1b9f...bfe9d6e80d47
195142603,06622c9e1b9ff4e285d2bb9695b9169499a5b0e9,ErroredToPassed,errored,521,https://github.com/GRAAL-Research/poutyne/compare/967b2187476c...2456ee930251
195142599,2456ee93025195845c26901ec139c7db0810cefa,ErroredToPassed,passed,534,https://github.com/GRAAL-Research/poutyne/compare/967b2187476c...2456ee930251
195125164,91ba3deea2ec3837fbddd775ec3d721313937005,PassedToFailed,passed,519,https://github.com/GRAAL-Research/poutyne/compare/533a998d6e70...f97ae8eb9c18
195122188,f97ae8eb9c18b5302fcc519e5033854cc7e12c76,PassedToFailed,failed,520,https://github.com/GRAAL-Research/poutyne/compare/533a998d6e70...f97ae8eb9c18
195122189,4d5daff1d32a1dd99c688ad79ddd9644e219bb89,ErroredToPassed,errored,532,https://github.com/GRAAL-Research/poutyne/compare/4fec4ac30574...4d5daff1d32a
195122637,4d5daff1d32a1dd99c688ad79ddd9644e219bb89,ErroredToPassed,passed,511,https://github.com/GRAAL-Research/poutyne/compare/4fec4ac30574...4d5daff1d32a
195122377,533a998d6e70700a835541003ceba3a85dfd82d2,PassedToErrored,passed,523,https://github.com/GRAAL-Research/poutyne/compare/01a45367fe2b...4fec4ac30574
195122216,4fec4ac305745b2bd56049d9efc889eef272bf19,PassedToErrored,errored,529,https://github.com/GRAAL-Research/poutyne/compare/01a45367fe2b...4fec4ac30574
195122216,4fec4ac305745b2bd56049d9efc889eef272bf19,ErroredToPassed,errored,529,https://github.com/GRAAL-Research/poutyne/compare/029107e30471...b3d851b3886f
195122613,b3d851b3886f6ced1c9cd69551a432f0487834d2,ErroredToPassed,passed,505,https://github.com/GRAAL-Research/poutyne/compare/029107e30471...b3d851b3886f
195122486,217133e55d45a368871687707161cf342a5e7ffb,PassedToErrored,passed,512,https://github.com/GRAAL-Research/poutyne/compare/02cc8931987c...2c8baffc1c04
195122407,2c8baffc1c049beb85c151135510cdd482bb41d6,PassedToErrored,errored,529,https://github.com/GRAAL-Research/poutyne/compare/02cc8931987c...2c8baffc1c04
195122407,2c8baffc1c049beb85c151135510cdd482bb41d6,ErroredToPassed,errored,529,https://github.com/GRAAL-Research/poutyne/compare/02cc8931987c...2c8baffc1c04
195122479,2c8baffc1c049beb85c151135510cdd482bb41d6,ErroredToPassed,passed,517,https://github.com/GRAAL-Research/poutyne/compare/02cc8931987c...2c8baffc1c04
195122346,9c2566cf638224034ebd3e5e14c056493000295c,PassedToFailed,passed,512,https://github.com/GRAAL-Research/poutyne/compare/3d218945d7c3...fe8aef70d7c1
195122547,fe8aef70d7c1378536a0aba9928ff9d9550c80e2,PassedToFailed,failed,490,https://github.com/GRAAL-Research/poutyne/compare/3d218945d7c3...fe8aef70d7c1
195122547,fe8aef70d7c1378536a0aba9928ff9d9550c80e2,FailedToPassed,failed,490,https://github.com/GRAAL-Research/poutyne/compare/3a421f27bb36...3d218945d7c3
195122596,3d218945d7c3f99e421f0d2ad845e62a8ea59969,FailedToPassed,passed,511,https://github.com/GRAAL-Research/poutyne/compare/3a421f27bb36...3d218945d7c3
195122295,21c3508f5c0643eb46cdfbde2a82a68930a755f2,PassedToFailed,passed,513,https://github.com/GRAAL-Research/poutyne/compare/36e34d67e5a7...88a404f7225c
195122481,88a404f7225c4fd64ecc240874cfdbd910012004,PassedToFailed,failed,495,https://github.com/GRAAL-Research/poutyne/compare/36e34d67e5a7...88a404f7225c
