BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
208681632,7efa665fb51146d89e28f14524d9a74ca7a3cba7,FailedToPassed,failed,1966,https://github.com/MisaOgura/flashtorch/compare/11180ccfc08a...5f3c5afc398b
188137088,5f3c5afc398b313707a62176747f14c22f8c6666,FailedToPassed,passed,50,https://github.com/MisaOgura/flashtorch/compare/11180ccfc08a...5f3c5afc398b
188036413,cf8f16ff139b2aab21c956724bfefc4a05608d05,PassedToFailed,passed,52,https://github.com/MisaOgura/flashtorch/compare/e1961e14d1cd...d8aff70563cb
188036336,d8aff70563cb999d1c5f071c7c234119bdcfd839,PassedToFailed,failed,45,https://github.com/MisaOgura/flashtorch/compare/e1961e14d1cd...d8aff70563cb
188036336,d8aff70563cb999d1c5f071c7c234119bdcfd839,FailedToPassed,failed,45,https://github.com/MisaOgura/flashtorch/compare/fff139e4a0a3...e1961e14d1cd
188036154,e1961e14d1cddd4d646f45449403eebae5e75123,FailedToPassed,passed,51,https://github.com/MisaOgura/flashtorch/compare/fff139e4a0a3...e1961e14d1cd
188036154,e1961e14d1cddd4d646f45449403eebae5e75123,PassedToErrored,passed,51,https://github.com/MisaOgura/flashtorch/compare/ed823e11ad73...fff139e4a0a3
188036078,fff139e4a0a329064014a63469cf0a31a7197f50,PassedToErrored,errored,27,https://github.com/MisaOgura/flashtorch/compare/ed823e11ad73...fff139e4a0a3
188036078,fff139e4a0a329064014a63469cf0a31a7197f50,ErroredToPassed,errored,27,https://github.com/MisaOgura/flashtorch/commit/ed823e11ad73
188035598,ed823e11ad73cb50f227f16cd4437dac973a79df,ErroredToPassed,passed,53,https://github.com/MisaOgura/flashtorch/commit/ed823e11ad73
168609945,ad34b72d8a3ca4397dc00b2074d5e2732bd41faf,PassedToFailed,passed,2502,https://github.com/MisaOgura/flashtorch/pull/31
168604567,cbc9af410ea18421a95a08f115929d74e38203bb,PassedToFailed,failed,2471,https://github.com/MisaOgura/flashtorch/pull/31
168604274,73728a2dca27237c503e357c829980f84f742aa6,FailedToPassed,failed,2560,https://github.com/MisaOgura/flashtorch/compare/29dc1725d1ee...ba5e3db3911a
165461181,ba5e3db3911afee583180bead9150ce4c392e09e,FailedToPassed,passed,2332,https://github.com/MisaOgura/flashtorch/compare/29dc1725d1ee...ba5e3db3911a
165244996,3a427da0f161650c737e1d492797e8ee33a05c83,FailedToPassed,failed,390,https://github.com/MisaOgura/flashtorch/compare/bbd4c106c2af...1b1618d38a05
165243749,1b1618d38a051a2f8755f1842de825fe3c720496,FailedToPassed,passed,586,https://github.com/MisaOgura/flashtorch/compare/bbd4c106c2af...1b1618d38a05
165241120,3669db3f1ac0af564d3cecc5b557e93cc0ba31ad,PassedToErrored,passed,580,https://github.com/MisaOgura/flashtorch/compare/1351eeff5f53...8ac955d866ae
165234270,8ac955d866aed1b9168283db21a8f4f982a4f207,PassedToErrored,errored,1868,https://github.com/MisaOgura/flashtorch/compare/1351eeff5f53...8ac955d866ae
