BuildID,CommitID,TransitionType,BuildState,BuildDuration,ComparisonURL
113838978,3bd131c0a2a373d24591a17307d125373b089bb7,PassedToFailed,passed,1737,https://github.com/RasaHQ/rasa_core/pull/1841
113289510,af4883955aa0353e43ea1ebf4a646dc2faa0a85f,PassedToFailed,failed,1889,https://github.com/RasaHQ/rasa_core/pull/1841
111983868,24d29ae776dd392019b7a6811d4cdfa2955c743e,FailedToPassed,failed,1960,https://github.com/RasaHQ/rasa_core/compare/75c78cb7d889...f007d2d368db
111579287,f007d2d368dbdcf313c29bb279df6cec6fcf6882,FailedToPassed,passed,3437,https://github.com/RasaHQ/rasa_core/compare/75c78cb7d889...f007d2d368db
111550010,e1e5fbbaa645b77b8fe776ac6e6ec99f82f96dad,PassedToErrored,passed,1864,https://github.com/RasaHQ/rasa_core/pull/1901
111549969,b684142881e383e252b3f076cc96fdf0be30f8c4,PassedToErrored,errored,155,https://github.com/RasaHQ/rasa_core/pull/1901
111549296,3204bfe1908b58a1394ba02d98cc0ad9b2a315b6,FailedToPassed,failed,137,https://github.com/RasaHQ/rasa_core/compare/9804d1ab5a86...f84a9de32a6a
111536703,f84a9de32a6aa89fb02e5ce47d34fa4c09e8e779,FailedToPassed,passed,1874,https://github.com/RasaHQ/rasa_core/compare/9804d1ab5a86...f84a9de32a6a
110349666,ac67cb8e92ad84eb6acf75afa0d07ee01566bf93,PassedToFailed,passed,1694,https://github.com/RasaHQ/rasa_core/pull/1896
110224542,bbdc1d5ec6f7a0839f4c0bc304c206401504d98d,PassedToFailed,failed,824,https://github.com/RasaHQ/rasa_core/pull/1896
110223818,54db30c45df124f562672423898c13c6dd0b58d8,FailedToPassed,failed,1920,https://github.com/RasaHQ/rasa_core/compare/4af6cc12445d...0612f69ecae1
109795745,0612f69ecae1e84f83147471f28d89f6017a97f0,FailedToPassed,passed,1937,https://github.com/RasaHQ/rasa_core/compare/4af6cc12445d...0612f69ecae1
109795745,0612f69ecae1e84f83147471f28d89f6017a97f0,PassedToFailed,passed,1937,https://github.com/RasaHQ/rasa_core/pull/1895
109782960,fa064304671b4053fb75b37a6900120d5e5aabf9,PassedToFailed,failed,1904,https://github.com/RasaHQ/rasa_core/pull/1895
109782960,fa064304671b4053fb75b37a6900120d5e5aabf9,FailedToPassed,failed,1904,https://github.com/RasaHQ/rasa_core/pull/1894
109779671,3ceb53bb949767987729f1213a8063ce9e0a36b6,FailedToPassed,passed,1888,https://github.com/RasaHQ/rasa_core/pull/1894
